module	orig.ident	available_for_neighborhood	n_positive_spots
KCNMA1_KCNMB1	IU_PDA_T1	True	513
KCNMA1_KCNMB4	IU_PDA_T1	True	515
KCNMA1_KCNMB1	IU_PDA_T10	True	219
KCNMA1_KCNMB4	IU_PDA_T10	True	199
KCNMA1_KCNMB1	IU_PDA_T11	True	1379
KCNMA1_KCNMB4	IU_PDA_T11	True	1247
KCNMA1_KCNMB1	IU_PDA_T12	True	1939
KCNMA1_KCNMB4	IU_PDA_T12	True	1840
KCNMA1_KCNMB1	IU_PDA_T2	True	492
KCNMA1_KCNMB4	IU_PDA_T2	True	592
KCNMA1_KCNMB1	IU_PDA_T3	True	930
KCNMA1_KCNMB4	IU_PDA_T3	True	1041
KCNMA1_KCNMB1	IU_PDA_T4	True	306
KCNMA1_KCNMB4	IU_PDA_T4	True	407
KCNMA1_KCNMB1	IU_PDA_T6	True	488
KCNMA1_KCNMB4	IU_PDA_T6	True	470
KCNMA1_KCNMB1	IU_PDA_T8	True	346
KCNMA1_KCNMB4	IU_PDA_T8	True	308
KCNMA1_KCNMB1	IU_PDA_T9	True	1175
KCNMA1_KCNMB4	IU_PDA_T9	True	1075
