target_gene	orig.ident	partner_gene	local_corr_z
KCNMA1_KCNMB1	IU_PDA_T1	GREM1	8.357017770960947
KCNMA1_KCNMB1	IU_PDA_T1	SLC2A3	8.329918776225036
KCNMA1_KCNMB1	IU_PDA_T1	CNN1	8.117207296672506
KCNMA1_KCNMB1	IU_PDA_T1	SGK1	7.6899502453731
KCNMA1_KCNMB1	IU_PDA_T1	KCNMA1	7.646150834214329
KCNMA1_KCNMB1	IU_PDA_T1	ZFP36	7.641113193918549
KCNMA1_KCNMB1	IU_PDA_T1	GADD45B	7.63505486559258
KCNMA1_KCNMB1	IU_PDA_T1	FOSB	7.567855572821106
KCNMA1_KCNMB1	IU_PDA_T1	KLF6	7.506842941658342
KCNMA1_KCNMB1	IU_PDA_T1	C11orf96	7.489284840988162
KCNMA1_KCNMB1	IU_PDA_T1	NR4A1	7.430987778949063
KCNMA1_KCNMB1	IU_PDA_T1	COL6A2	7.265402419159496
KCNMA1_KCNMB1	IU_PDA_T1	SERPINE1	7.264638083848893
KCNMA1_KCNMB1	IU_PDA_T1	COL12A1	7.246536155577316
KCNMA1_KCNMB1	IU_PDA_T1	LOXL1	7.228160510937133
KCNMA1_KCNMB1	IU_PDA_T1	THBS1	7.167926131225813
KCNMA1_KCNMB1	IU_PDA_T1	TAGLN	7.15460626020509
KCNMA1_KCNMB1	IU_PDA_T1	MFAP5	7.135708293632059
KCNMA1_KCNMB1	IU_PDA_T1	PDLIM5	7.088766400657703
KCNMA1_KCNMB1	IU_PDA_T1	KCNMA1_KCNMB4	7.071348095000969
KCNMA1_KCNMB1	IU_PDA_T1	ELL2	7.045837515740355
KCNMA1_KCNMB1	IU_PDA_T1	CCDC80	7.034367011579556
KCNMA1_KCNMB1	IU_PDA_T1	NR4A3	7.033605701542855
KCNMA1_KCNMB1	IU_PDA_T1	DUSP1	6.9385471889137165
KCNMA1_KCNMB1	IU_PDA_T1	ADAMTS16	6.869603756259558
KCNMA1_KCNMB1	IU_PDA_T1	RGS16	6.828465017563596
KCNMA1_KCNMB1	IU_PDA_T1	GAS1	6.824283149021798
KCNMA1_KCNMB1	IU_PDA_T1	CTHRC1	6.771799833257268
KCNMA1_KCNMB1	IU_PDA_T1	COL11A1	6.682667156830255
KCNMA1_KCNMB1	IU_PDA_T1	ITGA5	6.648546569680336
KCNMA1_KCNMB1	IU_PDA_T1	CCN4	6.615606312088781
KCNMA1_KCNMB1	IU_PDA_T1	RGS2	6.588665054709121
KCNMA1_KCNMB1	IU_PDA_T1	CCN2	6.573649784207228
KCNMA1_KCNMB1	IU_PDA_T1	DPYSL3	6.52272688005012
KCNMA1_KCNMB1	IU_PDA_T1	RARRES2	6.491071962778263
KCNMA1_KCNMB1	IU_PDA_T1	ITGB5	6.45380683958141
KCNMA1_KCNMB1	IU_PDA_T1	ZFP36L1	6.440245743160154
KCNMA1_KCNMB1	IU_PDA_T1	EGR1	6.436632755891608
KCNMA1_KCNMB1	IU_PDA_T1	MMP2	6.429336378268363
KCNMA1_KCNMB1	IU_PDA_T1	FNDC1	6.423208776946233
KCNMA1_KCNMB1	IU_PDA_T1	COL5A2	6.3560796605661665
KCNMA1_KCNMB1	IU_PDA_T1	ERRFI1	6.338068263515197
KCNMA1_KCNMB1	IU_PDA_T1	CITED2	6.289156662328932
KCNMA1_KCNMB1	IU_PDA_T1	CCN1	6.276976425456876
KCNMA1_KCNMB1	IU_PDA_T1	MYH10	6.275489261271559
KCNMA1_KCNMB1	IU_PDA_T1	ITGA11	6.269410650106336
KCNMA1_KCNMB1	IU_PDA_T1	ARL4C	6.265421129984504
KCNMA1_KCNMB1	IU_PDA_T1	COLEC12	6.263608777110082
KCNMA1_KCNMB1	IU_PDA_T1	S100G	6.235053376551178
KCNMA1_KCNMB1	IU_PDA_T1	ACTG2	6.22270940141238
KCNMA1_KCNMB1	IU_PDA_T1	CNN3	6.192336729146395
KCNMA1_KCNMB1	IU_PDA_T1	SLC11A1	6.18794006317174
KCNMA1_KCNMB1	IU_PDA_T1	JPH2	6.157951707065559
