target_gene	partner_gene	n_sections_tested	n_sections_positive_z	median_local_corr_z	max_local_corr_z	min_local_corr_z
KCNMA1_KCNMB1	KCNMA1	10	10	7.764618774393921	9.68003815538853	0.41007301865162465
KCNMA1_KCNMB1	KCNMA1_KCNMB4	10	10	6.192226927728399	8.892908760107005	1.3235239439905626
KCNMA1_KCNMB1	KCNMB1	10	9	4.190974550762554	11.146952525073416	-0.19299951638115032
KCNMA1_KCNMB1	KCNN3	10	9	1.1964086474153461	6.720039739345552	-0.2517911414108105
KCNMA1_KCNMB1	GREM1	8	8	3.842477889981004	8.357017770960947	0.9567081449582906
KCNMA1_KCNMB1	KCNJ8	10	8	1.9776015888685916	4.713789626579801	-2.0544823567711386
KCNMA1_KCNMB1	KCNAB1	8	8	1.4904787872720906	3.154541334332923	0.3854315640549744
KCNMA1_KCNMB1	KCNMB4	10	8	1.144058970055621	3.894107364666748	-2.4405134902527674
KCNMA1_KCNMB1	KCNT2	9	8	0.8678571731072092	2.5411254874422458	-0.11379866817944505
KCNMA1_KCNMB1	KCNK17	9	8	0.3895255273398909	1.7642654363116708	-0.921777392515956
KCNMA1_KCNMB1	ACTG2	7	7	8.568164237055116	12.496176586654096	1.3834030802368449
KCNMA1_KCNMB1	PDLIM3	7	7	5.792894884813017	10.059429448960842	1.4613127315518792
KCNMA1_KCNMB1	ADAMTS1	7	7	4.158776154108596	10.16283970029715	0.12974111473475097
KCNMA1_KCNMB1	CTHRC1	9	7	3.4169202633091853	7.818127118129375	-5.987513795137121
KCNMA1_KCNMB1	ACTA2	7	7	3.1976600398353403	6.1267628631330115	0.5942976106208443
KCNMA1_KCNMB1	COL11A1	10	7	3.0395049752930503	9.347131465257755	-7.090360621896401
KCNMA1_KCNMB1	MFAP4	8	7	2.914246429530169	9.636932675476228	-4.690378327710872
KCNMA1_KCNMB1	CCL19	8	7	2.0683093297746717	9.492196605680794	-2.8114982826455455
KCNMA1_KCNMB1	SFRP4	9	7	1.9982603115153923	11.25200362238526	-6.196834050602283
KCNMA1_KCNMB1	IGHG3	9	7	1.966964695993439	5.005488740774733	-0.85826986242075
KCNMA1_KCNMB1	KCNK3	9	7	1.9126652004611537	7.730371316085655	-2.954252352318347
KCNMA1_KCNMB1	CCL21	8	7	1.495137417935847	5.697485842747409	-1.37652756151461
KCNMA1_KCNMB1	KCNAB2	10	7	1.3241489138166909	5.458045412386405	-0.8294480342788172
KCNMA1_KCNMB1	IGLV3-1	8	7	1.1029295789909974	2.8639784324424693	-0.49627658946693665
KCNMA1_KCNMB1	KCND3	10	7	0.7547528165943046	1.4902073096806725	-2.3327785947960047
KCNMA1_KCNMB1	C7	10	7	0.6949149926130302	8.269290003299648	-8.026494822761242
KCNMA1_KCNMB1	KCNE4	10	7	0.5840246153176161	4.077093703411708	-2.105184894775169
KCNMA1_KCNMB1	CNN1	6	6	8.786666072973368	12.568361171922145	3.394790610378869
KCNMA1_KCNMB1	C11orf96	6	6	5.510268993142976	8.803797426027362	3.607246197656695
KCNMA1_KCNMB1	THBS1	7	6	4.019839303078373	7.167926131225813	-1.1716140148047782
KCNMA1_KCNMB1	MMP2	8	6	3.8601285397364054	6.429336378268363	-5.115795400256926
KCNMA1_KCNMB1	FBLN1	7	6	3.469315289749382	9.095547465848034	-3.293898201210875
KCNMA1_KCNMB1	LRRC15	7	6	3.1704922782582083	8.706543863092099	-6.9427869231934585
KCNMA1_KCNMB1	POSTN	8	6	3.044205776121971	5.136652509781866	-2.089693769749343
KCNMA1_KCNMB1	COL10A1	9	6	2.7748629138356433	8.140619848057627	-5.238602122079573
KCNMA1_KCNMB1	CCN2	8	6	2.7239457185077005	6.573649784207228	-7.504297305158294
KCNMA1_KCNMB1	CDH11	7	6	2.7239364317661905	8.690118825614132	-4.717372550037138
KCNMA1_KCNMB1	NR4A1	8	6	2.6893018487762657	9.466403038990759	-5.561415566451334
KCNMA1_KCNMB1	FOSB	8	6	2.6327015179395503	11.019298135937442	-4.266264129984003
KCNMA1_KCNMB1	IGFBP5	8	6	2.469526985331282	4.76927514374251	-4.46447369703125
KCNMA1_KCNMB1	SFRP2	8	6	2.348063704233839	5.3727015301500805	-4.995307623814789
KCNMA1_KCNMB1	HSPB6	7	6	2.139743154665484	11.63972676329952	-3.776563088366274
KCNMA1_KCNMB1	COL12A1	8	6	2.108113165573058	7.6465397817343215	-4.728155199877249
KCNMA1_KCNMB1	CLU	9	6	1.7442709311565228	12.024338270224323	-6.612864290245549
KCNMA1_KCNMB1	MMP11	10	6	1.6217720691300879	6.967988618399813	-5.855242157198973
KCNMA1_KCNMB1	CCN1	8	6	1.5778275669309698	6.276976425456876	-6.364807995419351
KCNMA1_KCNMB1	IGHG1	9	6	0.9557118071865248	3.7153513113684666	-1.6380706760859753
KCNMA1_KCNMB1	SERPINE1	8	6	0.9071704122349173	7.264638083848893	-7.959308978423894
KCNMA1_KCNMB1	KCNK15	8	6	0.38166297603698834	2.3805574200174076	-2.019351526673866
KCNMA1_KCNMB1	DES	5	5	8.134798448981138	12.060472873275895	5.432415254058372
KCNMA1_KCNMB1	COLEC12	5	5	6.263608777110082	10.496176803846524	1.6754448801267559
KCNMA1_KCNMB1	CXCL12	6	5	5.556047143949634	9.817431832211065	-1.9082280372787894
KCNMA1_KCNMB1	TNC	5	5	5.5225159140672435	11.087537467345534	3.7449887607172108
KCNMA1_KCNMB1	TAGLN	6	5	5.4454837247106544	7.820017073510638	-0.1392770114537419
KCNMA1_KCNMB1	FBN1	5	5	5.073382382667898	5.813227455784917	2.222405615406655
KCNMA1_KCNMB1	COL4A1	5	5	4.710395626190145	7.38728836566224	1.7931079973121857
KCNMA1_KCNMB1	SOD3	6	5	4.167389191280073	11.77528364212667	-5.838399056161264
KCNMA1_KCNMB1	SULF1	6	5	3.664793635714391	4.468863880560394	-6.281240987781099
KCNMA1_KCNMB1	ANTXR1	6	5	3.5551312539682347	8.158242955827667	-2.866640771413625
KCNMA1_KCNMB1	FBXO32	5	5	3.52229450991962	9.775449956887043	0.2121324503161764
KCNMA1_KCNMB1	FBLN2	6	5	3.3147661830977295	7.693008292845269	-8.013369431922307
KCNMA1_KCNMB1	COL5A1	7	5	3.2126724683303913	4.59089317645083	-4.100697426224682
KCNMA1_KCNMB1	HLA-DRA	7	5	3.1966850049432782	7.9231612409916545	-4.656974526576915
KCNMA1_KCNMB1	COL5A2	7	5	2.8019680767295867	6.3560796605661665	-4.474208820894275
KCNMA1_KCNMB1	LAPTM5	6	5	2.7857471202549697	6.8088282683229275	-3.378881490738233
KCNMA1_KCNMB1	MFAP5	6	5	2.5595831124014223	9.441101780374943	-4.976395853946223
KCNMA1_KCNMB1	THBS2	8	5	2.5104147569395514	5.67205800804527	-7.39059745162783
KCNMA1_KCNMB1	CCDC80	7	5	2.504864008309695	10.8971298137693	-4.395731689865329
KCNMA1_KCNMB1	ITGA11	8	5	2.4005685085706903	9.826448101475805	-6.241064817578736
KCNMA1_KCNMB1	C1R	6	5	2.354740550682301	6.63661817452958	-2.5322144378572924
KCNMA1_KCNMB1	C1QB	6	5	2.3184920479264313	8.217793737464614	-3.395989796801288
KCNMA1_KCNMB1	SERPINF1	7	5	2.2526930227948223	8.371240568697294	-4.867394396677817
KCNMA1_KCNMB1	INHBA	7	5	2.2368330168228754	5.644371845621871	-8.693416375512468
KCNMA1_KCNMB1	DUSP1	6	5	2.2175034269697065	9.26467445228888	-2.9958985174806703
KCNMA1_KCNMB1	THBS4	6	5	2.0489150953305657	4.114177818802478	-2.3142179772523668
KCNMA1_KCNMB1	KCNA5	5	5	2.0024647856797904	4.7667150707436114	0.2876437959183806
KCNMA1_KCNMB1	CCL18	6	5	1.9428073157733512	4.215362823495145	-2.285554197915644
KCNMA1_KCNMB1	LUM	6	5	1.8715328530518223	4.325179811306851	-4.3484548169716115
KCNMA1_KCNMB1	SLC11A1	7	5	1.8345597402872178	6.18794006317174	-5.173942988718595
KCNMA1_KCNMB1	DPT	6	5	1.7145051266477265	9.888233657570643	-4.708725754143501
KCNMA1_KCNMB1	IGHA1	9	5	1.6542555854615462	4.15825798881514	-9.0429538070301
KCNMA1_KCNMB1	CXCL14	9	5	1.6483477825694837	8.560264735255778	-7.209370907175842
KCNMA1_KCNMB1	MGP	7	5	1.5552073582593386	3.5353670678551237	-2.9283708891079496
KCNMA1_KCNMB1	IL7R	5	5	0.9552319661044311	3.540062458673713	0.3127973974802661
KCNMA1_KCNMB1	IGKV4-1	9	5	0.8943232958371267	4.38313319260631	-3.873566058532233
KCNMA1_KCNMB1	IGKC	7	5	0.7681986016058925	2.437171675350714	-5.080113463262142
KCNMA1_KCNMB1	PTGDS	8	5	0.30506747908372567	2.0048043147618593	-6.888309429776908
KCNMA1_KCNMB1	CXCL8	8	5	0.15703273321915553	1.7364882217060642	-4.334798862918924
KCNMA1_KCNMB1	KCNQ4	10	5	0.06862994536518771	3.9623969945287016	-0.7458086740129776
KCNMA1_KCNMB1	KCNJ15	10	5	0.05674437649857213	2.6833315616661317	-4.917185657552278
KCNMA1_KCNMB1	IGHM	10	5	-0.22903994959931528	3.7228040777759572	-8.640091195839823
KCNMA1_KCNMB1	KCND2	10	5	-0.2783489424040963	3.0909570290431447	-2.3874526428799774
KCNMA1_KCNMB1	IGLC1	10	5	-0.4134470785263708	2.638733664516538	-4.353527562010569
KCNMA1_KCNMB1	SPARCL1	4	4	8.618941837223552	11.848284831716935	1.3917319070179104
KCNMA1_KCNMB1	MYLK	4	4	8.465274300376501	12.500556622200238	3.2496132548533447
KCNMA1_KCNMB1	TNS1	4	4	8.346212943837257	11.432082278540948	2.055079154267759
KCNMA1_KCNMB1	MCAM	4	4	8.03840067602398	10.078542589163327	2.2360881351315105
KCNMA1_KCNMB1	S1PR3	4	4	7.137762334958108	8.491077814223548	2.008036101001084
KCNMA1_KCNMB1	ITGA5	4	4	6.842447003329561	8.69802315870227	1.874840919117967
