target_gene	orig.ident	partner_gene	local_corr_z
KCNMA1_KCNMB1	IU_PDA_T1	KCNMA1	7.646150834214329
KCNMA1_KCNMB1	IU_PDA_T1	KCNMB1	3.67378845395267
KCNMA1_KCNMB1	IU_PDA_T1	KCND2	2.255153410681065
KCNMA1_KCNMB1	IU_PDA_T1	KCNMB4	1.1887280247254264
KCNMA1_KCNMB1	IU_PDA_T1	KCNAB1	0.9900385911642268
KCNMA1_KCNMB1	IU_PDA_T1	KCNAB2	0.9198870049313216
KCNMA1_KCNMB1	IU_PDA_T1	KCNJ15	0.7378789360109668
KCNMA1_KCNMB1	IU_PDA_T1	KCNN3	0.25389452627005316
KCNMA1_KCNMB1	IU_PDA_T1	KCNT2	0.14166699306438857
KCNMA1_KCNMB1	IU_PDA_T1	KCNQ4	-0.09426302405795181
KCNMA1_KCNMB1	IU_PDA_T1	KCNS3	-0.33045142077451767
KCNMA1_KCNMB1	IU_PDA_T1	KCNJ16	-0.7395945075728529
KCNMA1_KCNMB1	IU_PDA_T1	KCNJ8	-0.8635835168671361
KCNMA1_KCNMB1	IU_PDA_T1	KCNK17	-0.921777392515956
KCNMA1_KCNMB1	IU_PDA_T1	KCNC4	-1.1702299878529696
KCNMA1_KCNMB1	IU_PDA_T1	KCNK1	-1.5138407173961632
KCNMA1_KCNMB1	IU_PDA_T1	KCNN4	-1.570030036862095
KCNMA1_KCNMB1	IU_PDA_T1	KCNK6	-1.7337504043247423
KCNMA1_KCNMB1	IU_PDA_T1	KCNE4	-2.105184894775169
KCNMA1_KCNMB1	IU_PDA_T1	KCND3	-2.3327785947960047
KCNMA1_KCNMB4	IU_PDA_T1	KCNMA1	7.016029931795707
KCNMA1_KCNMB4	IU_PDA_T1	KCNMB1	2.8584866189551392
KCNMA1_KCNMB4	IU_PDA_T1	KCND2	2.769556203970803
KCNMA1_KCNMB4	IU_PDA_T1	KCNJ15	1.4983525025784263
KCNMA1_KCNMB4	IU_PDA_T1	KCNMB4	0.9907883694420692
KCNMA1_KCNMB4	IU_PDA_T1	KCNAB2	0.8131008062956293
KCNMA1_KCNMB4	IU_PDA_T1	KCNAB1	0.6217989462628803
KCNMA1_KCNMB4	IU_PDA_T1	KCNN3	0.18706518942064923
KCNMA1_KCNMB4	IU_PDA_T1	KCNS3	0.023897422650973738
KCNMA1_KCNMB4	IU_PDA_T1	KCNT2	-0.10545053654212129
KCNMA1_KCNMB4	IU_PDA_T1	KCNQ4	-0.45739421197239616
KCNMA1_KCNMB4	IU_PDA_T1	KCNK17	-0.5379213286044657
KCNMA1_KCNMB4	IU_PDA_T1	KCNJ16	-0.6333715952870906
KCNMA1_KCNMB4	IU_PDA_T1	KCNK1	-0.6610887875047512
KCNMA1_KCNMB4	IU_PDA_T1	KCNJ8	-1.019027941209906
KCNMA1_KCNMB4	IU_PDA_T1	KCNC4	-1.1588170297877027
KCNMA1_KCNMB4	IU_PDA_T1	KCNE4	-1.5344040631707216
KCNMA1_KCNMB4	IU_PDA_T1	KCND3	-1.7749146522608215
KCNMA1_KCNMB4	IU_PDA_T1	KCNK6	-1.8077645136360156
KCNMA1_KCNMB4	IU_PDA_T1	KCNN4	-1.8326560943839405
KCNMA1_KCNMB1	IU_PDA_T10	KCNMA1	2.1760493633236475
KCNMA1_KCNMB1	IU_PDA_T10	KCNS3	1.6817163200970155
KCNMA1_KCNMB1	IU_PDA_T10	KCNQ4	1.6582907354760634
KCNMA1_KCNMB1	IU_PDA_T10	KCND3	1.2216089491602717
KCNMA1_KCNMB1	IU_PDA_T10	KCNC4	0.962381674240039
KCNMA1_KCNMB1	IU_PDA_T10	KCNK17	0.9167012993440392
KCNMA1_KCNMB1	IU_PDA_T10	KCNK3	0.7289553958298988
KCNMA1_KCNMB1	IU_PDA_T10	KCND2	0.6746425027962535
KCNMA1_KCNMB1	IU_PDA_T10	KCNJ8	0.5050881990006428
KCNMA1_KCNMB1	IU_PDA_T10	KCNJ15	0.40081184331445563
KCNMA1_KCNMB1	IU_PDA_T10	KCNMB4	0.3258147540706252
KCNMA1_KCNMB1	IU_PDA_T10	KCNE4	0.23144848617309113
KCNMA1_KCNMB1	IU_PDA_T10	KCNK15	0.033290282320070835
KCNMA1_KCNMB1	IU_PDA_T10	KCNAB2	-0.17587563618786975
KCNMA1_KCNMB1	IU_PDA_T10	KCNMB1	-0.19299951638115032
KCNMA1_KCNMB1	IU_PDA_T10	KCNN3	-0.2517911414108105
KCNMA1_KCNMB1	IU_PDA_T10	KCNK6	-0.3864164002020804
KCNMA1_KCNMB1	IU_PDA_T10	KCNN4	-2.577334868592136
KCNMA1_KCNMB1	IU_PDA_T10	KCNK1	-2.9276447719388017
KCNMA1_KCNMB4	IU_PDA_T10	KCNMA1	2.9931063110897296
KCNMA1_KCNMB4	IU_PDA_T10	KCNQ4	1.7547712291628026
KCNMA1_KCNMB4	IU_PDA_T10	KCNS3	1.3644313882095533
KCNMA1_KCNMB4	IU_PDA_T10	KCNJ8	1.2010159243999878
KCNMA1_KCNMB4	IU_PDA_T10	KCND2	0.8506428988185297
KCNMA1_KCNMB4	IU_PDA_T10	KCND3	0.7715928934125708
KCNMA1_KCNMB4	IU_PDA_T10	KCNC4	0.5424271868485355
KCNMA1_KCNMB4	IU_PDA_T10	KCNK17	0.5277157253939065
KCNMA1_KCNMB4	IU_PDA_T10	KCNK3	0.38291303062641824
KCNMA1_KCNMB4	IU_PDA_T10	KCNMB4	0.11261156231296378
KCNMA1_KCNMB4	IU_PDA_T10	KCNJ15	0.05364591132661568
KCNMA1_KCNMB4	IU_PDA_T10	KCNK15	0.009639382966846832
KCNMA1_KCNMB4	IU_PDA_T10	KCNN3	-0.05085392219646069
KCNMA1_KCNMB4	IU_PDA_T10	KCNK6	-0.22988560899885865
KCNMA1_KCNMB4	IU_PDA_T10	KCNAB2	-0.32620676845703356
KCNMA1_KCNMB4	IU_PDA_T10	KCNE4	-0.5453905401689029
KCNMA1_KCNMB4	IU_PDA_T10	KCNMB1	-1.100981863455421
KCNMA1_KCNMB4	IU_PDA_T10	KCNK1	-1.9971662133239787
KCNMA1_KCNMB4	IU_PDA_T10	KCNN4	-2.1579637345534834
KCNMA1_KCNMB1	IU_PDA_T11	KCNMB1	11.146952525073416
KCNMA1_KCNMB1	IU_PDA_T11	KCNMA1	9.1512992359362
KCNMA1_KCNMB1	IU_PDA_T11	KCNB1	3.8665835824813404
KCNMA1_KCNMB1	IU_PDA_T11	KCNQ4	2.7073193297286067
KCNMA1_KCNMB1	IU_PDA_T11	KCNN3	2.581155035331949
KCNMA1_KCNMB1	IU_PDA_T11	KCNAB1	2.4502637235827978
KCNMA1_KCNMB1	IU_PDA_T11	KCNK3	2.2229777258421617
KCNMA1_KCNMB1	IU_PDA_T11	KCNK6	1.9374458028077612
KCNMA1_KCNMB1	IU_PDA_T11	KCNJ8	1.8284019952373949
KCNMA1_KCNMB1	IU_PDA_T11	KCNMB4	1.5335029873441544
KCNMA1_KCNMB1	IU_PDA_T11	KCNT2	0.9621879533187542
KCNMA1_KCNMB1	IU_PDA_T11	KCNS3	0.8029161545861143
KCNMA1_KCNMB1	IU_PDA_T11	KCND3	0.7910166117373272
KCNMA1_KCNMB1	IU_PDA_T11	KCNJ15	0.20620569616664924
KCNMA1_KCNMB1	IU_PDA_T11	KCNN4	-0.15800868377957572
KCNMA1_KCNMB1	IU_PDA_T11	KCNAB2	-0.8294480342788172
KCNMA1_KCNMB1	IU_PDA_T11	KCNE4	-1.253045687751476
KCNMA1_KCNMB1	IU_PDA_T11	KCND2	-1.4702493213303793
KCNMA1_KCNMB1	IU_PDA_T11	KCNC4	-1.510305693549446
KCNMA1_KCNMB1	IU_PDA_T11	KCNK1	-1.5592235465715845
KCNMA1_KCNMB1	IU_PDA_T11	KCNK15	-1.578230153619452
KCNMA1_KCNMB4	IU_PDA_T11	KCNMA1	8.612979105082932
KCNMA1_KCNMB4	IU_PDA_T11	KCNMB1	7.976049009677171
KCNMA1_KCNMB4	IU_PDA_T11	KCNB1	3.3655626022000993
KCNMA1_KCNMB4	IU_PDA_T11	KCNQ4	3.071656847796952
KCNMA1_KCNMB4	IU_PDA_T11	KCNMB4	2.9364091122624427
KCNMA1_KCNMB4	IU_PDA_T11	KCNAB1	2.4678917951904604
KCNMA1_KCNMB4	IU_PDA_T11	KCNK3	1.8899573747491074
KCNMA1_KCNMB4	IU_PDA_T11	KCNN3	1.5562520559964679
KCNMA1_KCNMB4	IU_PDA_T11	KCNK6	1.3927695703900553
KCNMA1_KCNMB4	IU_PDA_T11	KCNJ8	1.1591928465134962
KCNMA1_KCNMB4	IU_PDA_T11	KCNT2	1.0568383167956101
KCNMA1_KCNMB4	IU_PDA_T11	KCNS3	0.43358297676294666
KCNMA1_KCNMB4	IU_PDA_T11	KCNN4	0.03337554180287705
KCNMA1_KCNMB4	IU_PDA_T11	KCNJ15	-0.24474750536824974
KCNMA1_KCNMB4	IU_PDA_T11	KCNE4	-0.3195408129873106
KCNMA1_KCNMB4	IU_PDA_T11	KCND3	-0.5014546245884068
KCNMA1_KCNMB4	IU_PDA_T11	KCNAB2	-0.8052486524234589
KCNMA1_KCNMB4	IU_PDA_T11	KCND2	-1.0538429836381862
KCNMA1_KCNMB4	IU_PDA_T11	KCNK15	-1.381122150002667
KCNMA1_KCNMB4	IU_PDA_T11	KCNC4	-1.9903541024778522
KCNMA1_KCNMB4	IU_PDA_T11	KCNK1	-2.020840897744475
KCNMA1_KCNMB1	IU_PDA_T12	KCNMA1	9.68003815538853
KCNMA1_KCNMB1	IU_PDA_T12	KCNAB2	5.458045412386405
KCNMA1_KCNMB1	IU_PDA_T12	KCNJ8	4.361544429167457
KCNMA1_KCNMB1	IU_PDA_T12	KCNAB1	3.154541334332923
KCNMA1_KCNMB1	IU_PDA_T12	KCNMB1	3.0618491157759475
KCNMA1_KCNMB1	IU_PDA_T12	KCNA5	3.006551123996815
KCNMA1_KCNMB1	IU_PDA_T12	KCNK3	2.1059009590879523
KCNMA1_KCNMB1	IU_PDA_T12	KCNT2	1.108309370387111
KCNMA1_KCNMB1	IU_PDA_T12	KCNE4	0.9366007444621409
KCNMA1_KCNMB1	IU_PDA_T12	KCNK15	0.8309961674516833
KCNMA1_KCNMB1	IU_PDA_T12	KCNK17	0.5820296438794131
KCNMA1_KCNMB1	IU_PDA_T12	KCNJ16	0.5819707490723348
KCNMA1_KCNMB1	IU_PDA_T12	KCNN3	0.3387219428792292
KCNMA1_KCNMB1	IU_PDA_T12	KCNB1	0.2556764374492735
KCNMA1_KCNMB1	IU_PDA_T12	KCND2	0.09847576669685301
KCNMA1_KCNMB1	IU_PDA_T12	KCNK6	-0.32349504150880587
KCNMA1_KCNMB1	IU_PDA_T12	KCNS3	-0.43526378448210756
KCNMA1_KCNMB1	IU_PDA_T12	KCNQ4	-0.7105480619939485
KCNMA1_KCNMB1	IU_PDA_T12	KCNMB4	-0.7579016499763228
KCNMA1_KCNMB1	IU_PDA_T12	KCND3	-0.933121020169388
KCNMA1_KCNMB1	IU_PDA_T12	KCNC4	-2.6229301227809496
KCNMA1_KCNMB1	IU_PDA_T12	KCNK1	-2.8841535424328826
KCNMA1_KCNMB1	IU_PDA_T12	KCNJ15	-3.072926477591206
KCNMA1_KCNMB1	IU_PDA_T12	KCNN4	-3.653618694354403
KCNMA1_KCNMB4	IU_PDA_T12	KCNMA1	9.842580392101967
KCNMA1_KCNMB4	IU_PDA_T12	KCNAB2	5.5613982052366255
KCNMA1_KCNMB4	IU_PDA_T12	KCNJ8	5.379387686028075
KCNMA1_KCNMB4	IU_PDA_T12	KCNA5	4.151903630766898
KCNMA1_KCNMB4	IU_PDA_T12	KCNK3	2.7822592326491775
KCNMA1_KCNMB4	IU_PDA_T12	KCNAB1	2.5289817600468885
KCNMA1_KCNMB4	IU_PDA_T12	KCNK17	2.4340564969030734
KCNMA1_KCNMB4	IU_PDA_T12	KCNMB1	1.7936865298873907
KCNMA1_KCNMB4	IU_PDA_T12	KCNE4	1.7205714675606172
KCNMA1_KCNMB4	IU_PDA_T12	KCNMB4	1.100188584524966
KCNMA1_KCNMB4	IU_PDA_T12	KCNN3	0.993370087486925
KCNMA1_KCNMB4	IU_PDA_T12	KCNJ16	0.7208024842336395
KCNMA1_KCNMB4	IU_PDA_T12	KCNT2	0.6893215977875288
KCNMA1_KCNMB4	IU_PDA_T12	KCND2	0.30004201784912815
KCNMA1_KCNMB4	IU_PDA_T12	KCNB1	0.189300056834719
KCNMA1_KCNMB4	IU_PDA_T12	KCNK15	0.1496334359355387
KCNMA1_KCNMB4	IU_PDA_T12	KCND3	-0.5904312075033241
KCNMA1_KCNMB4	IU_PDA_T12	KCNS3	-0.8064322532440794
KCNMA1_KCNMB4	IU_PDA_T12	KCNQ4	-1.3486633816087092
KCNMA1_KCNMB4	IU_PDA_T12	KCNC4	-2.8747923619240843
