target_gene	orig.ident	available_for_local_corr
KCNMA1_KCNMB1	IU_PDA_T1	True
KCNMA1_KCNMB4	IU_PDA_T1	True
KCNMA1_KCNMB1	IU_PDA_T10	True
KCNMA1_KCNMB4	IU_PDA_T10	True
KCNMA1_KCNMB1	IU_PDA_T11	True
KCNMA1_KCNMB4	IU_PDA_T11	True
KCNMA1_KCNMB1	IU_PDA_T12	True
KCNMA1_KCNMB4	IU_PDA_T12	True
KCNMA1_KCNMB1	IU_PDA_T2	True
KCNMA1_KCNMB4	IU_PDA_T2	True
KCNMA1_KCNMB1	IU_PDA_T3	True
KCNMA1_KCNMB4	IU_PDA_T3	True
KCNMA1_KCNMB1	IU_PDA_T4	True
KCNMA1_KCNMB4	IU_PDA_T4	True
KCNMA1_KCNMB1	IU_PDA_T6	True
KCNMA1_KCNMB4	IU_PDA_T6	True
KCNMA1_KCNMB1	IU_PDA_T8	True
KCNMA1_KCNMB4	IU_PDA_T8	True
KCNMA1_KCNMB1	IU_PDA_T9	True
KCNMA1_KCNMB4	IU_PDA_T9	True
