target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR
KCNMA1_KCNMB1	IU_PDA_T1	3530	13522	1151	419	0.03497632683519023	7.902113777428555	7.991179537697373e-14
KCNMA1_KCNMB4	IU_PDA_T1	3530	13522	1151	419	0.026759493543685613	6.028093422838262	3.1331974716547764e-08
KCNMA1_KCNMB1	IU_PDA_T10	2714	13632	1211	421	0.007235208099281345	1.3540632428883892	0.2960162212919307
KCNMA1_KCNMB4	IU_PDA_T10	2714	13632	1211	421	0.011059030018370775	2.08461455946252	0.13538700279711394
KCNMA1_KCNMB1	IU_PDA_T11	2777	14685	2804	420	0.06516209922288245	13.466924355496255	8.209343326193549e-40
KCNMA1_KCNMB4	IU_PDA_T11	2777	14685	2804	420	0.043013157438372134	8.913993969936543	8.565061622103458e-18
KCNMA1_KCNMB1	IU_PDA_T12	3642	15210	6573	426	0.03949498886339393	9.065533224390114	7.165589628785977e-19
KCNMA1_KCNMB4	IU_PDA_T12	3642	15210	6573	426	0.04192098989724846	9.652540457903287	3.0064381046278058e-21
KCNMA1_KCNMB1	IU_PDA_T2	4118	14707	1884	424	0.008637931940797134	2.0897233287824415	0.11120586105477408
KCNMA1_KCNMB4	IU_PDA_T2	4118	14707	1884	424	0.005416305257081922	1.3083907631297989	0.3049820617764154
KCNMA1_KCNMB1	IU_PDA_T3	4354	14668	5788	423	0.03631890318077642	9.344662602400057	4.3786880616185143e-20
KCNMA1_KCNMB4	IU_PDA_T3	4354	14668	5788	423	0.013881987550578075	3.5686662714996946	0.0006972607461901719
KCNMA1_KCNMB1	IU_PDA_T4	3621	14334	4314	423	0.057729654425028414	12.622156759182174	3.6732649837621997e-35
KCNMA1_KCNMB4	IU_PDA_T4	3621	14334	4314	423	0.007520952423612996	1.650876074672694	0.12308133248332494
KCNMA1_KCNMB1	IU_PDA_T6	3397	15001	5378	420	0.05768339892952764	12.454301251433636	2.615442609856303e-34
KCNMA1_KCNMB4	IU_PDA_T6	3397	15001	5378	420	0.03554253596914598	7.747277612330397	7.620926541774571e-14
KCNMA1_KCNMB1	IU_PDA_T8	3779	14219	2408	422	0.0015140466805646882	0.3493105374346351	0.49555179736115224
KCNMA1_KCNMB4	IU_PDA_T8	3779	14219	2408	422	0.004764223724197286	1.0713227773355087	0.30267001348505757
KCNMA1_KCNMB1	IU_PDA_T9	3526	14114	2023	423	0.039030034689414975	8.955027513734018	6.751877480506998e-18
KCNMA1_KCNMB4	IU_PDA_T9	3526	14114	2023	423	0.027269397661830418	6.248421128885808	5.03612908523931e-09
