pathway	pval	padj	log2err	ES	NES	size	leadingEdge	module	components
HALLMARK_MYC_TARGETS_V1	2.63943576916331e-11	1.31971788458165e-09	0.863415391606693	-0.651421006188145	-2.18168278224213	160	HDGF;COX5A;HSPD1;PTGES3;VDAC1;HNRNPR;PSMA2;SRSF3;HSPE1;MCM7;TCP1;PSMA7;PSMA4;XPO1;NHP2;TUFM;EEF1B2;HSP90AB1;YWHAQ;HNRNPC;NCBP2;SERBP1;PSMB2;RNPS1;CCT5;PSMD3;TRIM28;SET;PGK1;ILF2;HNRNPD;EIF3B;CCT3;PPM1G;HNRNPA2B1;SLC25A3;ACP1;RSL1D1;FAM120A;NDUFAB1;PSMD8;SNRPA;SRSF2;BUB3;PSMA1;SRSF1;XRCC6;PA2G4;PSMC4;UBA2;POLD2;SRPK1;RUVBL2;SSBP1;TRA2B;CDC20;GLO1;ORC2;LSM2;VDAC3;PSMB3;DUT;NME1;CCT2;CDK4;PRDX4;GSPT1;PRPS2;XPOT;EIF1AX;TYMS;HNRNPA3;PRPF31;MYC;PABPC1;RACK1	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_MYOGENESIS	1.87190545885364e-07	4.6797636471341e-06	0.690132458796796	0.639119276183118	2.04263647814044	187	TAGLN;DES;MYLK;TPM2;SORBS1;CLU;SOD3;SMTN;IGFBP7;SPARC;GSN;SPEG;COL4A2;PTP4A3;ITGA7;COL6A2;COL15A1;SVIL;CRYAB;AEBP1;CKB;SORBS3;GADD45B;PRNP;COX7A1;CNN3;COL6A3;DMPK;ACSL1;CACNA1H;RIT1;PTGIS;MYO1C;DTNA;GPX3;HSPB8;COL1A1;FXYD1;WWTR1;GAA;DMD;MEF2A;SPTAN1;SPHK1;AKT2;ACTC1;HSPB2;SGCA;PPP1R3C;ADCY9;GJA5;GABARAPL2;APLNR;PFKM;CDKN1A;COL3A1;STC2	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	8.49476555074253e-07	1.41579425845709e-05	0.659444398037935	0.620149883100132	1.98634648537461	189	TAGLN;ACTA2;MYL9;FLNA;MYLK;GREM1;TPM2;THBS1;IGFBP4;SPARC;CALD1;TPM1;TNC;CCN2;RHOB;VIM;DPYSL3;ITGA5;COL4A2;TIMP1;COL6A2;NNMT;FERMT2;PMP22;FN1;COL4A1;ABI3BP;LAMC1;WIPF1;GEM;COLGALT1;SLIT3;ITGB3;DAB2;CCN1;GADD45B;GLIPR1;ELN;COL6A3;CXCL12;FBLN1;POSTN;FBN1;TGM2;FSTL3;LRP1;THBS2;SERPINE1;COL1A1;COL12A1;PTX3;MFAP5;CDH11;CTHRC1;TNFAIP3;VEGFC;SCG2;ECM2;BGN;MGP;CDH2;COL16A1;SPOCK1;EMP3;COL1A2;GAS1;FBLN5;PFN2;EFEMP2;LRRC15	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_GLYCOLYSIS	2.73483918846909e-06	2.98376592896366e-05	0.627256739718528	-0.545792330442093	-1.86332287628639	182	ELF3;IER3;TXN;SDC1;AGRN;DDIT4;HDLBP;VEGFA;ENO1;ERO1A;SOX9;MIF;PFKP;COL5A1;QSOX1;COPB2;TFF3;CD44;GPC1;IGFBP3;SLC37A4;G6PD;PGK1;P4HA1;EXT1;DLD;CLDN3;B3GNT3;EGLN3;B4GALT4;MDH2;SLC16A3;CAPN5;ALDH9A1;PSMC4;CYB5A;ECD;ANG;HSPA5;CASP6;MDH1;RBCK1;B4GALT7;GLCE;ABCB6;BIK;GALE;NANP;B4GALT1;MET;CHST4	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.98376592896366e-06	2.98376592896366e-05	0.627256739718528	-0.542785055919761	-1.82526163826702	168	ATP1B1;COX6B1;GPI;COX5A;NDUFS8;VDAC1;NDUFA1;GPX4;COX6A1;UQCRQ;NDUFB6;POR;ECH1;COX8A;NDUFS6;ETFB;COX5B;COX17;ATP5PD;POLR2F;CYCS;ATP5ME;SLC25A3;COX7A2;TCIRG1;NDUFA7;NDUFAB1;MGST3;DLD;MTX2;NDUFA3;VDAC2;ATP5F1E;MDH2;HSPA9;ATP5MF;NDUFC2;NDUFV1;CYB5A;FDX1;ATP5F1B;DECR1;MDH1;NDUFB5;ECHS1;BAX;ACADVL;VDAC3;PDHA1;SDHB;COX7B;ATP5MC3;ATP5MG;COX6C;TOMM22;GRPEL1;ATP5F1D;UQCRC2;ACO2;ATP6AP1	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_ESTROGEN_RESPONSE_LATE	6.42067908738622e-05	0.000535056590615519	0.538434096309916	-0.48970938814187	-1.67750845568866	190	TFF1;LAMC2;LSR;TOB1;TRIM29;MDK;CXCL14;AGR2;SERPINA3;FLNB;SERPINA1;CD9;ABHD2;CCND1;TFF3;CD44;PERP;XBP1;ASS1;CDH1;ETFB;ST14;PLAAT3;ALDH3B1;CA2;FOS;AREG;DHCR7;KLF4;KLK10;PKP3;OVOL2;KRT13;CA12;TSPAN13;SCNN1A;ADD3;TMPRSS3;ZFP36;AFF1;FARP1;GJB3;SERPINA5;FGFR3;TOP2A;ALDH3A2;DLG5;DNAJC1;PTPN6;CDC20;STIL;FABP5;FRK;DYNLT3;NMU;TJP3;PRSS23;GALE;ANXA9;COX6C;TNNC1;LLGL2;ID2;BLVRB;ELOVL5;SLC22A5;RAPGEFL1	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000135832590298078	0.000970232787843415	0.518848077743792	-0.477168722694994	-1.63513319121071	191	KRT8;MUC1;KRT18;TFF1;ELF3;TOB1;LAD1;SLC2A1;CLDN7;MLPH;DHRS3;FLNB;ABHD2;CCND1;TFF3;CD44;SLC37A1;XBP1;PLAAT3;FASN;ABLIM1;ALDH3B1;FOS;AREG;P2RY2;DHCR7;KLF4;KLK10;OVOL2;KRT13;CA12;SCNN1A;ADD3;KRT15;TMPRSS3;AFF1;FARP1;THSD4;FRK;OLFML3;DYNLT3;BHLHE40;TJP3;PODXL;MSMB;PRSS23;B4GALT1;RETREG1;ANXA9;RHOD	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_MTORC1_SIGNALING	0.00333545307814261	0.0208465817383913	0.431707695803346	-0.434749856254545	-1.46212276412465	171	GPI;SQSTM1;HSPD1;SLC2A1;DDIT4;ENO1;ERO1A;DHCR24;HSPE1;CD9;PSMA4;PFKL;SERP1;XBP1;LDLR;TUBA4A;SLC37A4;G6PD;PGK1;ATP2A2;SLC1A5;RRM2;P4HA1;SEC11A;DHCR7;EGLN3;HSPA9;ACACA;RPN1;ADD3;PITPNB;RAB1A;LGMN;PSMC4;SQLE;HSPA5;INSIG1;IDI1;BHLHE40;SCD;ACLY;PLK1;SKAP2;GOT1;YKT6;ARPC5L;ELOVL5;ACTR3;CYB5B;PIK3R3;TCEA1;AURKA;MAP2K3;ME1	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_DNA_REPAIR	0.00449590181185751	0.023378689421659	0.407017918923954	-0.453754633841452	-1.48923498016525	138	GUK1;GPX4;EDF1;APRT;SUPT5H;POLR2H;SDCBP;CSTF3;POLD4;NCBP2;NUDT21;COX17;POLR2F;POLR2I;VPS37B;POM121;CETN2;POLB;SEC61A1;POLR2G;POLR1C;DAD1;GMPR2;TAF6;NT5C;ERCC2;MPG;RAE1;POLR1D;ALYREF;DUT;POLE4;ERCC5;AK1;NME1;NME4;DDB1;ZWINT;ELOA;TYMS;POLR2C;RBX1;POLD3;NELFE	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_P53_PATHWAY	0.00467573788433181	0.023378689421659	0.407017918923954	-0.431166918207586	-1.46870836065148	181	S100A10;IER3;SDC1;GPX2;PLXNB2;ITGB4;TM4SF1;TOB1;S100A4;EPHA2;DDIT4;SAT1;EPS8L2;VAMP8;PERP;SLC3A2;ST14;TRAF4;FOS;POM121;CTSD;HINT1;SEC61A1;JUN;KLF4;TAP1;KIF13B;RB1;PLK2;IP6K2;MKNK2;F2R;STEAP3;RALGDS;TNFSF9;BAX;SP1;ERCC5;AK1	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.00660156354814987	0.0278473433637323	0.407017918923954	-0.533193820950686	-1.59412212486084	68	S100A11;ERRFI1;MAL2;LGALS3;ANXA5;PLSCR1;PLAUR;CD9;ECH1;LDLR;FASN;DHCR7;PPARG;LGMN;FDPS;SQLE;CTNNB1;FABP5;IDI1;CHKA;SCD;TNFRSF12A;ATXN2;LSS;ALCAM	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_PROTEIN_SECRETION	0.00668336240729574	0.0278473433637323	0.407017918923954	-0.494223679842725	-1.55142467395674	92	KRT18;TSPAN8;ERGIC3;ARF1;COPE;COPB2;CAV2;RAB5A;NAPA;ATP1A1;TPD52;RER1;AP2S1;AP2B1;VPS45;AP2M1;GOLGA4;ADAM10;ICA1;ARCN1;COPB1;LMAN1;VAMP7;YIPF6;YKT6;ARFGAP3;SEC31A;RAB2A;CLTA;ARFGEF2;TMED10;ANP32E;ATP6V1H;SGMS1;STX7;MAPK1;TOM1L1	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_UV_RESPONSE_DN	0.00755797518315921	0.0290691353198431	0.407017918923954	0.513941564216149	1.59729697767245	141	KCNMA1;LTBP1;RBPMS;MAP1B;DUSP1;PMP22;IGFBP5;ATP2B4;LAMC1;ITGB3;DAB2;CCN1;TGFBR2;CDKN1B;PRDM2;CELF2;CITED2;AKT3;NFIB;SERPINE1;RXRA;COL1A1;GRK5;DLC1;KALRN;ARHGEF9;VAV2;LPAR1;SMAD7;IRS1;NEK7;ADGRL2;COL1A2;FBLN5	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_XENOBIOTIC_METABOLISM	0.00886029974654555	0.0295343324884852	0.380730400722792	-0.412682092806954	-1.41122468258832	189	SPINT2;ABCC3;NQO1;TMBIM6;PTGES3;REG1A;EPHA2;CFB;JUP;POR;CRP;ECH1;KYNU;PTGDS;CA2;PGD;RAP1GAP;ATP2A2;SLC1A5;ACP1;AKR1C2;PGRMC1;ALDH3A1;APOE;GSTO1;ALDH9A1;AKR1C3;CYB5A;CNDP2;CASP6;COMT;DHRS7;CYP2S1;FAH;HSD11B1;BCAR1;PSMB10;ACOX1;NPC1;SSR3;ID2;CYP17A1;SLC35B1;BLVRB;ELOVL5;PYCR1;ACO2;ADH1C;ASL	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_HYPOXIA	0.00878879094409456	0.0295343324884852	0.380730400722792	-0.405605711833272	-1.38940977598497	190	ANXA2;IER3;GPI;ERRFI1;S100A4;SLC2A1;DDIT4;HDLBP;VEGFA;ENO1;ERO1A;F3;KLF6;MIF;SDC4;PLAUR;PFKP;COL5A1;PFKL;PRDX5;GPC1;IGFBP3;SLC37A4;CP;EFNA1;PGK1;FOS;TPD52;P4HA1;JUN;EXT1;PFKFB3;CA12;ZFP36;PLIN2;GRHPR;HSPA5;ADM;CASP6;KLF7;LXN;BNIP3L;BHLHE40;MYH9	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_FATTY_ACID_METABOLISM	0.00970526309925316	0.0303289471851661	0.380730400722792	-0.433662736632471	-1.44187901784914	145	S100A10;HSP90AA1;DHCR24;MIF;ECH1;G0S2;FASN;CA2;PSME1;HSPH1;DLD;ERP29;D2HGDH;MDH2;ALDH3A1;ALDH9A1;CEL;GRHPR;DECR1;ALDH3A2;GSTZ1;MDH1;PRDX6;IDI1;PCBD1;ECHS1;SMS;UBE2L6;ACADVL;PDHA1;ACOX1;ELOVL5;ACSL5;REEP6;SLC22A5;ACO2;ADH1C;ADSL;INMT;EHHADH;ME1;CBR1;CPT1A;LGALS1;HMGCL;ACSM3;PDHB;RDH11;HSD17B11	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_ALLOGRAFT_REJECTION	0.0124680232554933	0.036670656633804	0.380730400722792	0.480746778542454	1.53426971743098	184	FLNA;HLA-DRA;CCL19;CD74;TIMP1;HLA-DMB;STAB1;LTB;TLR2;CCND2;IFNGR1;CSF1;HLA-DMA;ITGB2;IL4R;GBP2;HCLS1;SRGN;MMP9;PTPRC;CCL2;NCF4;SPI1;CD4;CSK;FCGR2B;HLA-DOA;CD86;ST8SIA4;IGSF6;APBB1;HLA-E;CD96;IL6;CD3D;CD79A;IRF8;FGR;EIF3D;IL27RA;IRF7;LCP2;UBE2N;MTIF2;SOCS5;DEGS1;HLA-DQA1	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_ANDROGEN_RESPONSE	0.021298375483661	0.0591621541212806	0.352487857583619	-0.452228428115433	-1.42288682065171	94	KRT8;PMEPA1;DBI;DHCR24;AZGP1;ABHD2;SAT1;CCND1;UBE2I;TPD52;INPP4B;MYL12A;B2M;ALDH1A3;XRCC6;PA2G4;ITGAV;DNAJB9;SPDEF;XRCC5;ZMIZ1;INSIG1;MAF;IDI1;MAP7;SMS;SCD;STK39;LMAN1;B4GALT1;ANKH;CCND3;ELOVL5	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_PANCREAS_BETA_CELLS	0.0256048055998056	0.0670054662867728	0.352487857583619	0.581894935923207	1.49564391836904	39	MAFB;INS;AKT3;LMO2;SRP9;FOXO1;ELP4;ABCC8;NKX2-2;SCGN;NEUROD1;ISL1;SST;G6PC2;FOXA2;IAPP;PCSK2	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_COAGULATION	0.0268021865147091	0.0670054662867728	0.352487857583619	0.450116970922201	1.38942392023877	130	A2M;THBS1;CLU;SPARC;GSN;C1R;TIMP1;CTSB;FN1;SERPING1;WDR1;PECAM1;VWF;ITGB3;C1S;CPQ;FBN1;C1QA;LRP1;SERPINE1;PROS1;MMP9	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_KRAS_SIGNALING_UP	0.0282462338902233	0.0672529378338651	0.352487857583619	-0.381993734214212	-1.30839263588263	196	PIGR;SLPI;PLAT;SPP1;SERPINA3;ERO1A;SOX9;PLAUR;CFB;ANO1;BIRC3;MALL;JUP;TSPAN1;GALNT3;PRELID3B;ITGA2;ANXA10;G0S2;MPZL2;IGFBP3;HKDC1;CA2;TFPI;PSMB8;DCBLD2;GPRC5B;PLEK2;KLF4;APOD;DUSP6;KCNN4;TSPAN13;ALDH1A3	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_E2F_TARGETS	0.0304825059898453	0.0692784227041938	0.352487857583619	-0.393671738081667	-1.34098639913364	181	HMGA1;JPT1;PNN;MCM7;XPO1;LUC7L3;NUDT21;HNRNPD;CSE1L;RRM2;WDR90;SRSF2;PRKDC;SRSF1;XRCC6;PA2G4;POLD2;SPAG5;BRCA1;TOP2A;TRA2B;CDC20;ORC2;CHEK1;RAD21;DUT;POLE4;LYAR;NME1;CDK4;PRDX4;MXD3;RFC1;GSPT1;PLK1;ILF3;NUP107;DCTPP1;MYC;DLGAP5;TIMELESS;EZH2;PPP1R8;SMC6;AURKA;POLD3;ANP32E;ATAD2;BIRC5;MCM6;SSRP1;UNG;CENPE;MCM3;NUP205;IPO7;MELK;ESPL1;KIF18B;PPM1D;CDK1	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0425922667154175	0.0819082052219568	0.321775918075361	-0.427983715407113	-1.33899008474893	100	DDIT4;VEGFA;ERO1A;EIF4G1;NHP2;SERP1;BANF1;XBP1;ATF4;SEC11A;CEBPG;LSM1;EIF4A3;FUS;HSPA9;PDIA6;DNAJB9;HSPA5;FKBP14;DKC1;SRPRA;LSM4;KDELR3;DNAJC3;SPCS1;XPOT;EXOSC4;EXOSC1;SEC31A;PARN;IFIT1;KIF5B;EIF4A1;DCP2;SLC30A5;ARFGAP1;CNOT6;DCP1A;KHSRP;HYOU1;ERN1;HSP90B1;MTREX;EDC4;MTHFD2;POP4;CALR;IMP3	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_PEROXISOME	0.0425922667154175	0.0819082052219568	0.321775918075361	-0.427472138406625	-1.33738956466702	100	TSPO;DHRS3;DHCR24;MVP;ECH1;PRDX5;CRABP2;GSTK1;ALDH9A1;CEL;TOP2A;FDPS;HSD11B2;SLC23A2;IDI1;HSD3B7;ACOX1;STS;SOD2;ELOVL5;ACSL5;ABCC5;GNPAT;SCP2;ABCD3;PEX11A;PABPC1;CLN6;EHHADH;NR1I2;ALB;SLC25A17;HMGCL;ABCD1;RDH11;HSD17B11;PEX6;ABCB9;FIS1	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_IL2_STAT5_SIGNALING	0.0383657337948146	0.0819082052219568	0.321775918075361	-0.379093535311987	-1.29914566329007	195	MUC1;PLEC;TNFRSF21;ANXA4;SPP1;PHLDA1;PLSCR1;GPX4;DHRS3;KLF6;ITGA6;SERPINB6;CAPG;CD44;TNFSF10;XBP1;CA2;CDCP1;SLC1A5;SYNGR2;P4HA1;ST3GAL4;BCL2L1;SH3BGRL2;IRF6;ARL4A;GSTO1;LCLAT1;CTSZ;IL1R2;PLIN2;SPRED2;ITGAV;NOP2;PTRH2;FAH;BHLHE40;CDC42SE2;NCOA3;CYFIP1;RORA;HIPK2;CKAP4;CCND3;ALCAM;MYO1E	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0408303905044394	0.0819082052219568	0.321775918075361	-0.370765219769308	-1.2662097427008	188	PMEPA1;IER3;LAMB3;SQSTM1;PHLDA1;VEGFA;F3;KLF6;SDC4;PLAUR;TNFAIP2;BIRC3;MCL1;SAT1;CCND1;ZC3H12A;CD44;IER2;G0S2;KYNU;LDLR;CLCF1;EFNA1;FOS;SERPINB2;TNIP1;SMAD3;PHLDA2;CCNL1;AREG;IFNGR2;JUN;KLF4;LITAF;TAP1;PFKFB3;IRF1;PLK2;ZFP36;TRIP10;EIF1;EHD1;CXCL3	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_APICAL_JUNCTION	0.0609555189456343	0.112880590640063	0.234392647294686	0.397443285473744	1.27214225652458	191	MYL9;ACTG2;SPEG;ACTN1;SDC3;CD99;NEXN;PECAM1;VWF;PARVA;SORBS3;GNAI2;VCL;ACTB;HADH;CLDN5;MSN;MAP3K20;RSU1;FBN1;AKT3;EVL;FLNC;JAM3;TRAF1;MMP9;PTPRC;EPB41L2;CDH11;LAYN;VAV2;SGCE;IRS1;TMEM8B;AKT2;ACTC1;TSPAN4;INPPL1;ITGA9;SHC1;COL16A1;MYH10;ZYX;CD86;YWHAH;MAPK11;ARHGEF6;ADAM15;PKD1;RRAS;PFN1;CD209;TGFBI;SHROOM2;SLIT2;LDLRAP1;PTEN	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_KRAS_SIGNALING_DN	0.0785597381342062	0.140285246668225	0.204294756516886	0.386628362905315	1.23853639365413	192	KCNMB1;EFHD1;SYNPO;ZBTB16;NR4A2;BTG2;ACTC1;SNN;TENT5C;TCF7L1;YPEL1;ASB7;CLSTN3;ITIH3	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.112128146453089	0.190839694656489	0.20207170902116	-0.475762445015385	-1.29917227146402	44	TXN;NQO1;GPX4;PFKP;MGST1;SELENOS;G6PD;STK25;MBP;ERCC2;PRDX6;PRDX4;GCLM;SOD2;GLRX2	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_G2M_CHECKPOINT	0.114503816793893	0.190839694656489	0.211400189384923	-0.348010492743948	-1.18085197868701	179	HMGA1;JPT1;XPO1;CCND1;SLC12A2;NCL;RBM14;HNRNPD;SMAD3;UBE2C;SRSF2;HSPA8;BUB3;INCENP;CUL4A;SRSF1;NSD2;PML;TROAP;YTHDC1;TOP2A;SQLE;TRA2B;CDC20;STIL;CHEK1;RAD21;DKC1;NUMA1;MARCKS;PRC1;NUSAP1;CDK4;NOTCH2;GSPT1;SLC38A1;BCL3;PLK1;ILF3;TRAIP;PURA;CUL5;CHAF1A;MYC;RASAL2;EZH2;KIF5B;AURKA;BIRC5;MCM6;SFPQ;PBK;KIF20B;KIF11;CENPE;CCNA2;E2F1;MCM3	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_HEME_METABOLISM	0.129934210526316	0.209571307300509	0.156312403073186	0.372311955493117	1.19076359182038	180	TNS1;ELL2;CTSB;FOXO3;HAGH;NUDT4;ARL2BP;PICALM;LMO2;CAT;MARK3;ADIPOR1;SNCA;FBXO9;MXI1;GYPC;UROD;RBM5;BTG2;PPOX;ALAD;EZH1;NEK7;SLC66A2;HTRA2;TENT5C;BCAM;ISCA1;GLRX5;NFE2L1;MKRN1;LAMP2;TRAK2;RAD23A;ARHGEF12;PSMD9;VEZF1;SLC10A3;BTRC;ACKR1;UBAC1;DAAM1;ACP5;AGPAT4;KHNYN;UROS;HMBS;SYNJ1;SLC30A1;FTCD;MPP1;NNT;TFDP2;RANBP10;RNF123;SPTB	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_APOPTOSIS	0.142857142857143	0.223214285714286	0.186432558434075	-0.350208855545864	-1.16707186761343	155	KRT18;IER3;SQSTM1;PLAT;LGALS3;TSPO;ERBB2;GPX4;ERBB3;BIRC3;MCL1;ANXA1;SAT1;CCND1;CD44;TNFSF10;DAP;BCL2L1;JUN;BCL2L2;TAP1;VDAC2;LUM;IRF1;LMNA;BRCA1;TOP2A;CTNNB1;CASP6;MMP2;XIAP;F2R;CASP4;BNIP3L;BAX	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_MYC_TARGETS_V2	0.206976744186047	0.297316896301668	0.14641623786055	-0.414497426411251	-1.17370349215449	53	HSPD1;HSPE1;PA2G4;WDR74;NOP2;WDR43;CDK4;PLK1;DCTPP1;MYC;RABEPK;TMEM97;PUS1;UNG;SLC19A1;IMP4;GRWD1;RCL1;PPRC1;PRMT3	KCNMA1_KCNMB1	KCNMA1+KCNMB1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.204176334106729	0.297316896301668	0.147331213699377	-0.362481551644995	-1.13855577286676	93	LGALS3BP;LY6E;IFI27;PLSCR1;NCOA7;PSME1;PSME2;PSMB8;IFITM1;B2M;TAP1;ISG15;IRF1;BST2	KCNMA1_KCNMB1	KCNMA1+KCNMB1
