module	components	orig.ident	n_spots	n_positive_spots	n_high_spots	used_for_gsea
KCNMA1_KCNMB1	KCNMA1+KCNMB1	IU_PDA_T1	3530	419	42	TRUE
KCNMA1_KCNMB1	KCNMA1+KCNMB1	IU_PDA_T10	2714	182	20	TRUE
KCNMA1_KCNMB1	KCNMA1+KCNMB1	IU_PDA_T11	2777	1249	125	TRUE
KCNMA1_KCNMB1	KCNMA1+KCNMB1	IU_PDA_T12	3642	1795	180	TRUE
KCNMA1_KCNMB1	KCNMA1+KCNMB1	IU_PDA_T2	4118	444	45	TRUE
KCNMA1_KCNMB1	KCNMA1+KCNMB1	IU_PDA_T3	4354	907	91	TRUE
KCNMA1_KCNMB1	KCNMA1+KCNMB1	IU_PDA_T4	3621	258	26	TRUE
KCNMA1_KCNMB1	KCNMA1+KCNMB1	IU_PDA_T6	3397	456	46	TRUE
KCNMA1_KCNMB1	KCNMA1+KCNMB1	IU_PDA_T8	3779	295	30	TRUE
KCNMA1_KCNMB1	KCNMA1+KCNMB1	IU_PDA_T9	3526	1108	111	TRUE
KCNMA1_KCNMB4	KCNMA1+KCNMB4	IU_PDA_T1	3530	427	43	TRUE
KCNMA1_KCNMB4	KCNMA1+KCNMB4	IU_PDA_T10	2714	166	20	TRUE
KCNMA1_KCNMB4	KCNMA1+KCNMB4	IU_PDA_T11	2777	1111	112	TRUE
KCNMA1_KCNMB4	KCNMA1+KCNMB4	IU_PDA_T12	3642	1692	170	TRUE
KCNMA1_KCNMB4	KCNMA1+KCNMB4	IU_PDA_T2	4118	536	54	TRUE
KCNMA1_KCNMB4	KCNMA1+KCNMB4	IU_PDA_T3	4354	1017	102	TRUE
KCNMA1_KCNMB4	KCNMA1+KCNMB4	IU_PDA_T4	3621	305	31	TRUE
KCNMA1_KCNMB4	KCNMA1+KCNMB4	IU_PDA_T6	3397	446	45	TRUE
KCNMA1_KCNMB4	KCNMA1+KCNMB4	IU_PDA_T8	3779	258	26	TRUE
KCNMA1_KCNMB4	KCNMA1+KCNMB4	IU_PDA_T9	3526	1013	102	TRUE
