orig.ident	gene	component_genes	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors
IU_PDA_T11	KCNMA1_KCNMB1	KCNMA1+KCNMB1	2777	14685	1379	0.06516209922288245	13.466924355496255	1.224273877042143e-41	8.209343326193549e-40	bernoulli	30
IU_PDA_T4	KCNMA1_KCNMB1	KCNMA1+KCNMB1	3621	14334	306	0.057729654425028414	12.622156759182174	7.969760080577955e-37	3.6732649837621997e-35	bernoulli	30
IU_PDA_T6	KCNMA1_KCNMB1	KCNMA1+KCNMB1	3397	15001	488	0.05768339892952764	12.454301251433636	6.625346255218953e-36	2.615442609856303e-34	bernoulli	30
IU_PDA_T3	KCNMA1_KCNMB1	KCNMA1+KCNMB1	4354	14668	930	0.03631890318077642	9.344662602400057	4.609145328019488e-21	4.3786880616185143e-20	bernoulli	30
IU_PDA_T12	KCNMA1_KCNMB1	KCNMA1+KCNMB1	3642	15210	1939	0.03949498886339393	9.065533224390114	6.199813248837834e-20	7.165589628785977e-19	bernoulli	30
IU_PDA_T9	KCNMA1_KCNMB1	KCNMA1+KCNMB1	3526	14114	1175	0.039030034689414975	8.955027513734018	1.6982545738840755e-19	6.751877480506998e-18	bernoulli	30
IU_PDA_T1	KCNMA1_KCNMB1	KCNMA1+KCNMB1	3530	13522	513	0.03497632683519023	7.902113777428555	1.3710646744163514e-15	7.991179537697373e-14	bernoulli	30
IU_PDA_T2	KCNMA1_KCNMB1	KCNMA1+KCNMB1	4118	14707	492	0.008637931940797134	2.0897233287824415	0.018321330069743496	0.11120586105477408	bernoulli	30
IU_PDA_T10	KCNMA1_KCNMB1	KCNMA1+KCNMB1	2714	13632	219	0.007235208099281345	1.3540632428883892	0.08785810089107626	0.2960162212919307	bernoulli	30
IU_PDA_T8	KCNMA1_KCNMB1	KCNMA1+KCNMB1	3779	14219	346	0.0015140466805646882	0.3493105374346351	0.36342809419400895	0.49555179736115224	bernoulli	30
IU_PDA_T12	KCNMA1_KCNMB4	KCNMA1+KCNMB4	3642	15210	1840	0.04192098989724846	9.652540457903287	2.3976393299891706e-22	3.0064381046278058e-21	bernoulli	30
IU_PDA_T11	KCNMA1_KCNMB4	KCNMA1+KCNMB4	2777	14685	1247	0.043013157438372134	8.913993969936543	2.4613251648128427e-19	8.565061622103458e-18	bernoulli	30
IU_PDA_T6	KCNMA1_KCNMB4	KCNMA1+KCNMB4	3397	15001	470	0.03554253596914598	7.747277612330397	4.694177804546166e-15	7.620926541774571e-14	bernoulli	30
IU_PDA_T9	KCNMA1_KCNMB4	KCNMA1+KCNMB4	3526	14114	1075	0.027269397661830418	6.248421128885808	2.0731125113532942e-10	5.03612908523931e-09	bernoulli	30
IU_PDA_T1	KCNMA1_KCNMB4	KCNMA1+KCNMB4	3530	13522	515	0.026759493543685613	6.028093422838262	8.295257320310679e-10	3.1331974716547764e-08	bernoulli	30
IU_PDA_T3	KCNMA1_KCNMB4	KCNMA1+KCNMB4	4354	14668	1041	0.013881987550578075	3.5686662714996946	0.0001794015582302774	0.0006972607461901719	bernoulli	30
IU_PDA_T10	KCNMA1_KCNMB4	KCNMA1+KCNMB4	2714	13632	199	0.011059030018370775	2.08461455946252	0.01855215091145898	0.13538700279711394	bernoulli	30
IU_PDA_T4	KCNMA1_KCNMB4	KCNMA1+KCNMB4	3621	14334	407	0.007520952423612996	1.650876074672694	0.04938194105703933	0.12308133248332494	bernoulli	30
IU_PDA_T2	KCNMA1_KCNMB4	KCNMA1+KCNMB4	4118	14707	592	0.005416305257081922	1.3083907631297989	0.09537040199291047	0.3049820617764154	bernoulli	30
IU_PDA_T8	KCNMA1_KCNMB4	KCNMA1+KCNMB4	3779	14219	308	0.004764223724197286	1.0713227773355087	0.14201216084282003	0.30267001348505757	bernoulli	30
