orig.ident	gene	component_genes	component_presence	available_for_hotspot	positive_spots
IU_PDA_T1	KCNMA1_KCNMB1	KCNMA1+KCNMB1	KCNMA1=1;KCNMB1=1	True	513
IU_PDA_T1	KCNMA1_KCNMB4	KCNMA1+KCNMB4	KCNMA1=1;KCNMB4=1	True	515
IU_PDA_T10	KCNMA1_KCNMB1	KCNMA1+KCNMB1	KCNMA1=1;KCNMB1=1	True	219
IU_PDA_T10	KCNMA1_KCNMB4	KCNMA1+KCNMB4	KCNMA1=1;KCNMB4=1	True	199
IU_PDA_T11	KCNMA1_KCNMB1	KCNMA1+KCNMB1	KCNMA1=1;KCNMB1=1	True	1379
IU_PDA_T11	KCNMA1_KCNMB4	KCNMA1+KCNMB4	KCNMA1=1;KCNMB4=1	True	1247
IU_PDA_T12	KCNMA1_KCNMB1	KCNMA1+KCNMB1	KCNMA1=1;KCNMB1=1	True	1939
IU_PDA_T12	KCNMA1_KCNMB4	KCNMA1+KCNMB4	KCNMA1=1;KCNMB4=1	True	1840
IU_PDA_T2	KCNMA1_KCNMB1	KCNMA1+KCNMB1	KCNMA1=1;KCNMB1=1	True	492
IU_PDA_T2	KCNMA1_KCNMB4	KCNMA1+KCNMB4	KCNMA1=1;KCNMB4=1	True	592
IU_PDA_T3	KCNMA1_KCNMB1	KCNMA1+KCNMB1	KCNMA1=1;KCNMB1=1	True	930
IU_PDA_T3	KCNMA1_KCNMB4	KCNMA1+KCNMB4	KCNMA1=1;KCNMB4=1	True	1041
IU_PDA_T4	KCNMA1_KCNMB1	KCNMA1+KCNMB1	KCNMA1=1;KCNMB1=1	True	306
IU_PDA_T4	KCNMA1_KCNMB4	KCNMA1+KCNMB4	KCNMA1=1;KCNMB4=1	True	407
IU_PDA_T6	KCNMA1_KCNMB1	KCNMA1+KCNMB1	KCNMA1=1;KCNMB1=1	True	488
IU_PDA_T6	KCNMA1_KCNMB4	KCNMA1+KCNMB4	KCNMA1=1;KCNMB4=1	True	470
IU_PDA_T8	KCNMA1_KCNMB1	KCNMA1+KCNMB1	KCNMA1=1;KCNMB1=1	True	346
IU_PDA_T8	KCNMA1_KCNMB4	KCNMA1+KCNMB4	KCNMA1=1;KCNMB4=1	True	308
IU_PDA_T9	KCNMA1_KCNMB1	KCNMA1+KCNMB1	KCNMA1=1;KCNMB1=1	True	1175
IU_PDA_T9	KCNMA1_KCNMB4	KCNMA1+KCNMB4	KCNMA1=1;KCNMB4=1	True	1075
