pathway	orig.ident	n_spots	spearman_rho	p_value	fdr
Tumor_Epithelial	IU_PDA_T1	3529	0.0595061372749475	0.000404903365538013	0.000578433379340018
Tumor_Epithelial	IU_PDA_T10	2713	0.0433683756865204	0.0238879122270728	0.0265421246967475
Tumor_Epithelial	IU_PDA_T11	2776	0.227562686089523	6.17065142749455e-34	6.17065142749455e-33
Tumor_Epithelial	IU_PDA_T12	3641	0.111299176561391	1.64498688979926e-11	5.48328963266421e-11
Tumor_Epithelial	IU_PDA_T2	4117	0.107156502946342	5.44968189087134e-12	2.72484094543567e-11
Tumor_Epithelial	IU_PDA_T3	4353	0.0609535018718781	5.7185720926713e-05	9.53095348778551e-05
Tumor_Epithelial	IU_PDA_T4	3620	0.0283657236249084	0.0879302035949443	0.0879302035949443
Tumor_Epithelial	IU_PDA_T6	3396	0.0841967988821077	8.9461941359037e-07	1.78923882718074e-06
Tumor_Epithelial	IU_PDA_T8	3778	0.0862771575666563	1.08897379175048e-07	2.7224344793762e-07
Tumor_Epithelial	IU_PDA_T9	3525	0.0432069397034259	0.0103009954457508	0.0128762443071885
