pathway	orig.ident	n_spots	spearman_rho	p_value	fdr
ductal_tumoral_epithelial	IU_PDA_T1	3529	0.168434604362585	7.16724968669536e-24	1.13167100316243e-23
ductal_tumoral_epithelial	IU_PDA_T10	2713	0.194809264896718	1.30547047971153e-24	2.30377143478504e-24
ductal_tumoral_epithelial	IU_PDA_T11	2776	0.272466345562737	1.89567107597602e-48	7.10876653491007e-48
ductal_tumoral_epithelial	IU_PDA_T12	3641	0.423044978494624	4.71597008002559e-158	1.41479102400768e-156
ductal_tumoral_epithelial	IU_PDA_T2	4117	0.217501468406974	2.82498611183597e-45	8.4749583355079e-45
ductal_tumoral_epithelial	IU_PDA_T3	4353	0.203883577985435	4.54026912374132e-42	1.13506728093533e-41
ductal_tumoral_epithelial	IU_PDA_T4	3620	0.253155994665106	4.80542561608071e-54	2.40271280804036e-53
ductal_tumoral_epithelial	IU_PDA_T6	3396	0.270724810208071	4.02351104703197e-58	2.41410662821918e-57
ductal_tumoral_epithelial	IU_PDA_T8	3778	0.370955301202216	1.4256810802875e-123	2.13852162043124e-122
ductal_tumoral_epithelial	IU_PDA_T9	3525	0.17803793109252	1.70891765932758e-26	3.20422061123922e-26
tumor_stress_secretory	IU_PDA_T1	3529	0.170494524609778	1.99366127610735e-24	3.32276879351225e-24
tumor_stress_secretory	IU_PDA_T10	2713	0.190605263769546	1.30524813057193e-23	1.9578721958579e-23
tumor_stress_secretory	IU_PDA_T11	2776	0.25816691377743	1.65176620772143e-43	4.50481693014937e-43
tumor_stress_secretory	IU_PDA_T12	3641	0.374760809075928	9.06299817134169e-122	9.06299817134169e-121
tumor_stress_secretory	IU_PDA_T2	4117	0.192288665647349	1.38808669520896e-35	2.97447148973349e-35
tumor_stress_secretory	IU_PDA_T3	4353	0.197735363468261	1.26252953759792e-39	2.91352970214906e-39
tumor_stress_secretory	IU_PDA_T4	3620	0.23160382125125	2.76406395550571e-45	8.4749583355079e-45
tumor_stress_secretory	IU_PDA_T6	3396	0.25532406468382	1.10884720677646e-51	4.75220231475627e-51
tumor_stress_secretory	IU_PDA_T8	3778	0.309930188348538	6.54039001683213e-85	4.9052925126241e-84
tumor_stress_secretory	IU_PDA_T9	3525	0.106060343520117	2.74453689315154e-10	3.92076699021649e-10
Tumor_proliferation_rate	IU_PDA_T1	3529	-0.0976180485879995	6.21505344032446e-09	8.47507287316972e-09
Tumor_proliferation_rate	IU_PDA_T10	2713	-0.0238970555772721	0.213382823682683	0.237092026314092
Tumor_proliferation_rate	IU_PDA_T11	2776	-0.0701423156520638	0.000216849301573619	0.000282846915096025
Tumor_proliferation_rate	IU_PDA_T12	3641	-0.1979205491748	1.75939896123515e-33	3.5187979224703e-33
Tumor_proliferation_rate	IU_PDA_T2	4117	-0.0397845948527258	0.0106809178537241	0.0128171014244689
Tumor_proliferation_rate	IU_PDA_T3	4353	0.0344912575204903	0.0228662191930674	0.0263840990689239
Tumor_proliferation_rate	IU_PDA_T4	3620	0.00548415625071875	0.74151280637646	0.74151280637646
Tumor_proliferation_rate	IU_PDA_T6	3396	-0.0066158580980184	0.699939010000362	0.724074837931408
Tumor_proliferation_rate	IU_PDA_T8	3778	0.0574165218555278	0.000414184796088827	0.000517730995111033
Tumor_proliferation_rate	IU_PDA_T9	3525	-0.0119043303949936	0.479843174917912	0.514117687412049
