pathway	gene	in_input_assay
ductal_tumoral_epithelial	EPCAM	TRUE
ductal_tumoral_epithelial	KRT8	TRUE
ductal_tumoral_epithelial	KRT18	TRUE
ductal_tumoral_epithelial	KRT7	TRUE
ductal_tumoral_epithelial	CLDN4	TRUE
ductal_tumoral_epithelial	MUC1	TRUE
ductal_tumoral_epithelial	SOX9	TRUE
ductal_tumoral_epithelial	ELF3	TRUE
ductal_tumoral_epithelial	TACSTD2	TRUE
ductal_tumoral_epithelial	TSPAN8	TRUE
tumor_stress_secretory	LCN2	TRUE
tumor_stress_secretory	SLPI	TRUE
tumor_stress_secretory	S100A10	TRUE
tumor_stress_secretory	S100P	TRUE
tumor_stress_secretory	MMP7	TRUE
tumor_stress_secretory	SPINK1	TRUE
tumor_stress_secretory	CEACAM5	TRUE
tumor_stress_secretory	MSLN	TRUE
tumor_stress_secretory	KRT20	TRUE
tumor_stress_secretory	KRT23	TRUE
Tumor_proliferation_rate	AURKA	TRUE
Tumor_proliferation_rate	AURKB	TRUE
Tumor_proliferation_rate	BUB1	TRUE
Tumor_proliferation_rate	CCNB1	TRUE
Tumor_proliferation_rate	CCND1	TRUE
Tumor_proliferation_rate	CCNE1	TRUE
Tumor_proliferation_rate	CDK2	TRUE
Tumor_proliferation_rate	CETN3	TRUE
Tumor_proliferation_rate	E2F1	TRUE
Tumor_proliferation_rate	ESCO2	TRUE
Tumor_proliferation_rate	MCM2	TRUE
Tumor_proliferation_rate	MCM6	TRUE
Tumor_proliferation_rate	MKI67	TRUE
Tumor_proliferation_rate	MYBL2	TRUE
Tumor_proliferation_rate	PLK1	TRUE
