target_gene	orig.ident	partner_gene	local_corr_z
C7	IU_PDA_T1	IGHM	20.568292353550575
C7	IU_PDA_T1	ADAMTSL2	19.927365152869342
C7	IU_PDA_T1	PTGDS	19.876179714246625
C7	IU_PDA_T1	ENG	19.77807358790067
C7	IU_PDA_T1	TGM2	19.474903243028347
C7	IU_PDA_T1	COLEC11	19.209933524631342
C7	IU_PDA_T1	IGHA1	19.209390460107496
C7	IU_PDA_T1	APOD	19.202187710070543
C7	IU_PDA_T1	HEYL	18.870269380346677
C7	IU_PDA_T1	INS	18.19809571432507
C7	IU_PDA_T1	OLFM4	17.82636848518293
C7	IU_PDA_T1	GGT5	17.35867119013347
C7	IU_PDA_T1	TSHZ2	17.32071529350016
C7	IU_PDA_T1	HAND2	17.207974176983022
C7	IU_PDA_T1	JCHAIN	17.09407149268457
C7	IU_PDA_T1	F2R	17.084588017698003
C7	IU_PDA_T1	GCG	15.277105644701056
C7	IU_PDA_T1	SOD3	13.789345240209395
C7	IU_PDA_T1	LCN2	13.327538597781633
C7	IU_PDA_T1	A2M	13.322388924965468
C7	IU_PDA_T1	TTR	12.9177019461473
C7	IU_PDA_T1	CYGB	12.804000496168634
C7	IU_PDA_T1	MFAP4	12.801846090449578
C7	IU_PDA_T1	COL14A1	12.801296395462488
C7	IU_PDA_T1	NDRG2	12.75945744487744
C7	IU_PDA_T1	EPHA3	12.711071800752531
C7	IU_PDA_T1	ANO1	12.65144639439954
C7	IU_PDA_T1	HSPB6	12.258842169350068
C7	IU_PDA_T1	DTX1	12.00900336426111
C7	IU_PDA_T1	NRXN2	11.969357219835464
C7	IU_PDA_T1	RBP1	11.69073408951971
C7	IU_PDA_T1	FXYD1	11.267043388943364
C7	IU_PDA_T1	DPEP1	11.266175190792364
C7	IU_PDA_T1	LAMA2	11.155381646828497
C7	IU_PDA_T1	PTEN	11.02661060938139
C7	IU_PDA_T1	NR2F2	10.911190488191785
C7	IU_PDA_T1	PROS1	10.456136948073608
C7	IU_PDA_T1	GPC3	10.446210560339223
C7	IU_PDA_T1	PIGR	10.270331965139407
C7	IU_PDA_T1	OAF	10.246439124027177
C7	IU_PDA_T1	LTBP4	10.214929585087432
C7	IU_PDA_T1	BOC	10.174430820823854
C7	IU_PDA_T1	EIF4B	10.153092433397411
C7	IU_PDA_T1	IGKV4-1	10.106789236620425
C7	IU_PDA_T1	ZCCHC24	9.954903925430154
C7	IU_PDA_T1	CYP1B1	9.9219983867478
C7	IU_PDA_T1	GUCY1A1	9.906754877731393
C7	IU_PDA_T1	FMO3	9.825764342798827
C7	IU_PDA_T1	F2RL2	9.73979754095999
C7	IU_PDA_T1	TNXB	9.659502202275391
C7	IU_PDA_T1	KIAA1755	9.575229287912434
C7	IU_PDA_T1	MAPK10	9.544081593872614
C7	IU_PDA_T1	FRZB	9.527433436644092
C7	IU_PDA_T1	MGP	9.40391161668332
C7	IU_PDA_T1	SFRP4	9.239086411422202
C7	IU_PDA_T1	LXN	9.208434660785272
C7	IU_PDA_T1	SELENOP	9.169213797930675
