target_gene	partner_gene	n_sections_tested	n_sections_positive_z	median_local_corr_z	max_local_corr_z	min_local_corr_z
C1R	MFAP4	10	10	6.7992997247537215	11.664882986167916	0.5019951411855997
C1R	DCN	10	10	5.808194928581283	10.540589757583572	1.9787594321438347
C1R	KCNJ8	10	10	2.1357572797159454	3.9761774151915197	0.6891314812330316
C1R	KCND3	10	9	1.855321301615612	5.772856284072144	-0.3710815229230968
C1R	KCNE4	10	9	1.7006990328593146	4.015892094291804	-0.08777556090110777
C1R	CCL19	10	9	1.4613890375892855	9.221842498276235	-0.9956632041292547
C1R	PTGDS	8	8	6.586518796751008	9.375628746220087	2.0028415944171676
C1R	C7	10	8	6.139355835181717	10.438861362711382	-2.2882915567860085
C1R	SFRP4	9	8	4.499886393986052	11.61494253276392	-0.09389155566640758
C1R	KCNMA1	10	8	2.22817233326976	4.811346068116315	-2.3174202787161953
C1R	KCNS3	10	8	0.8447244038571952	5.827340986926373	-6.029220385842923
C1R	KCNAB2	10	8	0.6132837683131975	2.522803183231048	-0.20612966598892837
C1R	SERPINF1	7	7	8.252303138756782	13.648264163993975	5.387586940563568
C1R	MMP2	8	7	6.761341595660612	11.862892448740414	-4.354001282775543
C1R	CCN1	8	7	5.86801427335166	14.628682914511343	-2.893701317503963
C1R	MGP	7	7	5.104455173434328	10.054194685588556	2.58036363925534
C1R	SFRP2	8	7	4.638410329484239	10.268872816534406	-3.487445449362447
C1R	CCN2	8	7	4.4349259053875265	11.590487030549685	-3.865756919131112
C1R	IGKV4-1	9	7	2.376723226608685	7.612127168804467	-1.4095593638515813
C1R	IGHG1	9	7	2.2987511706004047	4.168900611615069	-3.328506278428912
C1R	ADAMTS1	7	7	2.2936409564455307	10.418003020817538	0.7672585087107064
C1R	CLU	10	7	2.2110924412965316	9.436475607333156	-3.556996502866952
C1R	IGLV3-1	8	7	1.2441700781346234	6.24022739445979	-0.5253897403511684
C1R	IGLC1	10	7	1.181054000956971	6.5684743804688	-2.6946109436710604
C1R	KCNN3	10	7	1.0479908476647681	3.3578363276494554	-1.2182305218510483
C1R	CCL21	10	7	0.9963885519740562	6.646905905850492	-2.127734445202245
C1R	KCNMB1	10	7	0.6537044273506777	6.8422477326663875	-3.030813690050863
C1R	KCNK17	10	7	0.3460821538330181	1.631790631236	-0.9674771320049648
C1R	KCNT2	10	7	0.34176398364274657	0.9938265832852802	-0.7034840016537448
C1R	FBLN1	7	6	7.124055806065009	9.239443054726411	-1.0949093368176694
C1R	THBS1	7	6	5.640913677498599	10.027704255868036	-5.450726496734177
C1R	CCDC80	7	6	5.474967575034091	12.975804596351589	-0.48304259298225943
C1R	AEBP1	6	6	5.435149507533384	11.800653730723642	0.9910864926753319
C1R	HSPB6	7	6	5.299134149569238	8.82302228473288	-1.912406094292827
C1R	CDH11	7	6	5.076622000358434	9.031770990983762	-3.8598822615864843
C1R	NR4A1	8	6	5.028305846265188	10.182456364446482	-5.164267371453742
C1R	LUM	6	6	4.689151463926555	9.95690780680805	2.178464882368474
C1R	HLA-DRA	7	6	4.464104493392103	15.13232716526234	-2.0585218876149254
C1R	CTHRC1	9	6	3.8195830585351804	13.146401020161301	-5.2463576714336195
C1R	ACTA2	7	6	3.6786857991832145	11.708279372472452	-3.8567062985461003
C1R	COL5A2	7	6	3.3142421189864635	6.089629039864572	-3.872735372961823
C1R	COL10A1	9	6	3.187526561263205	8.932498811351985	-3.324164281494837
C1R	THBS2	8	6	2.1885610984083863	9.786942401210945	-4.391942496600474
C1R	COL11A1	10	6	1.881930774736329	9.475764672523894	-5.566346154927542
C1R	OLFM4	8	6	1.6779191457914504	4.789956465693107	-3.155119054554484
C1R	IGHA1	9	6	1.3781282423267207	9.382990837693276	-4.123117960362449
C1R	IGHG4	7	6	1.2292740121313521	6.90275413197946	-1.4513536199731591
C1R	GREM1	8	6	1.2205162824201685	8.221046906587699	-6.133312572630835
C1R	DMBT1	7	6	1.0628874865860467	5.256134802304136	-4.13134582276169
C1R	KCNK3	10	6	0.4288075866460312	3.8833509435388724	-2.3053064377263235
C1R	KCNC4	10	6	0.3734848005413136	2.229589498548912	-1.8537301876890027
C1R	KCNMB4	10	6	0.35516422964407085	1.350740407712441	-3.7819597502983195
C1R	KCND2	10	6	0.30264534786135044	2.2477561496446934	-2.0001120747381447
C1R	KCNK15	10	6	0.2829564660380999	1.6198487574235991	-1.3710567178624624
C1R	KCNAB1	10	6	0.11372688674424819	1.0669860032334768	-0.5177573959906957
C1R	DUSP1	6	5	6.932071516464719	8.845915112742972	-5.382703620639833
C1R	OGN	5	5	6.776016759456241	9.243936760681484	1.9547802783694992
C1R	CXCL12	6	5	6.632452708083348	9.242680637040959	-1.8489317136963344
C1R	RARRES2	6	5	6.550793465324258	9.239627531740481	-2.1932945532847494
C1R	ENG	5	5	6.511869634499689	8.117324257586343	2.1699874677280246
C1R	CEBPD	5	5	6.4979918869174496	8.357604528265941	3.5647504237468075
C1R	SELENOP	5	5	6.4375124857414745	10.609548513231747	1.8042892741646803
C1R	DPT	6	5	6.3598315793869045	7.861697684849841	-1.825203331291545
C1R	JCHAIN	6	5	5.830158978672426	8.98309025826644	-1.9751334937310925
C1R	SERPING1	5	5	5.6423662880422745	7.2462203371917076	5.035511732233207
C1R	FBLN2	6	5	5.307507749653591	11.34114724510139	-1.9561706808974217
C1R	C11orf96	6	5	4.9788404855555655	10.33765009722374	-3.423189388420282
C1R	SOD3	6	5	4.68043453304211	8.211548587186845	-1.1746048938292866
C1R	MT1X	6	5	4.214367977253664	5.855850541863005	-0.5163492357882211
C1R	C1QB	6	5	4.166787646862191	5.3600002115769625	-2.35979790925479
C1R	PDLIM3	7	5	4.078201351355361	11.408031040266064	-3.23341822124136
C1R	ANTXR1	6	5	3.993545191392178	8.56129544287497	-3.1172123905899305
C1R	LAPTM5	6	5	3.907523695846746	10.948346648926476	-2.2099239938120494
C1R	TNXB	6	5	3.6980727748368234	9.407655971321093	-1.6394806624351719
C1R	PRELP	5	5	3.6906327145002473	5.411501162656741	1.9408302693771895
C1R	C3	6	5	3.4143470545443617	9.411439340374761	-1.090295482291736
C1R	IGHJ6	6	5	3.3968900673338753	7.566805258463434	-1.0078674282801103
C1R	COL5A1	7	5	3.171451264997562	7.159222106883999	-2.8613261186666183
C1R	VCAN	7	5	3.1273719409179215	6.605719315173421	-2.079347650265272
C1R	RASD1	5	5	2.930266508367433	8.122054907247707	2.048263137246042
C1R	ITGA11	8	5	2.832358734106069	9.921581507345442	-4.354021942927047
C1R	SERPINE1	8	5	2.5821634888960836	5.68824520823711	-6.436559764034057
C1R	COL12A1	8	5	2.418952148752178	8.199957344169063	-5.745733782924692
C1R	FOSB	8	5	2.413844207016321	10.471163327180504	-4.962145037086398
C1R	CPE	5	5	2.269710359865798	8.38859903345691	0.7652382183002778
C1R	APOD	7	5	2.1023968965313804	7.124067105633813	-4.609418876089002
C1R	THBS4	6	5	1.8616190195469546	7.767239238974924	-3.6191112741816043
C1R	BTG2	5	5	1.4048813893968828	10.197797414125812	0.4958510418805125
C1R	ABCC8	6	5	1.1408521362798525	4.572826266058152	-1.228262623997863
C1R	IGHG2	8	5	1.1341925561732833	7.92384263103693	-2.366127518633335
C1R	IGHM	10	5	0.9234015523133635	6.740122890544956	-1.8633845132040232
C1R	CXCL14	9	5	0.578617984851195	6.287273169189925	-3.6309237862268042
C1R	LOXL2	7	5	0.42761056769303324	5.453308303544119	-5.141451486337759
C1R	KCNB1	8	5	0.15591553414981665	0.6485616333253845	-1.048907774367532
C1R	KCNQ4	10	5	0.0025427483576367996	2.229305984536889	-1.7673272296730727
C1R	MMP11	10	5	-0.28258871085687454	7.195235149302182	-6.228692447945776
C1R	C1S	4	4	8.515316592187945	15.382279979649113	6.756255199213703
C1R	CRISPLD2	4	4	7.589171688738963	9.13493410504399	1.5964080693785745
C1R	HLA-DPB1	4	4	7.380062887743838	11.551372436388535	2.1917456272761764
C1R	GADD45B	5	4	7.31309917567894	11.633893355055125	-3.7895209972660124
C1R	PCOLCE	4	4	7.2405931314895735	11.098623150986075	6.014412423349033
C1R	CD74	4	4	6.965018871914534	9.798631918120863	0.8775028410551556
C1R	COL14A1	4	4	6.884518101140738	10.276696021583046	1.984989098583605
C1R	HLA-DPA1	4	4	6.731319494100472	10.64931475166004	3.316457600316462
C1R	CTSK	5	4	6.537051267315776	9.754380543151502	-2.0856805237016234
C1R	DEPP1	4	4	6.282477704925307	9.934916113869882	2.743205326864285
C1R	GPX3	4	4	6.269294711145012	6.980105713527234	2.4330427726644555
C1R	GAS1	6	4	6.173986975595214	7.394590668046592	-3.5062684906478734
C1R	MXRA8	4	4	6.132621141062183	10.588516529038188	2.9758777074354494
C1R	PTGIS	4	4	5.944364553491509	12.712428787613987	3.4900133128764237
C1R	PRSS23	5	4	5.865534403129931	6.928368350060065	-3.3781167053067604
C1R	MT2A	5	4	5.703601005891558	6.75635262563636	-1.5133561601063201
C1R	MYC	4	4	5.634328192447446	7.367463268038201	0.7189836506110119
C1R	HTRA1	5	4	5.445568087471903	7.065639270178137	-1.5817535129868563
C1R	NR4A3	5	4	4.878507151685516	7.805218745790832	-5.149882461516304
C1R	IGFBP4	4	4	4.837373716691979	10.191268626847583	1.5347344320315186
C1R	SRPX	4	4	4.788272126267246	6.58570590328727	2.0293340342577038
C1R	IL7R	5	4	4.708903940968866	8.931692137795515	-0.9816530608176931
C1R	EPHA3	4	4	4.641123315548621	6.552520056116837	1.3902138124288825
C1R	FBN1	5	4	4.632996227201878	13.027541304770473	-2.2554426717811706
C1R	LIMS2	4	4	4.6230643032166086	10.684324615741765	0.6123040172380732
C1R	DPEP1	4	4	4.612590201568214	5.868129007972743	0.1597215272405818
C1R	MS4A7	4	4	4.30990750411107	6.8270564059652035	2.82353123470751
C1R	LOX	4	4	4.2697157004194235	6.587973584036158	2.1473056801377077
C1R	INHBA	7	4	4.119979473034237	7.89146802992169	-5.014835650788234
C1R	TAGLN	6	4	4.118363491795689	11.321088533367455	-4.424547959528818
C1R	COL16A1	4	4	3.8532473078952516	11.004058464196461	0.8889811320949482
C1R	NUPR1	5	4	3.826869741945175	7.034582379051875	-1.3334433196828013
C1R	FBLN5	4	4	3.352982553708318	6.827234912169772	0.11371500153441207
C1R	CNN1	6	4	2.8649083488600864	6.2609937699356175	-3.9460800920572625
C1R	MMP9	6	4	2.8056125899633315	9.993479444974698	-2.9156944637511986
C1R	HEYL	5	4	2.7645927006482642	5.826854451665469	-0.5517537315579177
C1R	SYNPO2	5	4	2.5147317677637386	8.730498549284382	-2.585761583546654
C1R	MFAP5	6	4	2.4097558852013865	5.745637425965492	-3.748828767367586
C1R	COLEC11	5	4	2.120954121273581	5.86669965185881	-3.781249010022369
C1R	IGKC	7	4	2.072131345098155	4.556989085783777	-3.661542189855226
C1R	LRRC15	7	4	1.8487949115305309	7.018947864431765	-4.7461887308069155
C1R	APOE	6	4	1.792452331961429	4.190265698166586	-0.653842716137148
C1R	TTR	6	4	1.7282061879437611	5.059131811987915	-3.2736285170333828
C1R	AGT	6	4	1.6398317458778906	5.25848341566699	-3.1751431103506014
C1R	MZB1	4	4	1.6154570933170198	8.807790218273881	0.15051320554440945
C1R	CCL18	6	4	1.436340918396752	4.1082852656029685	-0.5487380334637283
C1R	PLAU	6	4	1.381446310299468	5.423946826735452	-4.8314598002330165
C1R	SST	4	4	0.7082551294085813	3.5776247616592354	0.21052790378852693
C1R	IGLV9-49	4	4	0.6866511367113368	1.7880965096948644	0.1579596893193927
C1R	IGHV1-46	4	4	0.569054810402123	2.6209635222539207	0.17753637555657414
C1R	IGHD	5	4	0.4786552470869293	4.765778452006583	-1.569797671190529
C1R	CRP	5	4	0.4277564587358193	4.000930305015146	-4.258774134789061
C1R	LYZ	6	4	0.3333744845943872	9.305252499487459	-3.6037561000802807
C1R	CST1	7	4	0.3165076520310398	2.670268514252133	-4.7726034244754265
C1R	GCG	7	4	0.2420002325931087	4.57635448344834	-5.326498571639845
