target_gene	orig.ident	partner_gene	local_corr_z
C7	IU_PDA_T1	KCND3	3.8963257491959236
C7	IU_PDA_T1	KCNJ16	2.708768700597655
C7	IU_PDA_T1	KCNK17	2.3781467315784632
C7	IU_PDA_T1	KCNN4	1.9333689805577317
C7	IU_PDA_T1	KCNQ4	1.830071161767152
C7	IU_PDA_T1	KCNC4	1.735863181171494
C7	IU_PDA_T1	KCNS3	1.6293187588717652
C7	IU_PDA_T1	KCNK1	1.5808406227626604
C7	IU_PDA_T1	KCNK6	1.4452522730187365
C7	IU_PDA_T1	KCNT2	1.3272273734088382
C7	IU_PDA_T1	KCNJ8	1.011031973530492
C7	IU_PDA_T1	KCNE4	0.7464582058399513
C7	IU_PDA_T1	KCNA5	0.5965608829056995
C7	IU_PDA_T1	KCNN3	0.5226853460146063
C7	IU_PDA_T1	KCNK3	0.46886929298059254
C7	IU_PDA_T1	KCNB1	0.20133373211039488
C7	IU_PDA_T1	KCNAB2	0.17692880460312643
C7	IU_PDA_T1	KCNK15	-0.025320357656597722
C7	IU_PDA_T1	KCNJ15	-0.5349946739470208
C7	IU_PDA_T1	KCNAB1	-0.5948851945197182
C7	IU_PDA_T1	KCNMB4	-0.8526588522324418
C7	IU_PDA_T1	KCND2	-2.5075389798178427
C7	IU_PDA_T1	KCNMB1	-2.754850517579915
C7	IU_PDA_T1	KCNMA1	-7.637460332700608
C1R	IU_PDA_T1	KCND3	2.7592628349836956
C1R	IU_PDA_T1	KCNQ4	2.229305984536889
C1R	IU_PDA_T1	KCNS3	1.6525365533030147
C1R	IU_PDA_T1	KCNJ16	1.6322351943785156
C1R	IU_PDA_T1	KCNC4	1.1292043155310922
C1R	IU_PDA_T1	KCNE4	0.9027744363714759
C1R	IU_PDA_T1	KCNN3	0.866534957122526
C1R	IU_PDA_T1	KCNN4	0.7717721182982112
C1R	IU_PDA_T1	KCNJ8	0.6891314812330316
C1R	IU_PDA_T1	KCNK1	0.6044802161948393
C1R	IU_PDA_T1	KCNK17	0.5955233984001671
C1R	IU_PDA_T1	KCNK3	0.5873141609013249
C1R	IU_PDA_T1	KCNT2	0.333703887183305
C1R	IU_PDA_T1	KCNK6	0.32387841797405353
C1R	IU_PDA_T1	KCNA5	0.2707736926742707
C1R	IU_PDA_T1	KCNK15	0.1948648663909223
C1R	IU_PDA_T1	KCNAB2	0.14190488162824
C1R	IU_PDA_T1	KCNB1	-0.07390900430952842
C1R	IU_PDA_T1	KCNAB1	-0.10726123220136735
C1R	IU_PDA_T1	KCNMB4	-0.1776973697455306
C1R	IU_PDA_T1	KCNJ15	-0.4827371748681223
C1R	IU_PDA_T1	KCNMB1	-0.8464239240883046
C1R	IU_PDA_T1	KCND2	-2.0001120747381447
C1R	IU_PDA_T1	KCNMA1	-2.3174202787161953
CCL19	IU_PDA_T1	KCNK17	2.451747232070502
CCL19	IU_PDA_T1	KCND3	2.0587487768902712
CCL19	IU_PDA_T1	KCNK6	1.6718692629074092
CCL19	IU_PDA_T1	KCNJ16	1.5220570897716668
CCL19	IU_PDA_T1	KCNT2	1.3902815721534536
CCL19	IU_PDA_T1	KCNJ8	0.7262025946604801
CCL19	IU_PDA_T1	KCNE4	0.5807538849444114
CCL19	IU_PDA_T1	KCNQ4	0.5456564855215817
CCL19	IU_PDA_T1	KCNC4	0.44380569905078254
CCL19	IU_PDA_T1	KCNAB2	0.3947685928462639
CCL19	IU_PDA_T1	KCNN4	0.3359047363945099
CCL19	IU_PDA_T1	KCNB1	0.28627821089386574
CCL19	IU_PDA_T1	KCNA5	0.24856175564935573
CCL19	IU_PDA_T1	KCNK3	0.2314416456764321
CCL19	IU_PDA_T1	KCNK15	0.008913408385477254
CCL19	IU_PDA_T1	KCNMB4	-0.12992778103881386
CCL19	IU_PDA_T1	KCNAB1	-0.14602460358922453
CCL19	IU_PDA_T1	KCNN3	-0.3606110358046781
CCL19	IU_PDA_T1	KCNK1	-0.47176824619576896
CCL19	IU_PDA_T1	KCNJ15	-0.7375701696527872
CCL19	IU_PDA_T1	KCNMB1	-0.7794628402292704
CCL19	IU_PDA_T1	KCNS3	-0.8315095161768828
CCL19	IU_PDA_T1	KCND2	-1.9674186654810515
CCL19	IU_PDA_T1	KCNMA1	-2.7288690062028715
CCL21	IU_PDA_T1	KCNA5	3.7333413122915315
CCL21	IU_PDA_T1	KCNK3	3.391437238912701
CCL21	IU_PDA_T1	KCNJ16	2.9064185212398552
CCL21	IU_PDA_T1	KCNB1	2.780232970723954
CCL21	IU_PDA_T1	KCNK17	2.74865359703226
CCL21	IU_PDA_T1	KCNQ4	2.4489259248442368
CCL21	IU_PDA_T1	KCNK15	2.376776686239797
CCL21	IU_PDA_T1	KCNT2	2.3751510361755432
CCL21	IU_PDA_T1	KCNAB1	2.2922521561304747
CCL21	IU_PDA_T1	KCNN3	2.037690820741686
CCL21	IU_PDA_T1	KCNJ15	1.772939088772374
CCL21	IU_PDA_T1	KCNMB1	1.1930041688119257
CCL21	IU_PDA_T1	KCNK1	0.8963303826876955
CCL21	IU_PDA_T1	KCNMB4	0.8307056016234845
CCL21	IU_PDA_T1	KCNS3	0.6562862602177169
CCL21	IU_PDA_T1	KCNK6	0.5453438719994916
CCL21	IU_PDA_T1	KCNJ8	0.532406692481297
CCL21	IU_PDA_T1	KCNE4	0.5214010927067311
CCL21	IU_PDA_T1	KCNC4	0.3612471870200761
CCL21	IU_PDA_T1	KCNN4	0.11805953943649869
CCL21	IU_PDA_T1	KCNAB2	0.08245587184225789
CCL21	IU_PDA_T1	KCND3	0.07675628283230965
CCL21	IU_PDA_T1	KCND2	-0.14345164087816256
CCL21	IU_PDA_T1	KCNMA1	-0.25280247294171315
MFAP4	IU_PDA_T1	KCND3	4.234668121269686
MFAP4	IU_PDA_T1	KCNJ8	2.1713392258722455
MFAP4	IU_PDA_T1	KCNK17	2.162494516868395
MFAP4	IU_PDA_T1	KCNJ16	2.050647757508053
MFAP4	IU_PDA_T1	KCNQ4	1.7604389871636104
MFAP4	IU_PDA_T1	KCNS3	1.334497851496681
MFAP4	IU_PDA_T1	KCNT2	1.2074638230366863
MFAP4	IU_PDA_T1	KCNE4	1.1742599570280117
MFAP4	IU_PDA_T1	KCNC4	1.07232651414943
MFAP4	IU_PDA_T1	KCNAB2	0.9785195447707495
MFAP4	IU_PDA_T1	KCNK1	0.8993086907680204
MFAP4	IU_PDA_T1	KCNN3	0.8420614285668633
MFAP4	IU_PDA_T1	KCNK6	0.7628872270779592
MFAP4	IU_PDA_T1	KCNMB4	0.5555980833381916
MFAP4	IU_PDA_T1	KCNA5	0.3151558771363219
MFAP4	IU_PDA_T1	KCNJ15	0.10810819222106724
MFAP4	IU_PDA_T1	KCNK3	0.08043053302771
MFAP4	IU_PDA_T1	KCNK15	-0.02458473586137287
MFAP4	IU_PDA_T1	KCNB1	-0.17808372942818645
MFAP4	IU_PDA_T1	KCNN4	-0.3976883093687867
MFAP4	IU_PDA_T1	KCNMB1	-0.5998993439876148
MFAP4	IU_PDA_T1	KCNAB1	-0.6974175882605472
MFAP4	IU_PDA_T1	KCND2	-1.779194303898716
MFAP4	IU_PDA_T1	KCNMA1	-4.905241665280095
CLU	IU_PDA_T1	KCNK6	1.8456273118352944
CLU	IU_PDA_T1	KCNMB1	1.8371378369701825
CLU	IU_PDA_T1	KCNK15	1.7423206855142863
CLU	IU_PDA_T1	KCNQ4	1.585703988458373
CLU	IU_PDA_T1	KCNT2	1.5852494123314247
CLU	IU_PDA_T1	KCND3	1.4874128918651082
CLU	IU_PDA_T1	KCNJ15	1.3697970662747754
CLU	IU_PDA_T1	KCNK17	1.2756958932003124
CLU	IU_PDA_T1	KCNK3	1.1865869073085769
CLU	IU_PDA_T1	KCNC4	0.9495753764860573
CLU	IU_PDA_T1	KCNMA1	0.802887909918604
CLU	IU_PDA_T1	KCNJ8	0.7242662709005071
CLU	IU_PDA_T1	KCNN3	0.683184017997022
CLU	IU_PDA_T1	KCNK1	0.5673272312667377
CLU	IU_PDA_T1	KCNA5	0.5217654972938239
CLU	IU_PDA_T1	KCNN4	0.39610162718282926
CLU	IU_PDA_T1	KCNMB4	0.2271330715690004
CLU	IU_PDA_T1	KCNB1	0.15000138156439527
CLU	IU_PDA_T1	KCNAB1	0.063291920297542
CLU	IU_PDA_T1	KCNS3	0.02460299423684703
CLU	IU_PDA_T1	KCNJ16	0.0177544822409356
CLU	IU_PDA_T1	KCNE4	-0.20739295342103817
CLU	IU_PDA_T1	KCND2	-0.44178299936918325
CLU	IU_PDA_T1	KCNAB2	-2.7314113166966147
DCN	IU_PDA_T1	KCNS3	1.853330605603334
DCN	IU_PDA_T1	KCNK1	0.7143467811200703
DCN	IU_PDA_T1	KCNE4	0.6368482742636127
DCN	IU_PDA_T1	KCNJ15	0.6071225937363923
DCN	IU_PDA_T1	KCNK6	0.5100074757633853
DCN	IU_PDA_T1	KCNN3	0.3906075706024035
DCN	IU_PDA_T1	KCNAB2	0.22454729361053016
DCN	IU_PDA_T1	KCND3	0.1901438962012101
DCN	IU_PDA_T1	KCNMB4	0.11955416266305095
DCN	IU_PDA_T1	KCNN4	0.11330441942055533
DCN	IU_PDA_T1	KCNJ16	-0.13475195784553773
DCN	IU_PDA_T1	KCNJ8	-0.45717868174645754
DCN	IU_PDA_T1	KCNK17	-0.6718752375538795
DCN	IU_PDA_T1	KCNC4	-0.9196211595024293
DCN	IU_PDA_T1	KCNA5	-0.9257603380428645
DCN	IU_PDA_T1	KCND2	-1.0625205750125133
DCN	IU_PDA_T1	KCNB1	-1.1237573289808134
DCN	IU_PDA_T1	KCNK3	-1.1295401855337517
DCN	IU_PDA_T1	KCNT2	-1.6191863937003645
DCN	IU_PDA_T1	KCNMA1	-1.848993173337539
DCN	IU_PDA_T1	KCNAB1	-1.9509408202680845
DCN	IU_PDA_T1	KCNK15	-2.024809071072757
DCN	IU_PDA_T1	KCNQ4	-2.3059702260364863
DCN	IU_PDA_T1	KCNMB1	-3.9307018234174196
C7	IU_PDA_T10	KCNN3	1.707149930917379
C7	IU_PDA_T10	KCNJ8	1.6850890826113283
C7	IU_PDA_T10	KCNS3	1.1440652922379053
C7	IU_PDA_T10	KCNK17	1.0360303139719405
C7	IU_PDA_T10	KCND3	0.9414634301206861
C7	IU_PDA_T10	KCNK1	0.8715163963300514
C7	IU_PDA_T10	KCNK3	0.8095531115733889
C7	IU_PDA_T10	KCNMB4	0.7426028259248102
C7	IU_PDA_T10	KCNJ16	0.7206122852835168
C7	IU_PDA_T10	KCNMA1	0.6746353682342755
C7	IU_PDA_T10	KCNA5	0.5572659648973495
C7	IU_PDA_T10	KCNT2	0.2761988091578085
C7	IU_PDA_T10	KCNE4	0.14054150698352136
C7	IU_PDA_T10	KCNC4	0.13642308982271542
C7	IU_PDA_T10	KCNK15	0.06468799087512135
C7	IU_PDA_T10	KCNN4	0.06292151680190852
C7	IU_PDA_T10	KCNK6	-0.009085577082992078
C7	IU_PDA_T10	KCNB1	-0.114576920139851
C7	IU_PDA_T10	KCNAB1	-0.4805080755407042
C7	IU_PDA_T10	KCND2	-0.5207908706700685
C7	IU_PDA_T10	KCNQ4	-0.5329549553991368
C7	IU_PDA_T10	KCNAB2	-0.6751807666731372
C7	IU_PDA_T10	KCNMB1	-0.8650914353923004
C7	IU_PDA_T10	KCNJ15	-1.4534552648949939
C1R	IU_PDA_T10	KCNMA1	2.5355848130522443
C1R	IU_PDA_T10	KCNN3	1.55156269084075
C1R	IU_PDA_T10	KCNJ8	1.0939220272905295
C1R	IU_PDA_T10	KCNK17	0.9793663469053069
C1R	IU_PDA_T10	KCNK15	0.895887364468728
C1R	IU_PDA_T10	KCNC4	0.8647880664470355
C1R	IU_PDA_T10	KCNK3	0.7769572935727488
C1R	IU_PDA_T10	KCNS3	0.4643986107053771
C1R	IU_PDA_T10	KCNJ15	0.442367110265339
C1R	IU_PDA_T10	KCNAB2	0.3704181291248381
C1R	IU_PDA_T10	KCND3	0.361048973168045
C1R	IU_PDA_T10	KCNT2	0.34982408010218813
C1R	IU_PDA_T10	KCNMB1	0.24418904894159238
C1R	IU_PDA_T10	KCNQ4	0.20966167687187323
C1R	IU_PDA_T10	KCNMB4	0.07549545704473751
C1R	IU_PDA_T10	KCNK6	0.002775416590334052
C1R	IU_PDA_T10	KCNB1	-0.022658601349120344
C1R	IU_PDA_T10	KCNE4	-0.08777556090110777
C1R	IU_PDA_T10	KCNA5	-0.2380135116024904
C1R	IU_PDA_T10	KCNJ16	-0.2878736762283734
C1R	IU_PDA_T10	KCND2	-0.4426771893053315
C1R	IU_PDA_T10	KCNAB1	-0.5177573959906957
C1R	IU_PDA_T10	KCNN4	-2.5362059001020807
C1R	IU_PDA_T10	KCNK1	-3.6243069435392448
CCL19	IU_PDA_T10	KCNK3	2.8388333026494323
CCL19	IU_PDA_T10	KCND3	2.1332431853716876
CCL19	IU_PDA_T10	KCNJ16	1.7500443183196546
CCL19	IU_PDA_T10	KCNK17	1.5833451508048761
CCL19	IU_PDA_T10	KCNT2	1.2339715586766589
CCL19	IU_PDA_T10	KCNB1	1.2228686833889646
CCL19	IU_PDA_T10	KCNMA1	1.2226240721197263
CCL19	IU_PDA_T10	KCND2	1.0636897857788965
CCL19	IU_PDA_T10	KCNA5	0.9852442456390634
CCL19	IU_PDA_T10	KCNAB2	0.7983331804649358
CCL19	IU_PDA_T10	KCNJ15	0.5964499178223435
CCL19	IU_PDA_T10	KCNAB1	0.5298890429248222
CCL19	IU_PDA_T10	KCNK15	0.5133956502363688
CCL19	IU_PDA_T10	KCNE4	0.48121720061678885
CCL19	IU_PDA_T10	KCNN3	0.44407218839868423
CCL19	IU_PDA_T10	KCNJ8	0.4387780482569768
CCL19	IU_PDA_T10	KCNS3	0.35990948983053395
CCL19	IU_PDA_T10	KCNK6	0.21210946042810155
CCL19	IU_PDA_T10	KCNMB4	0.2090795408728856
CCL19	IU_PDA_T10	KCNQ4	0.1960576331028131
CCL19	IU_PDA_T10	KCNMB1	-0.5233575682450977
CCL19	IU_PDA_T10	KCNC4	-0.94858886700156
CCL19	IU_PDA_T10	KCNN4	-1.2821881803324684
CCL19	IU_PDA_T10	KCNK1	-2.494279648042987
CCL21	IU_PDA_T10	KCNN3	3.077049941611423
CCL21	IU_PDA_T10	KCNK17	2.5564921595382195
CCL21	IU_PDA_T10	KCNA5	1.8706591113509128
CCL21	IU_PDA_T10	KCND3	1.828212198423261
CCL21	IU_PDA_T10	KCNK3	1.427708307381278
CCL21	IU_PDA_T10	KCNJ15	1.314517156993009
CCL21	IU_PDA_T10	KCNJ16	1.2819191379056276
CCL21	IU_PDA_T10	KCNC4	1.1989155190526075
CCL21	IU_PDA_T10	KCNT2	1.0620610931615069
CCL21	IU_PDA_T10	KCNMA1	1.046397087175488
CCL21	IU_PDA_T10	KCNAB2	0.8321989496738541
CCL21	IU_PDA_T10	KCNB1	0.7982316237050473
CCL21	IU_PDA_T10	KCNMB4	0.621029189326729
CCL21	IU_PDA_T10	KCNAB1	0.5735273889622644
CCL21	IU_PDA_T10	KCNQ4	0.5552866664028856
CCL21	IU_PDA_T10	KCNS3	0.530820545750915
CCL21	IU_PDA_T10	KCND2	0.4188169263253861
CCL21	IU_PDA_T10	KCNMB1	0.2898783009945304
CCL21	IU_PDA_T10	KCNJ8	0.14493480069971873
CCL21	IU_PDA_T10	KCNK6	-0.13421632874009432
CCL21	IU_PDA_T10	KCNK15	-0.27665130221219314
CCL21	IU_PDA_T10	KCNE4	-0.3423445927360158
CCL21	IU_PDA_T10	KCNK1	-0.6357283548831607
CCL21	IU_PDA_T10	KCNN4	-0.7652941294385626
MFAP4	IU_PDA_T10	KCNS3	1.9657824411460385
MFAP4	IU_PDA_T10	KCND3	1.578416057411349
MFAP4	IU_PDA_T10	KCNA5	1.0095092145484286
MFAP4	IU_PDA_T10	KCNK17	0.9083643664207472
MFAP4	IU_PDA_T10	KCNN4	0.865884386996824
MFAP4	IU_PDA_T10	KCNAB2	0.8601266542310423
MFAP4	IU_PDA_T10	KCNK3	0.8555621301741655
MFAP4	IU_PDA_T10	KCNJ16	0.704115295821747
MFAP4	IU_PDA_T10	KCNC4	0.6809729982998596
MFAP4	IU_PDA_T10	KCNB1	0.5862843043747639
MFAP4	IU_PDA_T10	KCNMA1	0.559062140663713
MFAP4	IU_PDA_T10	KCNJ8	0.526559496936876
MFAP4	IU_PDA_T10	KCNK1	0.30156063299336006
MFAP4	IU_PDA_T10	KCNT2	0.2168017481470907
MFAP4	IU_PDA_T10	KCNN3	0.15761918659956142
MFAP4	IU_PDA_T10	KCNAB1	0.1305948746625072
MFAP4	IU_PDA_T10	KCNK15	-0.20226036507143055
MFAP4	IU_PDA_T10	KCNQ4	-0.264783768414049
MFAP4	IU_PDA_T10	KCNMB4	-0.28231740723008153
MFAP4	IU_PDA_T10	KCNK6	-0.3231358363724077
MFAP4	IU_PDA_T10	KCNE4	-0.3387001242427361
MFAP4	IU_PDA_T10	KCNMB1	-0.4774137088493733
MFAP4	IU_PDA_T10	KCNJ15	-0.7309244645648171
MFAP4	IU_PDA_T10	KCND2	-1.0393281438501936
CLU	IU_PDA_T10	KCNK3	2.167257673369692
CLU	IU_PDA_T10	KCNMA1	1.9737312913698521
CLU	IU_PDA_T10	KCND3	1.7843352172111009
CLU	IU_PDA_T10	KCNS3	1.487121138966271
CLU	IU_PDA_T10	KCNE4	0.8914820330986684
CLU	IU_PDA_T10	KCNC4	0.8836488244097784
CLU	IU_PDA_T10	KCNA5	0.7129914586463593
CLU	IU_PDA_T10	KCNJ15	0.6405852727622148
CLU	IU_PDA_T10	KCNJ8	0.5758087587604047
CLU	IU_PDA_T10	KCNB1	0.47827923153569923
CLU	IU_PDA_T10	KCNK17	0.4673664899263544
CLU	IU_PDA_T10	KCNN3	0.36804210310138386
