target_gene	partner_gene	n_sections_tested	n_sections_positive_z	median_local_corr_z	max_local_corr_z	min_local_corr_z
C1R	KCNJ8	10	10	2.1357572797159454	3.9761774151915197	0.6891314812330316
C1R	KCND3	10	9	1.855321301615612	5.772856284072144	-0.3710815229230968
C1R	KCNE4	10	9	1.7006990328593146	4.015892094291804	-0.08777556090110777
C1R	KCNMA1	10	8	2.22817233326976	4.811346068116315	-2.3174202787161953
C1R	KCNS3	10	8	0.8447244038571952	5.827340986926373	-6.029220385842923
C1R	KCNAB2	10	8	0.6132837683131975	2.522803183231048	-0.20612966598892837
C1R	KCNN3	10	7	1.0479908476647681	3.3578363276494554	-1.2182305218510483
C1R	KCNMB1	10	7	0.6537044273506777	6.8422477326663875	-3.030813690050863
C1R	KCNK17	10	7	0.3460821538330181	1.631790631236	-0.9674771320049648
C1R	KCNT2	10	7	0.34176398364274657	0.9938265832852802	-0.7034840016537448
C1R	KCNK3	10	6	0.4288075866460312	3.8833509435388724	-2.3053064377263235
C1R	KCNC4	10	6	0.3734848005413136	2.229589498548912	-1.8537301876890027
C1R	KCNMB4	10	6	0.35516422964407085	1.350740407712441	-3.7819597502983195
C1R	KCND2	10	6	0.30264534786135044	2.2477561496446934	-2.0001120747381447
C1R	KCNK15	10	6	0.2829564660380999	1.6198487574235991	-1.3710567178624624
C1R	KCNAB1	10	6	0.11372688674424819	1.0669860032334768	-0.5177573959906957
C1R	KCNB1	8	5	0.15591553414981665	0.6485616333253845	-1.048907774367532
C1R	KCNQ4	10	5	0.0025427483576367996	2.229305984536889	-1.7673272296730727
C1R	KCNK6	10	4	-0.36714722346066786	2.627773821047625	-2.755894546485279
C1R	KCNJ16	10	3	-0.1137384936855888	3.026063572157309	-2.9032473899851556
C1R	KCNA5	9	3	-0.2380135116024904	2.494188772618558	-0.8474924353332614
C1R	KCNJ15	10	3	-0.4451150578830888	1.9913095067782705	-2.5869048427740906
C1R	KCNN4	10	2	-2.839645344448714	0.7717721182982112	-6.556442890174428
C1R	KCNK1	10	1	-3.2566066359725623	0.6044802161948393	-6.043152338788304
C7	KCNK3	10	10	2.240474501638877	20.52023105939812	0.46886929298059254
C7	KCNJ8	10	10	1.3485837397009535	8.873965765732473	0.029515462119207487
C7	KCNK17	10	10	0.9978126526883386	8.896856697258077	0.6162446504387975
C7	KCND3	10	9	3.097058769955152	7.99994432537428	-0.22973762366558012
C7	KCNA5	9	9	0.8293283127235662	4.5381813816427705	0.0884916107884063
