target_gene	orig.ident	available_for_local_corr
C7	IU_PDA_T1	True
C1R	IU_PDA_T1	True
CCL19	IU_PDA_T1	True
CCL21	IU_PDA_T1	True
MFAP4	IU_PDA_T1	True
CLU	IU_PDA_T1	True
DCN	IU_PDA_T1	True
C7	IU_PDA_T10	True
C1R	IU_PDA_T10	True
CCL19	IU_PDA_T10	True
CCL21	IU_PDA_T10	True
MFAP4	IU_PDA_T10	True
CLU	IU_PDA_T10	True
DCN	IU_PDA_T10	True
C7	IU_PDA_T11	True
C1R	IU_PDA_T11	True
CCL19	IU_PDA_T11	True
CCL21	IU_PDA_T11	True
MFAP4	IU_PDA_T11	True
CLU	IU_PDA_T11	True
DCN	IU_PDA_T11	True
C7	IU_PDA_T12	True
C1R	IU_PDA_T12	True
CCL19	IU_PDA_T12	True
CCL21	IU_PDA_T12	True
MFAP4	IU_PDA_T12	True
CLU	IU_PDA_T12	True
DCN	IU_PDA_T12	True
C7	IU_PDA_T2	True
C1R	IU_PDA_T2	True
CCL19	IU_PDA_T2	True
CCL21	IU_PDA_T2	True
MFAP4	IU_PDA_T2	True
CLU	IU_PDA_T2	True
DCN	IU_PDA_T2	True
C7	IU_PDA_T3	True
C1R	IU_PDA_T3	True
CCL19	IU_PDA_T3	True
CCL21	IU_PDA_T3	True
MFAP4	IU_PDA_T3	True
CLU	IU_PDA_T3	True
DCN	IU_PDA_T3	True
C7	IU_PDA_T4	True
C1R	IU_PDA_T4	True
CCL19	IU_PDA_T4	True
CCL21	IU_PDA_T4	True
MFAP4	IU_PDA_T4	True
CLU	IU_PDA_T4	True
DCN	IU_PDA_T4	True
C7	IU_PDA_T6	True
C1R	IU_PDA_T6	True
CCL19	IU_PDA_T6	True
CCL21	IU_PDA_T6	True
MFAP4	IU_PDA_T6	True
CLU	IU_PDA_T6	True
DCN	IU_PDA_T6	True
C7	IU_PDA_T8	True
C1R	IU_PDA_T8	True
CCL19	IU_PDA_T8	True
CCL21	IU_PDA_T8	True
MFAP4	IU_PDA_T8	True
CLU	IU_PDA_T8	True
DCN	IU_PDA_T8	True
C7	IU_PDA_T9	True
C1R	IU_PDA_T9	True
CCL19	IU_PDA_T9	True
CCL21	IU_PDA_T9	True
MFAP4	IU_PDA_T9	True
CLU	IU_PDA_T9	True
DCN	IU_PDA_T9	True
