target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR
C7	IU_PDA_T1	3530	13524	1146	425	0.31945913447148944	74.26355860444419	0.0
C1R	IU_PDA_T1	3530	13524	1146	425	0.035118812782554854	7.827987394276331	1.4387145482255658e-13
CCL19	IU_PDA_T1	3530	13524	1146	425	0.06826688991468956	14.660213724032477	8.612822393606631e-47
CCL21	IU_PDA_T1	3530	13524	1146	425	0.015166740278790005	1.1115319399312136	0.37132430289787327
MFAP4	IU_PDA_T1	3530	13524	1146	425	0.058863076753926616	13.626684589211465	1.740102352779028e-40
CLU	IU_PDA_T1	3530	13524	1146	425	0.03287551131865807	7.570170079991027	9.962214047917749e-13
DCN	IU_PDA_T1	3530	13524	1146	425	0.043221094374078464	5.377713124609394	1.217448703180995e-06
C7	IU_PDA_T10	2714	13635	1219	425	0.05338681404498117	10.760068689351652	2.7234400088195563e-25
C1R	IU_PDA_T10	2714	13635	1219	425	0.03561310050340859	7.084297193707757	3.904742893562533e-11
CCL19	IU_PDA_T10	2714	13635	1219	425	0.03275469037176634	5.157872240234795	4.422909730393724e-06
CCL21	IU_PDA_T10	2714	13635	1219	425	0.03984170264246275	6.079321651993896	2.645716961192552e-08
MFAP4	IU_PDA_T10	2714	13635	1219	425	0.024278156000582456	4.712060141294615	3.773862969898188e-05
CLU	IU_PDA_T10	2714	13635	1219	425	0.04756647414284313	9.490836218349266	9.826986817022689e-20
DCN	IU_PDA_T10	2714	13635	1219	425	0.05827048166491689	11.307711557923437	6.502773122600278e-28
C7	IU_PDA_T11	2777	14686	2801	425	0.06696891392756216	13.117439564862824	8.280679417097006e-38
C1R	IU_PDA_T11	2777	14686	2801	425	0.04420697085270628	8.458415459803094	4.3933996195569274e-16
CCL19	IU_PDA_T11	2777	14686	2801	425	0.032855043508472466	2.268588748974802	0.05827701633552451
CCL21	IU_PDA_T11	2777	14686	2801	425	0.12150019042359975	19.69620174016349	1.5237763989202136e-84
MFAP4	IU_PDA_T11	2777	14686	2801	425	0.0463361259400778	9.53784894302766	2.840309935913861e-20
CLU	IU_PDA_T11	2777	14686	2801	425	0.09336063100199497	19.101831278490884	1.543199959790999e-79
