orig.ident	display_name	gene_symbol	file_stem	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_T3	ACTA2	ACTA2	acta2	4354	14666	4086.0	0.14090577091497902	32.305658688194306	2.9126340129221607e-229	1.5590033004932998e-227	bernoulli	30	
IU_PDA_T10	ACTA2	ACTA2	acta2	2714	13630	2028.0	0.10120412546470949	20.84329278862068	8.767637996328595e-97	2.715975133862699e-94	bernoulli	30	
IU_PDA_T8	ACTA2	ACTA2	acta2	3779	14218	2750.0	0.0767927495679123	18.420717941972555	4.480354339065615e-76	1.2019184526949985e-73	bernoulli	30	
IU_PDA_T4	ACTA2	ACTA2	acta2	3621	14332	2727.0	0.07869359033694176	17.61334618675713	9.729682506480155e-70	9.35877917334722e-68	bernoulli	30	
IU_PDA_T2	ACTA2	ACTA2	acta2	4118	14705	3766.0	0.05691267477944927	12.65875381495563	5.003766173690485e-37	4.228757562305666e-35	bernoulli	30	
IU_PDA_T11	ACTA2	ACTA2	acta2	2777	14683	2631.0	0.09982207213545002	9.423051325898111	2.1908290585950513e-21	8.333664007085787e-20	bernoulli	30	
IU_PDA_T1	ACTA2	ACTA2	acta2	3530	13520	3163.0	0.03462910498522316	5.842536759194545	2.5705918475705404e-09	9.292620796565163e-08	bernoulli	30	
IU_PDA_T6	ACTA2	ACTA2	acta2	3397	15000	3109.0	0.049048058888977064	5.691628807129639	6.291658805419742e-09	6.585825686063931e-08	bernoulli	30	
IU_PDA_T12	ACTA2	ACTA2	acta2	3642	15208	3617.0	0.09610245476791017	4.887379547607372	5.109348797431558e-07	2.782061457620449e-06	bernoulli	30	
IU_PDA_T9	ACTA2	ACTA2	acta2	3526	14112	3502.0	0.042241940984308016	3.1733394906359043	0.0007534810032273157	0.007649729437081927	bernoulli	30	
IU_PDA_T4	C1R	C1R	c1r	3621	14332	2597.0	0.08800879587939395	19.22188631320588	1.2139073898985694e-82	1.5128452793066345e-80	bernoulli	30	
IU_PDA_T3	C1R	C1R	c1r	4354	14666	3671.0	0.061542567560826156	15.310360814308202	3.2600612201607376e-53	5.658231698802056e-52	bernoulli	30	
IU_PDA_T8	C1R	C1R	c1r	3779	14218	2399.0	0.0480206682050109	11.33914033929884	4.198260108932729e-30	3.6620160876567816e-28	bernoulli	30	
IU_PDA_T2	C1R	C1R	c1r	4118	14705	2589.0	0.04568267510776416	11.283501659509513	7.915809468016798e-30	5.516681432568105e-28	bernoulli	30	
