orig.ident	display_name	gene_symbol	file_stem	available_for_hotspot	positive_spots
IU_PDA_T1	COL1A1	COL1A1	col1a1	True	3510
IU_PDA_T1	FAP	FAP	fap	True	540
IU_PDA_T1	EPCAM	EPCAM	epcam	True	785
IU_PDA_T1	CK20	KRT20	krt20	False	0
IU_PDA_T1	C7	C7	c7	True	1879
IU_PDA_T1	C1R	C1R	c1r	True	2681
IU_PDA_T1	CCL19	CCL19	ccl19	True	159
IU_PDA_T1	CCL21	CCL21	ccl21	True	14
IU_PDA_T1	MFAP4	MFAP4	mfap4	True	957
IU_PDA_T1	CLU	CLU	clu	True	1322
IU_PDA_T1	DCN	DCN	dcn	True	3384
IU_PDA_T1	CCN2	CCN2	ccn2	True	3250
IU_PDA_T1	ACTA2	ACTA2	acta2	True	3163
IU_PDA_T1	THBS1	THBS1	thbs1	True	2747
IU_PDA_T1	COL12A1	COL12A1	col12a1	True	1327
IU_PDA_T1	POSTN	POSTN	postn	True	1374
IU_PDA_T10	COL1A1	COL1A1	col1a1	True	2302
IU_PDA_T10	FAP	FAP	fap	True	206
IU_PDA_T10	EPCAM	EPCAM	epcam	True	1280
IU_PDA_T10	CK20	KRT20	krt20	True	94
IU_PDA_T10	C7	C7	c7	True	728
IU_PDA_T10	C1R	C1R	c1r	True	1612
IU_PDA_T10	CCL19	CCL19	ccl19	True	101
IU_PDA_T10	CCL21	CCL21	ccl21	True	73
IU_PDA_T10	MFAP4	MFAP4	mfap4	True	284
IU_PDA_T10	CLU	CLU	clu	True	720
IU_PDA_T10	DCN	DCN	dcn	True	2175
IU_PDA_T10	CCN2	CCN2	ccn2	True	1647
IU_PDA_T10	ACTA2	ACTA2	acta2	True	2028
IU_PDA_T10	THBS1	THBS1	thbs1	True	1310
IU_PDA_T10	COL12A1	COL12A1	col12a1	True	390
IU_PDA_T10	POSTN	POSTN	postn	True	302
IU_PDA_T11	COL1A1	COL1A1	col1a1	True	2769
IU_PDA_T11	FAP	FAP	fap	True	831
IU_PDA_T11	EPCAM	EPCAM	epcam	True	1594
IU_PDA_T11	CK20	KRT20	krt20	True	406
IU_PDA_T11	C7	C7	c7	True	228
IU_PDA_T11	C1R	C1R	c1r	True	2407
IU_PDA_T11	CCL19	CCL19	ccl19	True	13
IU_PDA_T11	CCL21	CCL21	ccl21	True	68
IU_PDA_T11	MFAP4	MFAP4	mfap4	True	1167
IU_PDA_T11	CLU	CLU	clu	True	1531
IU_PDA_T11	DCN	DCN	dcn	True	2625
IU_PDA_T11	CCN2	CCN2	ccn2	True	2500
IU_PDA_T11	ACTA2	ACTA2	acta2	True	2631
IU_PDA_T11	THBS1	THBS1	thbs1	True	2265
IU_PDA_T11	COL12A1	COL12A1	col12a1	True	1485
IU_PDA_T11	POSTN	POSTN	postn	True	2190
IU_PDA_T12	COL1A1	COL1A1	col1a1	True	3642
IU_PDA_T12	FAP	FAP	fap	True	2544
IU_PDA_T12	EPCAM	EPCAM	epcam	True	2818
IU_PDA_T12	CK20	KRT20	krt20	False	0
IU_PDA_T12	C7	C7	c7	True	3208
IU_PDA_T12	C1R	C1R	c1r	True	3604
IU_PDA_T12	CCL19	CCL19	ccl19	True	1151
IU_PDA_T12	CCL21	CCL21	ccl21	True	961
IU_PDA_T12	MFAP4	MFAP4	mfap4	True	2668
IU_PDA_T12	CLU	CLU	clu	True	3316
IU_PDA_T12	DCN	DCN	dcn	True	3637
IU_PDA_T12	CCN2	CCN2	ccn2	True	3631
IU_PDA_T12	ACTA2	ACTA2	acta2	True	3617
IU_PDA_T12	THBS1	THBS1	thbs1	True	3551
IU_PDA_T12	COL12A1	COL12A1	col12a1	True	2809
IU_PDA_T12	POSTN	POSTN	postn	True	3543
IU_PDA_T2	COL1A1	COL1A1	col1a1	True	4113
IU_PDA_T2	FAP	FAP	fap	True	750
IU_PDA_T2	EPCAM	EPCAM	epcam	True	2702
IU_PDA_T2	CK20	KRT20	krt20	True	79
IU_PDA_T2	C7	C7	c7	True	1573
IU_PDA_T2	C1R	C1R	c1r	True	2589
IU_PDA_T2	CCL19	CCL19	ccl19	True	138
IU_PDA_T2	CCL21	CCL21	ccl21	True	70
IU_PDA_T2	MFAP4	MFAP4	mfap4	True	666
IU_PDA_T2	CLU	CLU	clu	True	2244
IU_PDA_T2	DCN	DCN	dcn	True	3428
IU_PDA_T2	CCN2	CCN2	ccn2	True	2856
IU_PDA_T2	ACTA2	ACTA2	acta2	True	3766
IU_PDA_T2	THBS1	THBS1	thbs1	True	2473
IU_PDA_T2	COL12A1	COL12A1	col12a1	True	1198
IU_PDA_T2	POSTN	POSTN	postn	True	2810
IU_PDA_T3	COL1A1	COL1A1	col1a1	True	4226
IU_PDA_T3	FAP	FAP	fap	True	1185
IU_PDA_T3	EPCAM	EPCAM	epcam	True	1481
IU_PDA_T3	CK20	KRT20	krt20	False	0
IU_PDA_T3	C7	C7	c7	True	2120
IU_PDA_T3	C1R	C1R	c1r	True	3671
IU_PDA_T3	CCL19	CCL19	ccl19	True	1851
IU_PDA_T3	CCL21	CCL21	ccl21	True	1425
IU_PDA_T3	MFAP4	MFAP4	mfap4	True	937
IU_PDA_T3	CLU	CLU	clu	True	3223
IU_PDA_T3	DCN	DCN	dcn	True	4129
IU_PDA_T3	CCN2	CCN2	ccn2	True	4078
IU_PDA_T3	ACTA2	ACTA2	acta2	True	4086
IU_PDA_T3	THBS1	THBS1	thbs1	True	3781
IU_PDA_T3	COL12A1	COL12A1	col12a1	True	1926
IU_PDA_T3	POSTN	POSTN	postn	True	2863
IU_PDA_T4	COL1A1	COL1A1	col1a1	True	3597
IU_PDA_T4	FAP	FAP	fap	True	558
IU_PDA_T4	EPCAM	EPCAM	epcam	True	1181
IU_PDA_T4	CK20	KRT20	krt20	False	0
IU_PDA_T4	C7	C7	c7	True	238
IU_PDA_T4	C1R	C1R	c1r	True	2597
IU_PDA_T4	CCL19	CCL19	ccl19	True	256
IU_PDA_T4	CCL21	CCL21	ccl21	True	126
IU_PDA_T4	MFAP4	MFAP4	mfap4	True	341
IU_PDA_T4	CLU	CLU	clu	True	2441
IU_PDA_T4	DCN	DCN	dcn	True	3132
IU_PDA_T4	CCN2	CCN2	ccn2	True	2691
IU_PDA_T4	ACTA2	ACTA2	acta2	True	2727
IU_PDA_T4	THBS1	THBS1	thbs1	True	1926
IU_PDA_T4	COL12A1	COL12A1	col12a1	True	1004
IU_PDA_T4	POSTN	POSTN	postn	True	2288
IU_PDA_T6	COL1A1	COL1A1	col1a1	True	3388
IU_PDA_T6	FAP	FAP	fap	True	1456
IU_PDA_T6	EPCAM	EPCAM	epcam	True	2662
IU_PDA_T6	CK20	KRT20	krt20	True	4
IU_PDA_T6	C7	C7	c7	True	662
IU_PDA_T6	C1R	C1R	c1r	True	2855
IU_PDA_T6	CCL19	CCL19	ccl19	True	81
IU_PDA_T6	CCL21	CCL21	ccl21	True	510
IU_PDA_T6	MFAP4	MFAP4	mfap4	True	834
IU_PDA_T6	CLU	CLU	clu	True	1787
IU_PDA_T6	DCN	DCN	dcn	True	3108
IU_PDA_T6	CCN2	CCN2	ccn2	True	3131
IU_PDA_T6	ACTA2	ACTA2	acta2	True	3109
IU_PDA_T6	THBS1	THBS1	thbs1	True	2741
IU_PDA_T6	COL12A1	COL12A1	col12a1	True	2183
IU_PDA_T6	POSTN	POSTN	postn	True	3125
IU_PDA_T8	COL1A1	COL1A1	col1a1	True	3187
IU_PDA_T8	FAP	FAP	fap	True	301
IU_PDA_T8	EPCAM	EPCAM	epcam	True	2327
IU_PDA_T8	CK20	KRT20	krt20	True	5
IU_PDA_T8	C7	C7	c7	True	1225
IU_PDA_T8	C1R	C1R	c1r	True	2399
IU_PDA_T8	CCL19	CCL19	ccl19	True	126
