display_name	gene_symbol	file_stem	n_sections_tested	n_fdr_lt_0_05	median_Z	max_Z	median_C
C7	C7	c7	10	10	33.09030984761024	77.60449059648968	0.1477928239590652
CCL19	CCL19	ccl19	10	9	25.661572717493666	79.60809526897366	0.12312208811710504
COL12A1	COL12A1	col12a1	10	10	21.189026971090385	43.2413294856796	0.09677573530131395
CCN2	CCN2	ccn2	10	9	21.102164410661977	31.04368266002475	0.0946174895654031
CLU	CLU	clu	10	10	17.704388277721943	51.43326792506792	0.0798216931148647
THBS1	THBS1	thbs1	10	10	16.678629602283277	36.20722191515844	0.06970882671243092
CCL21	CCL21	ccl21	10	9	15.19823217864861	95.33578760720498	0.08765169116715923
MFAP4	MFAP4	mfap4	10	10	13.128471046045329	30.352747801562124	0.05602362346452036
POSTN	POSTN	postn	10	10	13.004381516084383	80.67120242778175	0.0639122984818819
EPCAM	EPCAM	epcam	10	10	11.135592659355362	47.66096490301289	0.05295822790642647
ACTA2	ACTA2	acta2	10	10	11.04090257042687	32.305658688194306	0.07774316995242703
C1R	C1R	c1r	10	9	8.795890139346724	19.22188631320588	0.043748230159093765
DCN	DCN	dcn	10	9	8.363715699700936	34.63274123795415	0.05723818526945458
CK20	KRT20	krt20	5	3	4.608712024631464	29.298781520444884	0.054483528091001876
FAP	FAP	fap	10	8	4.3220458782219175	13.215918506222158	0.019292173692935947
COL1A1	COL1A1	col1a1	10	3	1.9728143543748622	31.02856012396813	0.08851603418131987
