target_gene	orig.ident	first_type	n_high_spots	n_other_spots	high_neighbor_fraction	other_neighbor_fraction	delta_neighbor_fraction	enrichment_ratio
SIGMAR1	IU_PDA_T1	myCAF	20	3510	0.8366666666666667	0.899202279202287	-0.06253561253562034	0.9304620771215084
SIGMAR1	IU_PDA_T1	Tumor Epithelial cells	20	3510	0.019999999999999997	0.027711301044634488	-0.007711301044634491	0.7227277849296375
SIGMAR1	IU_PDA_T1	Normal Epithelial cells	20	3510	0.0	0.011585944919278269	-0.011585944919278269	0.008557288322917756
SIGMAR1	IU_PDA_T1	iCAF	20	3510	0.03666666666666667	0.014757834757834855	0.021908831908831812	2.4745642461314103
SIGMAR1	IU_PDA_T1	B cells	20	3510	0.03	0.010940170940170958	0.01905982905982904	2.7264070604629516
SIGMAR1	IU_PDA_T1	DCs	20	3510	0.023333333333333334	0.010617283950617309	0.012716049382716026	2.186499251238332
SIGMAR1	IU_PDA_T1	SPP1-TAM	20	3510	0.0	0.0017473884140550805	-0.0017473884140550805	0.0541304683082301
SIGMAR1	IU_PDA_T1	PVL	20	3510	0.03	0.00624881291547958	0.02375118708452042	4.741043782627558
SIGMAR1	IU_PDA_T1	C1Q-TAM	20	3510	0.006666666666666666	0.010237416904083588	-0.003570750237416922	0.6545800299486453
SIGMAR1	IU_PDA_T1	CD4+ cells	20	3510	0.003333333333333333	0.0022792022792022773	0.0010541310541310558	1.443060711292062
SIGMAR1	IU_PDA_T1	FCN1-TAM	20	3510	0.013333333333333332	0.004387464387464379	0.008945868945868954	2.993524220684406
SIGMAR1	IU_PDA_T10	myCAF	20	2694	0.30666666666666675	0.3669141301658011	-0.060247463499134346	0.8358442944092721
SIGMAR1	IU_PDA_T10	Tumor Epithelial cells	20	2694	0.57	0.5246473645137345	0.04535263548626545	1.086427562200893
SIGMAR1	IU_PDA_T10	Normal Epithelial cells	20	2694	0.013333333333333332	0.029250185597624448	-0.015916852264291115	0.45769159750801036
SIGMAR1	IU_PDA_T10	iCAF	20	2694	0.013333333333333332	0.012645384805741143	0.0006879485275921894	1.0539762853831063
SIGMAR1	IU_PDA_T10	B cells	20	2694	0.04666666666666666	0.023707003217025725	0.022959663449640937	1.9644079618228134
SIGMAR1	IU_PDA_T10	DCs	20	2694	0.019999999999999997	0.01967334818114347	0.00032665181885652844	1.016519803113973
SIGMAR1	IU_PDA_T10	SPP1-TAM	20	2694	0.006666666666666666	0.012447414006434033	-0.005780747339767366	0.539287749905827
SIGMAR1	IU_PDA_T10	PVL	20	2694	0.01	0.0022271714922049005	0.0077728285077951	4.340032538998946
SIGMAR1	IU_PDA_T10	C1Q-TAM	20	2694	0.01	0.005889631279386278	0.004110368720613722	1.6862473713131279
SIGMAR1	IU_PDA_T10	CD4+ cells	20	2694	0.003333333333333333	0.0018559762435040837	0.0014773570898292494	1.755304209207879
SIGMAR1	IU_PDA_T10	FCN1-TAM	20	2694	0.0	0.0004206879485275922	-0.0004206879485275922	0.19205360961931467
SIGMAR1	IU_PDA_T11	myCAF	41	2736	0.9333333333333333	0.8314327485380084	0.10190058479532493	1.122545486000985
SIGMAR1	IU_PDA_T11	Tumor Epithelial cells	41	2736	0.05040650406504066	0.08384502923976558	-0.033438525174724926	0.6016616412245555
SIGMAR1	IU_PDA_T11	Normal Epithelial cells	41	2736	0.014634146341463414	0.08182261208576956	-0.06718846574430615	0.17985445002702521
SIGMAR1	IU_PDA_T11	iCAF	41	2736	0.0	0.0006091617933723197	-0.0006091617933723197	0.14101154480483782
SIGMAR1	IU_PDA_T11	B cells	41	2736	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T11	DCs	41	2736	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T11	SPP1-TAM	41	2736	0.0	0.0019493177387914242	-0.0019493177387914242	0.04879672786074382
SIGMAR1	IU_PDA_T11	PVL	41	2736	0.0016260162601626016	0.000341130604288499	0.0012848856558741026	3.9127103025338696
SIGMAR1	IU_PDA_T11	C1Q-TAM	41	2736	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T11	CD4+ cells	41	2736	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T11	FCN1-TAM	41	2736	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T12	myCAF	105	3537	0.8552380952380948	0.8398454434077898	0.015392651830305026	1.0183257757406894
SIGMAR1	IU_PDA_T12	Tumor Epithelial cells	105	3537	0.008253968253968253	0.04678164169258306	-0.03852767343861481	0.1781927413879343
SIGMAR1	IU_PDA_T12	Normal Epithelial cells	105	3537	0.019047619047619046	0.04120252568089705	-0.022154906633278005	0.4635943863470573
SIGMAR1	IU_PDA_T12	iCAF	105	3537	0.07873015873015872	0.052323060974460205	0.026407097755698515	1.5037305579802691
SIGMAR1	IU_PDA_T12	B cells	105	3537	0.0012698412698412698	0.00045236075770426913	0.0008174805121370008	2.479975723718366
SIGMAR1	IU_PDA_T12	DCs	105	3537	0.006984126984126983	0.002638771086608234	0.004345355897518749	2.586607920160335
SIGMAR1	IU_PDA_T12	SPP1-TAM	105	3537	0.0019047619047619048	0.006238808783338034	-0.00433404687857613	0.3162679256127034
SIGMAR1	IU_PDA_T12	PVL	105	3537	0.019047619047619046	0.004542455941947033	0.014505163105672013	4.124458968928542
SIGMAR1	IU_PDA_T12	C1Q-TAM	105	3537	0.009523809523809523	0.005371783997738185	0.004152025526071338	1.7588065478804749
SIGMAR1	IU_PDA_T12	CD4+ cells	105	3537	0.0	0.00026387710866082365	-0.00026387710866082365	0.27481805703038
SIGMAR1	IU_PDA_T12	FCN1-TAM	105	3537	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T2	myCAF	30	4088	0.7555555555555558	0.6678408349641246	0.08771472059143115	1.1313210931266724
SIGMAR1	IU_PDA_T2	Tumor Epithelial cells	30	4088	0.17333333333333334	0.20520221787345347	-0.03186888454012013	0.844770870620775
SIGMAR1	IU_PDA_T2	Normal Epithelial cells	30	4088	0.015555555555555555	0.10017938682322095	-0.08462383126766539	0.15611937858329938
SIGMAR1	IU_PDA_T2	iCAF	30	4088	0.02222222222222222	0.009377038486627534	0.012845183735594685	2.3554006089264843
SIGMAR1	IU_PDA_T2	B cells	30	4088	0.0044444444444444444	0.004696673189823867	-0.0002522287453794224	0.9474158994374423
SIGMAR1	IU_PDA_T2	DCs	30	4088	0.013333333333333334	0.003375733855185906	0.009957599478147429	3.864891241108801
SIGMAR1	IU_PDA_T2	SPP1-TAM	30	4088	0.0022222222222222222	0.004876060013046304	-0.002653837790824082	0.46667890180861704
SIGMAR1	IU_PDA_T2	PVL	30	4088	0.0	0.00027723418134377036	-0.00027723418134377036	0.26508732491786274
SIGMAR1	IU_PDA_T2	C1Q-TAM	30	4088	0.008888888888888889	0.0015492498369210693	0.007339639051967819	5.450289390763228
SIGMAR1	IU_PDA_T2	CD4+ cells	30	4088	0.0022222222222222222	0.001337247227658187	0.0008849749945640353	1.6157430520885332
SIGMAR1	IU_PDA_T2	FCN1-TAM	30	4088	0.0022222222222222222	0.001174168297455969	0.0010480539247662531	1.8225396337821456
SIGMAR1	IU_PDA_T3	myCAF	52	4302	0.5217948717948718	0.589555245622192	-0.06776037382732014	0.8850847604080571
SIGMAR1	IU_PDA_T3	Tumor Epithelial cells	52	4302	0.07564102564102565	0.08014876801487585	-0.004507742373850196	0.943827893120869
SIGMAR1	IU_PDA_T3	Normal Epithelial cells	52	4302	0.014102564102564101	0.06940957694095708	-0.055307012838392976	0.2043252847679977
SIGMAR1	IU_PDA_T3	iCAF	52	4302	0.16153846153846158	0.1335812800247945	0.02795718151366708	1.2091331075561345
SIGMAR1	IU_PDA_T3	B cells	52	4302	0.10512820512820514	0.07227646056097899	0.03285174456722616	1.4539009549872606
SIGMAR1	IU_PDA_T3	DCs	52	4302	0.03205128205128205	0.017046335037966927	0.015004947013315121	1.8751110356872094
SIGMAR1	IU_PDA_T3	SPP1-TAM	52	4302	0.001282051282051282	0.003331783666511695	-0.0020497323844604126	0.40272098021146413
SIGMAR1	IU_PDA_T3	PVL	52	4302	0.02692307692307692	0.010863164419649827	0.016059912503427094	2.4648975321981044
SIGMAR1	IU_PDA_T3	C1Q-TAM	52	4302	0.006410256410256411	0.0024019835735316886	0.004008272836724723	2.6020380305961894
SIGMAR1	IU_PDA_T3	CD4+ cells	52	4302	0.04615384615384616	0.014597861459786175	0.031555984694059985	3.1469779654950614
SIGMAR1	IU_PDA_T3	FCN1-TAM	52	4302	0.00641025641025641	0.005346350534635042	0.0010639058756213684	1.1953428940821307
SIGMAR1	IU_PDA_T4	myCAF	58	3563	0.5436781609195404	0.4541678360931789	0.08951032482636145	1.1970430607550238
SIGMAR1	IU_PDA_T4	Tumor Epithelial cells	58	3563	0.44137931034482764	0.41384600991673903	0.027533300428088603	1.0665142307655693
SIGMAR1	IU_PDA_T4	Normal Epithelial cells	58	3563	0.011494252873563218	0.11398634109832337	-0.10249208822476015	0.10162700251356915
SIGMAR1	IU_PDA_T4	iCAF	58	3563	0.0	0.0011413602769201998	-0.0011413602769201998	0.08055679069101424
SIGMAR1	IU_PDA_T4	B cells	58	3563	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T4	DCs	58	3563	0.0022988505747126436	0.00108522780428478	0.0012136227704278636	2.023957391178667
SIGMAR1	IU_PDA_T4	SPP1-TAM	58	3563	0.0011494252873563218	0.010159977547010944	-0.009010552259654622	0.12177661029290644
SIGMAR1	IU_PDA_T4	PVL	58	3563	0.0	0.005613247263541951	-0.005613247263541951	0.017503180833452075
SIGMAR1	IU_PDA_T4	C1Q-TAM	58	3563	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T4	CD4+ cells	58	3563	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T4	FCN1-TAM	58	3563	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T6	myCAF	93	3304	0.4853046594982079	0.43060936238902264	0.05469529710918525	1.126988874367174
SIGMAR1	IU_PDA_T6	Tumor Epithelial cells	93	3304	0.3713261648745518	0.3082526230831326	0.06307354179141916	1.20455004131557
SIGMAR1	IU_PDA_T6	Normal Epithelial cells	93	3304	0.1419354838709677	0.2584543987086381	-0.11651891483767043	0.5493446817395893
SIGMAR1	IU_PDA_T6	iCAF	93	3304	0.0	0.0018966908797417277	-0.0018966908797417277	0.050082865111766836
SIGMAR1	IU_PDA_T6	B cells	93	3304	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T6	DCs	93	3304	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T6	SPP1-TAM	93	3304	0.0014336917562724014	0.0005246166263115415	0.00090907512996086	2.455412955189954
SIGMAR1	IU_PDA_T6	PVL	93	3304	0.0	0.00026230831315577073	-0.00026230831315577073	0.2760080196034752
SIGMAR1	IU_PDA_T6	C1Q-TAM	93	3304	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T6	CD4+ cells	93	3304	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T6	FCN1-TAM	93	3304	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T8	myCAF	26	3753	0.2564102564102565	0.17097433164579492	0.08543592476446157	1.499408204273184
SIGMAR1	IU_PDA_T8	Tumor Epithelial cells	26	3753	0.6641025641025641	0.6809841016075987	-0.016881537505034627	0.9752137254926546
SIGMAR1	IU_PDA_T8	Normal Epithelial cells	26	3753	0.05384615384615384	0.12075672795097005	-0.06691057410481621	0.44636450746903455
SIGMAR1	IU_PDA_T8	iCAF	26	3753	0.005128205128205128	0.0025757172040145647	0.0025524879241905635	1.9539453273914331
SIGMAR1	IU_PDA_T8	B cells	26	3753	0.005128205128205128	0.008331112887467785	-0.0032029077592626567	0.6201085429631078
SIGMAR1	IU_PDA_T8	DCs	26	3753	0.002564102564102564	0.0011013411493027811	0.001462761414799783	2.217607018330073
SIGMAR1	IU_PDA_T8	SPP1-TAM	26	3753	0.01282051282051282	0.012985167421618362	-0.00016465460110554227	0.9874166989385621
SIGMAR1	IU_PDA_T8	PVL	26	3753	0.0	0.0003019806377120526	-0.0003019806377120526	0.24876820079984094
SIGMAR1	IU_PDA_T8	C1Q-TAM	26	3753	0.0	0.001687538857802646	-0.001687538857802646	0.05594283982331228
SIGMAR1	IU_PDA_T8	CD4+ cells	26	3753	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T8	FCN1-TAM	26	3753	0.0	0.0003019806377120526	-0.0003019806377120526	0.24876820079984094
SIGMAR1	IU_PDA_T9	myCAF	35	3491	0.8952380952380953	0.8971259429007993	-0.0018878476627040008	0.9978959060673163
SIGMAR1	IU_PDA_T9	Tumor Epithelial cells	35	3491	0.0038095238095238095	0.002864508736751645	0.0009450150727721646	1.3187762819035116
SIGMAR1	IU_PDA_T9	Normal Epithelial cells	35	3491	0.02095238095238095	0.021999427098252835	-0.0010470461458718834	0.9526211181304939
SIGMAR1	IU_PDA_T9	iCAF	35	3491	0.05142857142857142	0.05517043826983651	-0.003741866841265089	0.9322989475314657
SIGMAR1	IU_PDA_T9	B cells	35	3491	0.0	0.0	0.0	1.0
SIGMAR1	IU_PDA_T9	DCs	35	3491	0.007619047619047619	0.0075050128902893	0.00011403472875831915	1.0149946792205873
SIGMAR1	IU_PDA_T9	SPP1-TAM	35	3491	0.0	0.00019096724911677647	-0.00019096724911677647	0.3436812916352181
SIGMAR1	IU_PDA_T9	PVL	35	3491	0.0	0.004430440179509214	-0.004430440179509214	0.022072910365816392
SIGMAR1	IU_PDA_T9	C1Q-TAM	35	3491	0.011428571428571427	0.001661415067315955	0.009767156361255473	6.54506234361823
SIGMAR1	IU_PDA_T9	CD4+ cells	35	3491	0.0	0.0013367707438174364	-0.0013367707438174364	0.06960052634027362
SIGMAR1	IU_PDA_T9	FCN1-TAM	35	3491	0.009523809523809523	0.007180368566790779	0.0023434409570187442	1.3218849341925203
