target_gene	first_type	n_sections_used	n_sections_positive_delta	median_high_neighbor_fraction	median_other_neighbor_fraction	median_delta_neighbor_fraction	median_enrichment_ratio	wilcoxon_statistic	wilcoxon_pvalue	wilcoxon_fdr_global
SIGMAR1	myCAF	10	6	0.6496168582375481	0.6286980402931583	0.03504397446974514	1.0704356308708372	16.0	0.275390625	0.3544921875
SIGMAR1	C1Q-TAM	10	5	0.006538461538461538	0.0016744769625593003	0.0020041364183623614	1.3431236856565638	3.0	0.078125	0.21484375
SIGMAR1	iCAF	10	6	0.017777777777777774	0.011011211646184339	0.0016202182258913764	1.1315546964696204	14.0	0.193359375	0.34375
SIGMAR1	DCs	10	8	0.007301587301587301	0.00300725247089707	0.0013381920926138233	1.9495342134329383	0.0	0.0078125	0.035807291666666664
SIGMAR1	PVL	10	5	0.0008130081300813008	0.003328805835857057	0.0005112886713591659	1.3704527759007898	17.0	0.322265625	0.3544921875
SIGMAR1	CD4+ cells	10	4	0.0	0.00080032392623913	0.0	1.0	5.0	0.3125	0.3544921875
SIGMAR1	B cells	10	4	0.002857142857142857	0.002574516973764068	0.0	1.0	4.0	0.21875	0.34375
SIGMAR1	FCN1-TAM	10	4	0.0	0.0003613342931198224	0.0	1.0	3.0	0.15625	0.34375
SIGMAR1	SPP1-TAM	10	1	0.0013578715191618416	0.004103921839779	-0.001999525061625918	0.37320113592334114	3.0	0.009765625	0.035807291666666664
SIGMAR1	Tumor Epithelial cells	10	4	0.1244871794871795	0.14452362355660953	-0.006109521709242343	0.9595208093067618	25.0	0.845703125	0.845703125
SIGMAR1	Normal Epithelial cells	10	0	0.015094850948509484	0.07561609451336332	-0.0611087934716046	0.32534489611851614	0.0	0.001953125	0.021484375
