target_gene	orig.ident	partner_gene	local_corr_z
SIGMAR1	IU_PDA_T1	GGT5	3.6379438791949466
SIGMAR1	IU_PDA_T1	KIAA1755	3.4007252662683127
SIGMAR1	IU_PDA_T1	SRPX	3.089924323962627
SIGMAR1	IU_PDA_T1	CCDC3	2.982740573482995
SIGMAR1	IU_PDA_T1	F2RL2	2.942676141030155
SIGMAR1	IU_PDA_T1	CRTAP	2.804334669308083
SIGMAR1	IU_PDA_T1	ANO1	2.761115037513516
SIGMAR1	IU_PDA_T1	DEPP1	2.691390029873504
SIGMAR1	IU_PDA_T1	F2R	2.588893811868909
SIGMAR1	IU_PDA_T1	C7	2.5290552144228844
SIGMAR1	IU_PDA_T1	HEYL	2.5177094859458893
SIGMAR1	IU_PDA_T1	SFRP4	2.502756406133413
SIGMAR1	IU_PDA_T1	TNXB	2.4753384961125984
SIGMAR1	IU_PDA_T1	MAPK10	2.436344943440271
SIGMAR1	IU_PDA_T1	COL14A1	2.4276855716224217
SIGMAR1	IU_PDA_T1	NR2F2	2.40583459202484
SIGMAR1	IU_PDA_T1	INS	2.3832563157830493
SIGMAR1	IU_PDA_T1	NRXN2	2.3688154230884964
SIGMAR1	IU_PDA_T1	DPEP1	2.351538161165768
SIGMAR1	IU_PDA_T1	PTGDS	2.321270964401433
SIGMAR1	IU_PDA_T1	KCNK17	2.2914159845806026
SIGMAR1	IU_PDA_T1	TGM2	2.287098662939178
SIGMAR1	IU_PDA_T1	COLEC11	2.286015438709819
SIGMAR1	IU_PDA_T1	IGHA1	2.280568158009381
SIGMAR1	IU_PDA_T1	GPC3	2.257886023375368
SIGMAR1	IU_PDA_T1	ENG	2.2197218975411417
SIGMAR1	IU_PDA_T1	A2M	2.2137868015403734
SIGMAR1	IU_PDA_T1	BCAM	2.2038241821296154
SIGMAR1	IU_PDA_T1	PODN	2.188457874506878
SIGMAR1	IU_PDA_T1	CPA3	2.1710442310503812
SIGMAR1	IU_PDA_T1	FBLN5	2.1608178776380416
SIGMAR1	IU_PDA_T1	ADAMTSL2	2.1421435251945797
SIGMAR1	IU_PDA_T1	KCNC4	2.1318223397124796
SIGMAR1	IU_PDA_T1	CPED1	2.1175097035990014
SIGMAR1	IU_PDA_T1	C1R	2.055959004472604
SIGMAR1	IU_PDA_T1	LAMA2	2.0169472939826516
SIGMAR1	IU_PDA_T1	MFAP4	2.012430350347085
SIGMAR1	IU_PDA_T1	SPON2	2.010068229725405
SIGMAR1	IU_PDA_T1	MGP	2.0048479030884607
SIGMAR1	IU_PDA_T1	OGN	1.9818870737691339
SIGMAR1	IU_PDA_T1	PRELP	1.964689614373994
SIGMAR1	IU_PDA_T1	IGHM	1.961998316911831
SIGMAR1	IU_PDA_T1	IGFBP5	1.9592405720440456
SIGMAR1	IU_PDA_T1	TCN1	1.948453504220456
SIGMAR1	IU_PDA_T1	EPHA3	1.9473190679597845
SIGMAR1	IU_PDA_T1	SELENOP	1.9414017064956695
SIGMAR1	IU_PDA_T1	GUCY1A1	1.9332587691693637
SIGMAR1	IU_PDA_T1	HSPB6	1.924532904869671
SIGMAR1	IU_PDA_T1	APOD	1.9243445241015835
SIGMAR1	IU_PDA_T1	SERPINA3	1.9017637319937506
SIGMAR1	IU_PDA_T1	NFASC	1.8965990770482661
SIGMAR1	IU_PDA_T1	S100P	1.8776367810348942
SIGMAR1	IU_PDA_T1	ABCA8	1.872830411074199
SIGMAR1	IU_PDA_T1	RARRES1	1.8678127624725014
SIGMAR1	IU_PDA_T1	SOD3	1.8511502749681725
SIGMAR1	IU_PDA_T1	CYGB	1.8454612146779557
SIGMAR1	IU_PDA_T1	PTEN	1.8173476077038195
SIGMAR1	IU_PDA_T1	TSHZ2	1.7964034864522656
SIGMAR1	IU_PDA_T1	PROM1	1.785439566677684
SIGMAR1	IU_PDA_T1	HAND2	1.7598205873939343
SIGMAR1	IU_PDA_T1	NDRG2	1.7275286603597513
SIGMAR1	IU_PDA_T1	STMN2	1.642714145701796
SIGMAR1	IU_PDA_T1	KCNT2	1.6383454053664324
SIGMAR1	IU_PDA_T1	SST	1.629484670506545
SIGMAR1	IU_PDA_T1	EPCAM	1.6234275277019938
SIGMAR1	IU_PDA_T1	PTCH1	1.6148236869321844
SIGMAR1	IU_PDA_T1	SMIM4	1.6120164225498697
SIGMAR1	IU_PDA_T1	NR2F1	1.5906598327711456
SIGMAR1	IU_PDA_T1	GABRP	1.5564788296461594
SIGMAR1	IU_PDA_T1	C1orf21	1.5486545918298669
SIGMAR1	IU_PDA_T1	IGLV3-1	1.5466490218575741
SIGMAR1	IU_PDA_T1	MUC1	1.543785944675896
SIGMAR1	IU_PDA_T1	ZCCHC24	1.5297933202281933
SIGMAR1	IU_PDA_T1	SPEG	1.4912382366591768
SIGMAR1	IU_PDA_T1	ADIRF	1.4696231944668894
SIGMAR1	IU_PDA_T1	JCHAIN	1.4696130142384722
SIGMAR1	IU_PDA_T1	ATP1B1	1.4669793196276502
SIGMAR1	IU_PDA_T1	IGHJ2	1.464579006291523
SIGMAR1	IU_PDA_T1	MUSTN1	1.4624467955141889
SIGMAR1	IU_PDA_T1	CEBPD	1.4615813624634113
SIGMAR1	IU_PDA_T1	KCND3	1.4454287829597223
SIGMAR1	IU_PDA_T1	CFTR	1.443606757811905
SIGMAR1	IU_PDA_T1	IGFBP7	1.3968233333076332
SIGMAR1	IU_PDA_T1	NTRK3	1.3744827648615672
SIGMAR1	IU_PDA_T1	BTG2	1.353315736020054
SIGMAR1	IU_PDA_T1	ACTC1	1.3344110142076673
SIGMAR1	IU_PDA_T1	KCNMB1	1.3324967919541502
SIGMAR1	IU_PDA_T1	OLFM4	1.3109980083356845
SIGMAR1	IU_PDA_T1	TIMP1	1.2961211808912643
SIGMAR1	IU_PDA_T1	ID1	1.290790672859785
SIGMAR1	IU_PDA_T1	IGKV4-1	1.2773726616135757
SIGMAR1	IU_PDA_T1	CCL19	1.275668152589646
SIGMAR1	IU_PDA_T1	CLSTN2	1.2611760850287308
SIGMAR1	IU_PDA_T1	DTX1	1.2444439018115006
SIGMAR1	IU_PDA_T1	SLC40A1	1.242030285513108
SIGMAR1	IU_PDA_T1	OAF	1.2384103422968737
SIGMAR1	IU_PDA_T1	DUOX2	1.2226609374790183
SIGMAR1	IU_PDA_T1	TTR	1.2022695909872232
SIGMAR1	IU_PDA_T1	PDGFRA	1.1933554473072079
SIGMAR1	IU_PDA_T1	CXCL17	1.1915696108145575
SIGMAR1	IU_PDA_T1	RBP1	1.1905132537207928
SIGMAR1	IU_PDA_T1	MLPH	1.1897373153990995
