target_gene	partner_gene	n_sections_tested	n_sections_positive_z	median_local_corr_z	max_local_corr_z	min_local_corr_z
SIGMAR1	KCNQ4	10	9	0.963529795036784	2.2186651282575878	-0.04394618310829432
SIGMAR1	KCNMB4	10	8	1.1012244168994376	2.9774552647317827	-1.3161127803067856
SIGMAR1	KCNJ16	10	8	0.5884391744448166	2.7536891800559906	-0.4025258557307412
SIGMAR1	KCNK15	10	8	0.25484219779461637	0.9614616262220371	-0.17439347453009416
SIGMAR1	KCNN4	10	7	0.9721115645646017	2.0550500752461094	-2.2983525083509697
SIGMAR1	KCNJ15	10	7	0.962370674337413	3.0205310495482567	-2.5735299713847812
SIGMAR1	KCNAB1	10	7	0.5681220175506783	2.366437607350494	-1.4555629488175548
SIGMAR1	KCND3	10	7	0.5010431103297208	2.701977775343966	-4.141347237277872
SIGMAR1	KCNK3	10	7	0.39422433321250633	2.3049506816206926	-1.5509459841230464
SIGMAR1	KCNK17	10	6	0.49410984797735724	2.4818840737966337	-0.8588328250491959
SIGMAR1	KCNMB1	10	6	0.4618679538710986	2.18102496283744	-2.11241272584924
SIGMAR1	KCNA5	9	6	0.3765144705939933	1.8637518818970027	-1.1680671867925472
SIGMAR1	KCNC4	10	6	0.22841444781471804	2.1318223397124796	-0.461772643711179
SIGMAR1	KCNE4	10	5	0.3580887926504377	1.978342704448553	-0.9052503989487423
SIGMAR1	KCNB1	8	5	0.3365062954441995	1.3319549825695907	-0.5977112706816211
SIGMAR1	KCNK1	10	5	0.15984383364041363	3.7303143300198864	-1.8421768974547932
SIGMAR1	KCNAB2	10	5	0.14121682735413515	2.0966839071178835	-2.02815704822752
SIGMAR1	KCNN3	10	5	0.12461805066136047	2.460855428895202	-0.6514924209203912
SIGMAR1	KCNT2	10	5	-0.03109134380719042	1.6383454053664324	-0.9455026691831051
SIGMAR1	KCNK6	10	5	-0.0682062980021029	1.319562099228513	-0.8282362153162409
SIGMAR1	KCNS3	10	4	-0.01912291355530802	3.8317443030102956	-0.8172137998355529
SIGMAR1	KCND2	10	4	-0.2509021218708731	3.114408011169444	-1.30286436811677
SIGMAR1	KCNMA1	10	4	-0.48150929603102527	2.511144492249295	-1.4435241914294135
SIGMAR1	KCNJ8	10	4	-0.5271938935574627	2.3581305085067137	-2.9068721016148
