target_gene	gene	n_sections	mean_delta	median_delta
SIGMAR1	SIGMAR1	10	0.979761355372784	1.00125245867357
SIGMAR1	IFI6	10	0.0683432639553192	0.0481295640040152
SIGMAR1	GNAS	10	0.0625939121702782	0.0734842948484742
SIGMAR1	MXRA8	10	0.0601051491312876	0.0619836214486763
SIGMAR1	CLIC1	10	0.0576736336382318	0.0649901252751349
SIGMAR1	ARHGAP23	10	0.0575538515286949	0.065634619549338
SIGMAR1	LUC7L3	10	0.0563044959838142	0.0714333884078537
SIGMAR1	SCAMP4	10	0.0546150519226286	0.0481683424937468
SIGMAR1	PTMS	10	0.0538481733541291	0.0484629098294483
SIGMAR1	CAPNS1	10	0.0516572670004632	0.015357933363976
SIGMAR1	AXL	10	0.0515620766925496	0.0588546950732735
SIGMAR1	TAGLN2	10	0.050677482045355	0.039524021084185
SIGMAR1	IFI27	10	0.0504600258887042	0.0496483491308661
SIGMAR1	CPSF6	10	0.0501384704314929	0.0166444504554943
SIGMAR1	SCAF1	10	0.0499455024992508	0.0480244078893285
SIGMAR1	DDIT4	10	0.0498672194531448	0.0737789584989176
SIGMAR1	CTDSP2	10	0.0486738345782365	0.0897842798065453
SIGMAR1	XRCC6	10	0.0463485377454824	0.011424876076211
SIGMAR1	FAM120A	10	0.046294280181539	0.0517409805743472
SIGMAR1	LAP3	10	0.0460777628076101	0.0450284412949525
SIGMAR1	BRD3	10	0.0460136887358576	0.0545313011423155
SIGMAR1	DPYSL2	10	0.0456615046186578	0.0420014731097515
SIGMAR1	ST3GAL4	10	0.0449338107606118	0.0217623368989887
SIGMAR1	CHMP4A	10	0.0449089705503731	0.0218204806997436
SIGMAR1	RACK1	10	0.0446604475916763	0.0421723220924933
SIGMAR1	FKBP8	10	0.0443059317644313	0.0590640162281109
SIGMAR1	NUSAP1	10	0.0437034149474079	0.0398756513543994
SIGMAR1	HIST1H2BB	10	0.0427583118219042	0.0175463086204806
SIGMAR1	ANKHD1	10	0.0423457655788348	0.0394128227792038
SIGMAR1	BANF1	10	0.0418321985087186	0.0214433109741358
SIGMAR1	STT3A	10	0.0416689412434375	0.0292359291140171
SIGMAR1	GRK2	10	0.0415892406236271	0.0415196584674771
SIGMAR1	NRIP1	10	0.0411441625756826	0.0358884725032025
SIGMAR1	OLFML2B	10	0.0409210533298879	0.0202322606560731
SIGMAR1	BEX3	10	0.0403125184026123	0.0539217506956375
SIGMAR1	FSTL1	10	0.0402164219896497	0.0527875373146572
SIGMAR1	PSME1	10	0.0401890410714017	0.0418410106451916
SIGMAR1	APEH	10	0.0397698709180475	0.0239669595659549
SIGMAR1	N4BP2	10	0.0392515601492307	0.0288456226350793
SIGMAR1	GEMIN7	10	0.0392488550812488	0.0376979671613392
SIGMAR1	MYO1C	10	0.0391797367232542	0.0191702829363203
SIGMAR1	SET	10	0.0390952614020381	0.0367315275794253
SIGMAR1	COMT	10	0.0388040936624613	0.0159650654464961
SIGMAR1	BCAP29	10	0.0388001647637694	0.0361921983801521
SIGMAR1	FBXO7	10	0.0385473214808491	0.0176208036923663
SIGMAR1	TFG	10	0.0384860931845069	0.0348142185934654
SIGMAR1	GDI2	10	0.0383809331961786	0.0601405239621523
SIGMAR1	IKBKB	10	0.0382946304232645	0.0362319977709008
SIGMAR1	NUDT3	10	0.0382344951441695	0.051716480729608
SIGMAR1	CLU	10	0.0382214299984454	0.0256268975195147
SIGMAR1	STAT5B	10	0.0378726453346805	0.0364062636844938
SIGMAR1	API5	10	0.0378466795390748	0.0426828801902466
SIGMAR1	FXYD3	10	0.0377366044875059	0.0334317383729847
SIGMAR1	GTF3C6	10	0.0375087983002118	0.0571919735256906
SIGMAR1	FRZB	10	0.0375023714307199	0.039321178549916
SIGMAR1	S100A2	10	0.0372769115927189	-0.00486392954036943
SIGMAR1	INO80B	10	0.0369001207076045	0.0546719657629666
SIGMAR1	ALKBH5	10	0.0365724232982292	0.0178835871315349
SIGMAR1	WASHC2C	10	0.0364924094459286	0.00971715974372792
SIGMAR1	KIF1C	10	0.0364577432174819	0.0589191821268097
SIGMAR1	FKBP3	10	0.0363451758884456	0.0316575061219566
SIGMAR1	CLDND1	10	0.0362236145644901	0.0391352095665793
SIGMAR1	PCOLCE	10	0.0361147369974872	0.029583458226471
SIGMAR1	ENO1	10	0.0360442647559909	0.00733481020756918
SIGMAR1	ARL17A	10	0.0355857982227655	0.0280703638741374
