pathway	pval	padj	log2err	ES	NES	size	leadingEdge	target_gene
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4.00880842513628e-12	1.96431612831677e-10	0.887074988399873	-0.643982179671265	-1.70482648412439	189	VEGFA;TAGLN;FN1;LUM;COL4A1;COL5A1;COL1A1;MMP2;THBS1;INHBA;ITGA2;SPARC;LAMC2;POSTN;SERPINE1;DST;COL1A2;VCAN;LOXL2;CAPG;CCN2;GADD45A;COL12A1;PMEPA1;TNFRSF12A;VIM;GREM1;NOTCH2;ITGAV;THY1;SPP1;ITGB5;ITGA5;PLAUR;COL7A1;NNMT;MYL9;CXCL12;CTHRC1;TGFB1;PDLIM4;GAS1;COL3A1;COL6A2;CALU;EFEMP2;GLIPR1;DPYSL3;TGM2;WIPF1;COL5A2;THBS2;SNAI2;PDGFRB;JUN;HTRA1;CDH2;COPA;COLGALT1;CCN1;FBN1;FAS;TIMP1;ITGB3;NTM;LOX;TNFAIP3;IGFBP2;CALD1;LOXL1;ADAM12;IGFBP3;COL5A3;SLIT3;MATN2;EDIL3	SIGMAR1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.15665011874032e-05	0.000283379279091377	0.593325476396405	-0.556472993593017	-1.47246562811019	188	VEGFA;PDLIM5;TNIP1;CCNL1;INHBA;BHLHE40;LITAF;SERPINE1;OLR1;DUSP1;MARCKS;FOS;GADD45A;PNRC1;PMEPA1;PFKFB3;PTPRE;PLAUR;DENND5A;EGR1;JUNB;KLF6;SOD2;CFLAR;NFAT5;KLF9;NFKBIA;PLAU;IL15RA;FOSL2;BIRC2;BTG3;NINJ1;CCL20;JUN;KDM6B;BCL3;SLC2A3;RCAN1;SOCS3;CCN1;TRIP10;PTGER4;IER3;TNFAIP3;EIF1;ZBTB10;CEBPD;STAT5A;G0S2;KLF4;RHOB;FOSL1;HBEGF;FUT4;CDKN1A;MAP2K3;NR4A1;TLR2;RELA;ID2;JAG1;MXD1;ZFP36;F3;ATF3;FJX1;RNF19B;RIPK2;CCL5;NFIL3;DUSP2;LDLR;CCL2;ATP2B1;TRIB1;CXCL3;GFPT2;BIRC3;SPHK1;EDN1;CSF1;IFIH1;SDC4;PER1;ZC3H12A;IER2;IL7R;TAP1;PLEK	SIGMAR1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	3.9361587093929e-05	0.000642905922534174	0.557332238758646	-0.552094444237397	-1.45758667360395	168	NDUFB7;POR;NDUFS8;GPI;SLC25A3;COX7A2L;VDAC2;MDH2;ATP6V0E1;NDUFA2;OPA1;NDUFC1;CYCS;ETFB;NDUFA8;CYB5R3;NDUFS2;NDUFB5;ATP5MG;ETFA;ACAA1;IDH3A;GRPEL1;UQCRB;NDUFA7;NDUFA6;PDHA1;PHB2;COX7C;UQCR11;HADHA;ATP6V1H;OXA1L;PDP1;ATP6V0B;NDUFC2;GOT2;COX17;ATP6V1F;SDHA;MDH1;UQCRC2;FDX1;ABCB7;HSPA9;COX7A2;COX8A;NDUFA1;POLR2F;OGDH;IDH3B;NDUFS3;MTX2;TCIRG1;COX5B;ATP5ME;PRDX3;ATP5F1A;HADHB;ECHS1;ACADM;COX6A1;ATP5MC3;SURF1;ATP1B1;DLAT;ATP6V1G1;NDUFS7;ATP5PD;ATP6V1C1;PHYH;TIMM9;BAX;TIMM8B;MPC1;UQCRQ;NDUFA3	SIGMAR1
HALLMARK_APOPTOSIS	0.000300884605582163	0.0036858364183815	0.49849310876659	-0.531314155631781	-1.3976628871281	155	LUM;TIMP2;MMP2;VDAC2;ERBB2;SLC20A1;GADD45A;PDCD4;TNFRSF12A;ERBB3;ISG20;CASP4;TSPO;IGFBP6;CASP6;BNIP3L;XIAP;SOD2;RARA;CFLAR;CTNNB1;NEDD9;BTG3;HMOX1;ANXA1;PDGFRB;BCL2L2;JUN;PTK2;SOD1;PEA15;PPT1;ADD1;FAS;TIMP1;IER3;PLCB2;EREG;BCL2L11;WEE1;CASP9;BIK;BCAP31;TOP2A;RHOB;CCND2;HSPB1;CDKN1A;IGF2R;EBP;RELA;SC5D;BCL10;CDC25B;SATB1;TGFB2;CAV1;PSEN1;ATF3;CREBBP;CD14;BID	SIGMAR1
HALLMARK_TGF_BETA_SIGNALING	0.000766412358447014	0.00751084111278073	0.477270815362862	-0.637843746688181	-1.56972651672875	51	THBS1;ID3;SERPINE1;SLC20A1;PMEPA1;SMURF1;TGFB1;BMPR2;JUNB;XIAP;FURIN;CTNNB1;TGFBR1;FKBP1A;ARID4B;TJP1;HIPK2;SMAD6;RAB31;LTBP2;BCAR3;PPP1CA;HDAC1;ENG;ID2;WWTR1	SIGMAR1
HALLMARK_COAGULATION	0.00156802269616054	0.0109761588731238	0.45505986738723	-0.531681849119598	-1.38994592019113	130	FN1;MMP11;MMP2;THBS1;ITGA2;SPARC;SERPINE1;OLR1;CFB;PRSS23;GNG12;SERPINA1;DUSP6;APOC1;S100A13;MSRB2;USP11;PLAU;FURIN;ANXA1;HTRA1;VWF;MMP9;SIRT2;FBN1;TIMP1;CTSK;CPQ;C1S;ITGB3;LAMP2;KLF7;CASP9;RABIF;CD9;CAPN2;PECAM1	SIGMAR1
HALLMARK_APICAL_JUNCTION	0.0014968123853433	0.0109761588731238	0.45505986738723	-0.505460470904493	-1.33786964113696	191	GNAI2;ZYX;ACTB;CTNND1;MMP2;ITGA2;LAMC2;VCAN;MSN;MAPK13;ACTN1;THY1;CLDN4;MYL9;SORBS3;PLCG1;MYL12B;CTNNA1;VASP;SRC;NECTIN2;PCDH1;NECTIN3;RASA1;ACTN4;CD276;RAC2;VCL;RHOF;TJP1;PTK2;MPZL2;VWF;MMP9;MVD;NECTIN4;NEXN;TIAL1;INPPL1;FBN1;PTPRC;IRS1;PECAM1;SDC3;CRAT;MDK;RSU1;MAPK11;CNN2;TAOK2;CX3CL1;SPEG;CNTN1;CLDN18;VAV2;CLDN15;RRAS;CD86;IKBKG;INSIG1;JAM3;SKAP2;AKT3;ARHGEF6;SGCE;TRO;ITGB1	SIGMAR1
HALLMARK_UV_RESPONSE_DN	0.00186304703247482	0.0114111630739083	0.45505986738723	-0.526054066354879	-1.37919897837191	141	PDLIM5;COL1A1;BHLHE40;SERPINE1;COL1A2;DUSP1;ERBB2;INPP4B;RUNX1;NOTCH2;TGFBR2;ADD3;COL3A1;ATP2B4;MET;CDC42BPA;TFPI;COL5A2;NRP1;SNAI2;PDGFRB;TJP1;MAP1B;CCN1;BCKDHB;PPARG;PRDM2;CITED2;NEK7;NFIB;ITGB3;LTBP1;ACVR2A;IRS1;RXRA;EFEMP1;YTHDC1;PLCB4;FHL2;VAV2;LPAR1;CELF2;CAV1;NIPBL;INSIG1;F3;SLC7A1;AKT3;DYRK1A;FYN;SRI;AMPH;ADGRL2;LDLR;ATP2B1;MGMT;ABCC1;ATXN1;APBB2	SIGMAR1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.00447888100818515	0.0208713269391863	0.407017918923954	-0.617899623774768	-1.49648087458459	44	SBNO2;NDUFS2;FTL;JUNB;PRDX4;SOD2;G6PD;MGST1;NDUFA6;PRDX6;PFKP;SOD1;PTPA;SELENOS;EGLN2;GLRX;ATOX1;TXNRD1;GCLC;ABCC1;NQO1;LSP1;GPX4;TXNRD2;MBP;MSRA;OXSR1	SIGMAR1
HALLMARK_PROTEIN_SECRETION	0.00396341869951645	0.0208713269391863	0.407017918923954	-0.545745177289367	-1.40552683330584	92	ATP1A1;RAB5A;DST;NAPA;CLCN3;CLTC;DOP1A;TMX1;M6PR;ARF1;ERGIC3;STX7;TPD52;SEC31A;STX16;AP2S1;TOM1L1;SSPN;YIPF6;ARFGEF2;SEC24D;ATP6V1H;RAB14;PAM;USO1;GBF1;SOD1;PPT1;SNX2;COPB1;AP2B1;ARCN1;AP3B1;LAMP2;NAPG;KIF1B	SIGMAR1
