orig.ident	gene	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors
IU_PDA_T12	SIGMAR1	3642	15208	1049	0.014079303144220867	3.1866309564029547	0.0007197015418478687	0.0024971985052298397	bernoulli	30
IU_PDA_T4	SIGMAR1	3621	14332	575	0.008393554663232241	1.8937412120702237	0.02912968410239896	0.08348063038503938	bernoulli	30
IU_PDA_T2	SIGMAR1	4118	14705	298	0.006735969244634794	1.5549361173175018	0.05998064225750904	0.24311338048419803	bernoulli	30
IU_PDA_T3	SIGMAR1	4354	14666	518	0.005508706822573189	1.3575515227720698	0.08730301709526428	0.16680381041156148	bernoulli	30
IU_PDA_T6	SIGMAR1	3397	14999	922	0.005244640322069102	1.1614166833707085	0.12273624378573367	0.20438780065973347	bernoulli	30
IU_PDA_T8	SIGMAR1	3779	14217	254	0.00398709544203781	0.8049414392040368	0.21042673692579444	0.3643283992780414	bernoulli	30
IU_PDA_T11	SIGMAR1	2777	14683	405	0.002628949769888319	0.5031501725702439	0.3074293470021766	0.43923710637279995	bernoulli	30
IU_PDA_T10	SIGMAR1	2714	13630	182	0.0025474035852386047	0.4468400604637948	0.32749527216314134	0.518499309976027	bernoulli	30
IU_PDA_T1	SIGMAR1	3530	13520	154	0.000744375374158454	0.1433370381582649	0.44301200280421593	0.6078881840975336	bernoulli	30
IU_PDA_T9	SIGMAR1	3526	14112	345	-0.003976377691765361	-0.87467044136098	0.8091233761457939	0.8605282300225671	bernoulli	30
