target_gene	orig.ident	view	value	p_value
KCNA5	IU_PDA_T10	intercept	0.00129682362066222	NA
KCNA5	IU_PDA_T10	intra	-0.00352217970650235	0.845350967774357
KCNA5	IU_PDA_T10	juxta_ct	-0.00734693210144366	0.689998233159997
KCNA5	IU_PDA_T10	para_ct	-0.00534650811365011	0.718834351402122
KCNA5	IU_PDA_T11	intercept	0.00222277860797555	NA
KCNA5	IU_PDA_T11	intra	-0.0113134360789833	0.610250814776316
KCNA5	IU_PDA_T11	juxta_ct	-0.0103456896604671	0.651031563203328
KCNA5	IU_PDA_T11	para_ct	0.0350616050280724	0.106518797573269
KCNA5	IU_PDA_T12	intercept	0.00788015790843937	NA
KCNA5	IU_PDA_T12	intra	0.204252382300769	3.10204088722621e-05
KCNA5	IU_PDA_T12	juxta_ct	0.223849828148278	3.54101480182223e-06
KCNA5	IU_PDA_T12	para_ct	0.094584286025793	0.0474076523187963
KCNA5	IU_PDA_T2	intercept	0.00312138733959425	NA
KCNA5	IU_PDA_T2	intra	-0.0175806460036629	0.714897583103039
KCNA5	IU_PDA_T2	juxta_ct	-0.0471957097156549	0.3994064789713
KCNA5	IU_PDA_T2	para_ct	0.144517484938279	0.00124381441376142
KCNA5	IU_PDA_T3	intercept	0.00216301260714337	NA
KCNA5	IU_PDA_T3	intra	0.000262142482899066	0.469751008260946
KCNA5	IU_PDA_T3	juxta_ct	-2.68775448107765e-05	0.962104915680434
KCNA5	IU_PDA_T3	para_ct	-0.000405619097061574	0.486079181290443
KCNA5	IU_PDA_T4	intercept	0.00196393303453437	NA
KCNA5	IU_PDA_T4	intra	0.0195117681414116	0.663011330249627
KCNA5	IU_PDA_T4	juxta_ct	0.168312639602313	0.000549448228105209
KCNA5	IU_PDA_T4	para_ct	0.172178241396802	0.000340224432739511
KCNA5	IU_PDA_T6	intercept	0.00183657288814517	NA
KCNA5	IU_PDA_T6	intra	-0.00019144684870848	0.739428458956705
KCNA5	IU_PDA_T6	juxta_ct	9.33734448727336e-05	0.900238354683338
KCNA5	IU_PDA_T6	para_ct	2.02513476501187e-05	0.969954412257781
