target_gene	view	Predictor	dominant_predictor	dominant_importance	dominant_predictor_nsamples
KCNA5	intra	Fibroblasts	Fibroblasts	2.11331176844199	8
KCNA5	juxta_ct	Fibroblasts	Fibroblasts	2.03689223299125	8
KCNA5	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.97499993365327	3
KCNAB1	intra	Fibroblasts	Fibroblasts	3.73454935572966	9
KCNAB1	juxta_ct	Fibroblasts	Fibroblasts	4.01773268311209	9
KCNAB1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	4.67067109001264	3
KCNAB2	intra	Fibroblasts	Fibroblasts	20.229281229457	10
KCNAB2	juxta_ct	Fibroblasts	Fibroblasts	27.5070083576487	10
KCNAB2	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	28.3179282916869	3
KCNB1	intra	Fibroblasts	Fibroblasts	1.78026035621548	7
KCNB1	juxta_ct	Fibroblasts	Fibroblasts	1.94161269581187	7
KCNB1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.25406663760235	2
KCNC4	intra	Fibroblasts	Fibroblasts	10.9868908705872	10
KCNC4	juxta_ct	Fibroblasts	Fibroblasts	14.8787696000505	10
KCNC4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	22.1619176318222	3
KCND2	intra	Fibroblasts	Fibroblasts	7.93401673267474	10
KCND2	juxta_ct	Fibroblasts	Fibroblasts	10.1477270649997	10
KCND2	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	15.2901782846615	3
KCND3	intra	Fibroblasts	Fibroblasts	9.62971285850219	10
KCND3	juxta_ct	Fibroblasts	Fibroblasts	12.1933821431669	10
KCND3	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	12.5228115519012	3
KCNE4	intra	Fibroblasts	Fibroblasts	17.8447547663509	10
KCNE4	juxta_ct	Fibroblasts	Fibroblasts	24.1034508400436	10
KCNE4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	27.4320953076129	3
KCNJ15	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	14.6826397574993	10
KCNJ15	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	19.8618537592381	10
KCNJ15	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	30.0801342109641	3
KCNJ16	intra	Normal_Epithelial_cells	Normal Epithelial cells	2.43346061048652	3
KCNJ16	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	3.46247397625605	3
KCNJ16	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	5.22137227697794	3
KCNJ8	intra	Fibroblasts	Fibroblasts	16.1344156910444	10
KCNJ8	juxta_ct	Fibroblasts	Fibroblasts	21.9274105360946	10
KCNJ8	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	27.5604711293606	3
KCNK1	intra	Fibroblasts	Fibroblasts	27.5276689004146	10
KCNK1	juxta_ct	Fibroblasts	Fibroblasts	38.2663301025584	10
KCNK1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	54.316854981987	3
KCNK15	intra	Fibroblasts	Fibroblasts	1.95384045822848	10
KCNK15	juxta_ct	Fibroblasts	Fibroblasts	2.23996269897555	10
KCNK15	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.7653953283293	3
KCNK17	intra	Fibroblasts	Fibroblasts	5.68439355390559	10
KCNK17	juxta_ct	B_cells	B cells	6.04614013574184	9
KCNK17	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	9.36125400200742	3
KCNK3	intra	TAM	TAM	13.6113558369772	10
KCNK3	juxta_ct	TAM	TAM	17.8231819239103	10
KCNK3	para_ct	Endothelial_cells	Endothelial cells	17.4092681612879	10
KCNK6	intra	Fibroblasts	Fibroblasts	19.1452087824945	10
KCNK6	juxta_ct	Fibroblasts	Fibroblasts	25.9614591456704	10
KCNK6	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	29.0839415971794	3
KCNMA1	intra	Fibroblasts	Fibroblasts	32.133558841042	10
KCNMA1	juxta_ct	Fibroblasts	Fibroblasts	44.8622758225202	10
KCNMA1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	37.9693933540798	3
KCNMB1	intra	Fibroblasts	Fibroblasts	14.2854700851507	10
KCNMB1	juxta_ct	Fibroblasts	Fibroblasts	18.9911288936836	10
KCNMB1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	16.7304937273056	3
KCNMB4	intra	Fibroblasts	Fibroblasts	12.0547381056519	10
KCNMB4	juxta_ct	Fibroblasts	Fibroblasts	16.3369049287023	10
KCNMB4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	14.7034839055625	3
KCNN3	intra	Fibroblasts	Fibroblasts	5.94370601971325	10
KCNN3	juxta_ct	Fibroblasts	Fibroblasts	7.07642232818018	10
KCNN3	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	7.27283015298123	3
KCNN4	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	19.9155398382841	10
KCNN4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	29.2449352577208	10
KCNN4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	31.9119309671692	3
KCNQ4	intra	Fibroblasts	Fibroblasts	5.28303418016123	10
KCNQ4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	6.12795385529766	10
KCNQ4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	6.20704674325462	3
KCNS3	intra	Fibroblasts	Fibroblasts	19.5579883109742	10
KCNS3	juxta_ct	Fibroblasts	Fibroblasts	29.4582777043417	10
KCNS3	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	32.5192274725752	3
KCNT2	intra	Fibroblasts	Fibroblasts	2.31437682769767	10
KCNT2	juxta_ct	Fibroblasts	Fibroblasts	2.59918154110565	10
KCNT2	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.92272591848781	3
NA	NA	NA	NA	NA	NA
