target_gene	dominant_view	dominant_view_mean	dominant_view_abs_fraction	p.mean	p.sd
KCNA5	para_ct	0.0517173338063264	0.42337191146998	0.345887589577848	0.366649563144625
KCNAB1	intra	0.0835692824063641	0.461171233039271	0.412012754790393	0.389331904225491
KCNAB2	intra	0.181819137839288	0.508608651078294	0.0559194999009615	0.0780139725962808
KCNB1	juxta_ct	0.102859066673581	0.359058337393091	0.542084389021715	0.404669268258347
KCNC4	intra	0.108693464271934	0.430713518790716	0.233883077657784	0.227478385966092
KCND2	intra	0.0417579257035188	0.388152392501355	0.365924550067857	0.290054540751109
KCND3	para_ct	0.122752772105675	0.362014170297684	0.0682318103586489	0.0860433474567609
KCNE4	intra	0.17576575629368	0.458324458453997	0.123331009837103	0.193140035212347
KCNJ15	para_ct	0.154342991617311	0.413279052917431	0.129054453539384	0.295209466204496
KCNJ16	para_ct	0.129848199595292	0.394972516941446	0.335505719410554	0.344599738384442
KCNJ8	intra	0.227546326081436	0.50293905301527	0.0107474916567438	0.0224329261618201
KCNK1	intra	0.438500152330966	0.577843838842685	3.97203369597587e-05	0.000124935998398438
KCNK15	juxta_ct	0.0233788712199108	0.417001439920026	0.48419751363295	0.302142158994913
KCNK17	para_ct	0.0823983053698158	0.40884738196042	0.35030388809686	0.332541421176092
KCNK3	para_ct	0.251587277709027	0.509312066192536	0.197598725937043	0.314320622508104
KCNK6	intra	0.192274199732368	0.392621147619141	0.224892691244525	0.287883251275704
KCNMA1	intra	0.273391176838449	0.439256793456781	0.0672012343305525	0.169700574797966
KCNMB1	juxta_ct	0.138062709804182	0.425313498528605	0.101450314878767	0.222271031175462
KCNMB4	juxta_ct	0.0520393313703311	0.370537630589877	0.188071542890829	0.181994889596715
KCNN3	intra	0.120261190884411	0.423483857804831	0.347677209248933	0.378818683555904
KCNN4	intra	0.355355874656351	0.486234289483931	0.00176872223115483	0.00260724473401885
KCNQ4	juxta_ct	0.0401132271964517	0.343597185377125	0.374633615469387	0.313490686916922
KCNS3	para_ct	0.139560426181861	0.378187339071464	0.0962512328941806	0.182017554751019
KCNT2	para_ct	0.0406150343206588	0.477500502488243	0.404186052431786	0.302021074969451
