target_gene	orig.ident	view	Predictor	Importance	Predictor_original
KCNA5	IU_PDA_T10	intra	Fibroblasts	0.393247390176479	Fibroblasts
KCNA5	IU_PDA_T10	intra	Monocytes	0.000577156124421607	Monocytes
KCNA5	IU_PDA_T10	intra	B_cells	0.485383018414891	B cells
KCNA5	IU_PDA_T10	intra	TAM	0.398409926713624	TAM
KCNA5	IU_PDA_T10	intra	Endothelial_cells	0.000147640325376836	Endothelial cells
KCNA5	IU_PDA_T10	intra	PVL	0.000473591925303142	PVL
KCNA5	IU_PDA_T10	intra	T_NK_cells	0.000317743576089207	T-NK cells
KCNA5	IU_PDA_T10	intra	Tumor_Epithelial_cells	0.453045650874964	Tumor Epithelial cells
KCNA5	IU_PDA_T10	juxta_ct	Fibroblasts	0.609081694996018	Fibroblasts
KCNA5	IU_PDA_T10	juxta_ct	Monocytes	0.195215276232686	Monocytes
KCNA5	IU_PDA_T10	juxta_ct	B_cells	0.484635935912013	B cells
KCNA5	IU_PDA_T10	juxta_ct	TAM	0.347309713433209	TAM
KCNA5	IU_PDA_T10	juxta_ct	Endothelial_cells	0.000740281679986563	Endothelial cells
KCNA5	IU_PDA_T10	juxta_ct	PVL	0.109507032271959	PVL
KCNA5	IU_PDA_T10	juxta_ct	T_NK_cells	0.00118872459760987	T-NK cells
KCNA5	IU_PDA_T10	juxta_ct	Tumor_Epithelial_cells	0.372306464710251	Tumor Epithelial cells
KCNA5	IU_PDA_T10	para_ct	Fibroblasts	0.323319081072689	Fibroblasts
KCNA5	IU_PDA_T10	para_ct	Monocytes	0.409877386001281	Monocytes
KCNA5	IU_PDA_T10	para_ct	B_cells	0.269537874221724	B cells
KCNA5	IU_PDA_T10	para_ct	TAM	0.24321920224041	TAM
KCNA5	IU_PDA_T10	para_ct	Endothelial_cells	0.276975700335069	Endothelial cells
KCNA5	IU_PDA_T10	para_ct	PVL	0.16919443909681	PVL
KCNA5	IU_PDA_T10	para_ct	T_NK_cells	0.271712312467946	T-NK cells
KCNA5	IU_PDA_T10	para_ct	Tumor_Epithelial_cells	0.261947741834795	Tumor Epithelial cells
KCNA5	IU_PDA_T11	intra	Fibroblasts	0.948431424950343	Fibroblasts
KCNA5	IU_PDA_T11	intra	Monocytes	0.0027214665354208	Monocytes
