target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCNA5	intra	B_cells	B cells	1.30987447285329	7
KCNA5	intra	Endothelial_cells	Endothelial cells	0.427244143468508	8
KCNA5	intra	Fibroblasts	Fibroblasts	2.11331176844199	8
KCNA5	intra	Hepatocytes	Hepatocytes	1.32696229441221e-05	2
KCNA5	intra	Monocytes	Monocytes	0.427138351205371	8
KCNA5	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.120735657437053	3
KCNA5	intra	PVL	PVL	0.614287718290131	8
KCNA5	intra	TAM	TAM	1.33993088575074	8
KCNA5	intra	T_NK_cells	T-NK cells	0.0204780352456535	6
KCNA5	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.58765811342626	8
KCNA5	juxta_ct	B_cells	B cells	1.55942084785615	7
KCNA5	juxta_ct	Endothelial_cells	Endothelial cells	0.729603958104869	8
KCNA5	juxta_ct	Fibroblasts	Fibroblasts	2.03689223299125	8
KCNA5	juxta_ct	Hepatocytes	Hepatocytes	0.000153819848504598	2
KCNA5	juxta_ct	Monocytes	Monocytes	0.57362233635607	8
KCNA5	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.179224404636754	3
KCNA5	juxta_ct	PVL	PVL	0.641660729910441	8
KCNA5	juxta_ct	TAM	TAM	1.70466193121449	8
KCNA5	juxta_ct	T_NK_cells	T-NK cells	0.143225199386225	6
KCNA5	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.76171246221212	8
KCNA5	para_ct	B_cells	B cells	1.22967926282625	7
KCNA5	para_ct	Endothelial_cells	Endothelial cells	1.32233211807482	8
KCNA5	para_ct	Fibroblasts	Fibroblasts	1.11360766508689	8
KCNA5	para_ct	Hepatocytes	Hepatocytes	0.881967671086844	2
KCNA5	para_ct	Monocytes	Monocytes	1.17533491773559	8
KCNA5	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.97499993365327	3
KCNA5	para_ct	PVL	PVL	1.11483909359429	8
KCNA5	para_ct	TAM	TAM	1.1344234419746	8
KCNA5	para_ct	T_NK_cells	T-NK cells	1.26142104142011	6
KCNA5	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.15662471861819	8
KCNAB1	intra	B_cells	B cells	1.84504051270771	8
KCNAB1	intra	Endothelial_cells	Endothelial cells	0.448573319974144	9
KCNAB1	intra	Fibroblasts	Fibroblasts	3.73454935572966	9
KCNAB1	intra	Hepatocytes	Hepatocytes	1.61800299540059e-05	4
KCNAB1	intra	Monocytes	Monocytes	0.683713154493087	9
KCNAB1	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.129423852578022	3
KCNAB1	intra	PVL	PVL	0.624565202925536	9
KCNAB1	intra	TAM	TAM	2.31946994205363	9
KCNAB1	intra	T_NK_cells	T-NK cells	0.0477237459222077	6
KCNAB1	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	2.57655708725676	9
KCNAB1	juxta_ct	B_cells	B cells	2.30046927859126	8
KCNAB1	juxta_ct	Endothelial_cells	Endothelial cells	0.993067181102739	9
KCNAB1	juxta_ct	Fibroblasts	Fibroblasts	4.01773268311209	9
KCNAB1	juxta_ct	Hepatocytes	Hepatocytes	0.000147407010162656	4
KCNAB1	juxta_ct	Monocytes	Monocytes	1.12410656382367	9
KCNAB1	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.168380894598306	3
KCNAB1	juxta_ct	PVL	PVL	0.734104931807565	9
KCNAB1	juxta_ct	TAM	TAM	3.35977670674767	9
KCNAB1	juxta_ct	T_NK_cells	T-NK cells	0.308692947673023	6
KCNAB1	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	3.3689633858946	9
KCNAB1	para_ct	B_cells	B cells	2.38437801095739	8
KCNAB1	para_ct	Endothelial_cells	Endothelial cells	2.25796155906744	9
KCNAB1	para_ct	Fibroblasts	Fibroblasts	2.22430411994526	9
KCNAB1	para_ct	Hepatocytes	Hepatocytes	0.715759172218222	4
KCNAB1	para_ct	Monocytes	Monocytes	2.13806865173031	9
KCNAB1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	4.67067109001264	3
KCNAB1	para_ct	PVL	PVL	2.49394787592407	9
KCNAB1	para_ct	TAM	TAM	2.40767674909642	9
KCNAB1	para_ct	T_NK_cells	T-NK cells	2.45954670993719	6
KCNAB1	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	2.45201094371111	9
KCNAB2	intra	B_cells	B cells	11.9616785823644	9
KCNAB2	intra	Endothelial_cells	Endothelial cells	2.28884412261696	10
KCNAB2	intra	Fibroblasts	Fibroblasts	20.229281229457	10
KCNAB2	intra	Hepatocytes	Hepatocytes	0.00125103045006296	4
KCNAB2	intra	Monocytes	Monocytes	4.45954253810175	10
KCNAB2	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.222781849946382	3
KCNAB2	intra	PVL	PVL	1.1044130349482	10
KCNAB2	intra	TAM	TAM	16.5234670618385	10
KCNAB2	intra	T_NK_cells	T-NK cells	1.13773751630666	7
KCNAB2	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	14.6527011866878	10
KCNAB2	juxta_ct	B_cells	B cells	18.7973073917249	9
KCNAB2	juxta_ct	Endothelial_cells	Endothelial cells	5.40535558512859	10
KCNAB2	juxta_ct	Fibroblasts	Fibroblasts	27.5070083576487	10
KCNAB2	juxta_ct	Hepatocytes	Hepatocytes	0.0575483763888097	4
KCNAB2	juxta_ct	Monocytes	Monocytes	11.9685715653343	10
KCNAB2	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.301092239065319	3
KCNAB2	juxta_ct	PVL	PVL	2.75290084641061	10
KCNAB2	juxta_ct	TAM	TAM	25.7400704146926	10
KCNAB2	juxta_ct	T_NK_cells	T-NK cells	3.32404740824965	7
KCNAB2	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	23.4156238715774	10
KCNAB2	para_ct	B_cells	B cells	19.2114046387927	9
KCNAB2	para_ct	Endothelial_cells	Endothelial cells	19.0905213189556	10
KCNAB2	para_ct	Fibroblasts	Fibroblasts	18.8888598419585	10
KCNAB2	para_ct	Hepatocytes	Hepatocytes	9.49354417375165	4
KCNAB2	para_ct	Monocytes	Monocytes	18.7750344128638	10
KCNAB2	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	28.3179282916869	3
KCNAB2	para_ct	PVL	PVL	19.2878469798769	10
KCNAB2	para_ct	TAM	TAM	19.7009350200321	10
KCNAB2	para_ct	T_NK_cells	T-NK cells	20.88365205484	7
KCNAB2	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	19.4936254240914	10
KCNB1	intra	B_cells	B cells	0.831185580449101	7
KCNB1	intra	Endothelial_cells	Endothelial cells	0.378757324106204	7
KCNB1	intra	Fibroblasts	Fibroblasts	1.78026035621548	7
KCNB1	intra	Hepatocytes	Hepatocytes	7.802750879729e-06	2
