target_gene	orig.ident	measure	value
KCNA5	IU_PDA_T10	intra.RMSE	0.0196623153365719
KCNA5	IU_PDA_T10	intra.R2	0
KCNA5	IU_PDA_T10	multi.RMSE	0.0196579897173534
KCNA5	IU_PDA_T10	multi.R2	0
KCNA5	IU_PDA_T10	p.RMSE	0.499894009420317
KCNA5	IU_PDA_T10	p.R2	1
KCNA5	IU_PDA_T10	gain.RMSE	-4.32561921849886e-06
KCNA5	IU_PDA_T10	gain.R2	0
KCNA5	IU_PDA_T11	intra.RMSE	0.0385407565476503
KCNA5	IU_PDA_T11	intra.R2	0.00224872371477058
KCNA5	IU_PDA_T11	multi.RMSE	0.0385488424167223
KCNA5	IU_PDA_T11	multi.R2	0
KCNA5	IU_PDA_T11	p.RMSE	0.500539400900533
KCNA5	IU_PDA_T11	p.R2	0.813049516849971
KCNA5	IU_PDA_T11	gain.RMSE	8.08586907199982e-06
KCNA5	IU_PDA_T11	gain.R2	-0.00224872371477058
KCNA5	IU_PDA_T12	intra.RMSE	0.111836597471529
KCNA5	IU_PDA_T12	intra.R2	0.510833989457762
KCNA5	IU_PDA_T12	multi.RMSE	0.111502711608069
KCNA5	IU_PDA_T12	multi.R2	1.01541634069917
KCNA5	IU_PDA_T12	p.RMSE	0.486076151870826
KCNA5	IU_PDA_T12	p.R2	0.0830121027532584
KCNA5	IU_PDA_T12	gain.RMSE	-0.000333885863460004
KCNA5	IU_PDA_T12	gain.R2	0.504582351241408
KCNA5	IU_PDA_T2	intra.RMSE	0.0478866723807726
KCNA5	IU_PDA_T2	intra.R2	0.00161762465882065
KCNA5	IU_PDA_T2	multi.RMSE	0.0478637368418309
KCNA5	IU_PDA_T2	multi.R2	0.152870641002172
KCNA5	IU_PDA_T2	p.RMSE	0.497677228502039
KCNA5	IU_PDA_T2	p.R2	0.0918405648960251
KCNA5	IU_PDA_T2	gain.RMSE	-2.29355389416985e-05
KCNA5	IU_PDA_T2	gain.R2	0.151253016343351
KCNA5	IU_PDA_T3	intra.RMSE	0.0370472036127869
KCNA5	IU_PDA_T3	intra.R2	0
KCNA5	IU_PDA_T3	multi.RMSE	0.037034336686849
KCNA5	IU_PDA_T3	multi.R2	0
KCNA5	IU_PDA_T3	p.RMSE	0.49953267872606
KCNA5	IU_PDA_T3	p.R2	1
KCNA5	IU_PDA_T3	gain.RMSE	-1.28669259378961e-05
KCNA5	IU_PDA_T3	gain.R2	0
KCNA5	IU_PDA_T4	intra.RMSE	0.0479556475675699
KCNA5	IU_PDA_T4	intra.R2	0.149267885664639
KCNA5	IU_PDA_T4	multi.RMSE	0.047916602110578
