target_gene	measure	mean	sd	cv
KCNA5	gain.R2	0.188610341536505	0.319312563152803	1.69297484194948
KCNA5	gain.RMSE	-5.14966447369993e-05	0.000115008936770063	-2.23332874126906
KCNA5	intra.R2	0.0831205056140591	0.18046320716265	2.17110333761163
KCNA5	intra.RMSE	0.0460965244485882	0.028196546869688	0.611684876614415
KCNA5	multi.R2	0.271730847150565	0.456745683027908	1.68087535080192
KCNA5	multi.RMSE	0.0460450278038512	0.0280861214624923	0.609970778650354
KCNA5	p.R2	0.529378401249908	0.457477328527534	0.864178303171023
KCNA5	p.RMSE	0.497623017277596	0.00478646807262874	0.00961866293648279
KCNAB1	gain.R2	-0.00194537351715949	0.0409343060106099	-21.0418748119793
KCNAB1	gain.RMSE	-1.48438814603026e-05	3.03709454052201e-05	-2.04602451767362
KCNAB1	intra.R2	0.112425407357665	0.235747776964998	2.0969261531337
KCNAB1	intra.RMSE	0.0682892889323263	0.0401155535082614	0.587435513467058
KCNAB1	multi.R2	0.110480033840506	0.219861315394414	1.99005474339206
KCNAB1	multi.RMSE	0.068274445050866	0.0400939435997898	0.587246715369403
KCNAB1	p.R2	0.63271370548746	0.34346337169961	0.542841681349382
KCNAB1	p.RMSE	0.499487293344868	0.000969582998456567	0.00194115648460976
KCNAB2	gain.R2	0.305175231676132	0.639246119765	2.09468545744696
KCNAB2	gain.RMSE	-0.000562137175924986	0.00132248494132047	-2.35260181670843
KCNAB2	intra.R2	0.434260894902592	0.672105052663822	1.5476987694565
KCNAB2	intra.RMSE	0.210108680453017	0.0766647038275119	0.364881182739401
KCNAB2	multi.R2	0.739436126578725	1.25327227234507	1.69490267961859
KCNAB2	multi.RMSE	0.209546543277092	0.0754917327569699	0.360262362606211
KCNAB2	p.R2	0.28666010322657	0.241163762425773	0.841288200594702
KCNAB2	p.RMSE	0.443715014695818	0.150809854961013	0.339879990458286
KCNB1	gain.R2	0.383369500081794	1.02229693013931	2.66660996746273
KCNB1	gain.RMSE	5.65149804044001e-05	0.000151167314571772	2.67481849042635
