target_gene	view	Predictor	Predictor_original	Importance	nsamples	importance_rank	normalized_importance
KCNA5	intra	B_cells	B cells	1.30987447285329	7	4	0.619820744110545
KCNA5	intra	Endothelial_cells	Endothelial cells	0.427244143468508	8	6	0.202168061451476
KCNA5	intra	Fibroblasts	Fibroblasts	2.11331176844199	8	1	1
KCNA5	intra	Hepatocytes	Hepatocytes	1.32696229441221e-05	2	10	6.27906546600314e-06
KCNA5	intra	Monocytes	Monocytes	0.427138351205371	8	7	0.202118001510148
KCNA5	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.120735657437053	3	8	0.0571310202498251
KCNA5	intra	PVL	PVL	0.614287718290131	8	5	0.290675388015752
KCNA5	intra	TAM	TAM	1.33993088575074	8	3	0.634043166635366
KCNA5	intra	T_NK_cells	T-NK cells	0.0204780352456535	6	9	0.00969002091951188
KCNA5	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.58765811342626	8	2	0.7512654484467
KCNA5	juxta_ct	B_cells	B cells	1.55942084785615	7	4	0.765588293086122
KCNA5	juxta_ct	Endothelial_cells	Endothelial cells	0.729603958104869	8	5	0.35819467828861
KCNA5	juxta_ct	Fibroblasts	Fibroblasts	2.03689223299125	8	1	1
KCNA5	juxta_ct	Hepatocytes	Hepatocytes	0.000153819848504598	2	10	7.55169301611544e-05
KCNA5	juxta_ct	Monocytes	Monocytes	0.57362233635607	8	7	0.281616438545541
KCNA5	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.179224404636754	3	8	0.087989144312047
KCNA5	juxta_ct	PVL	PVL	0.641660729910441	8	6	0.315019478948152
KCNA5	juxta_ct	TAM	TAM	1.70466193121449	8	3	0.836893530057372
KCNA5	juxta_ct	T_NK_cells	T-NK cells	0.143225199386225	6	9	0.0703155508506671
KCNA5	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.76171246221212	8	2	0.864902145375156
KCNA5	para_ct	B_cells	B cells	1.22967926282625	7	4	0.622622432473529
KCNA5	para_ct	Endothelial_cells	Endothelial cells	1.32233211807482	8	2	0.669535272150027
KCNA5	para_ct	Fibroblasts	Fibroblasts	1.11360766508689	8	9	0.563852001264114
KCNA5	para_ct	Hepatocytes	Hepatocytes	0.881967671086844	2	10	0.446565924412676
KCNA5	para_ct	Monocytes	Monocytes	1.17533491773559	8	5	0.595106307452631
KCNA5	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.97499993365327	3	1	1
KCNA5	para_ct	PVL	PVL	1.11483909359429	8	8	0.564475509390074
KCNA5	para_ct	TAM	TAM	1.1344234419746	8	7	0.574391635485371
KCNA5	para_ct	T_NK_cells	T-NK cells	1.26142104142011	6	3	0.638694219643231
KCNA5	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.15662471861819	8	6	0.585632788593928
KCNAB1	intra	B_cells	B cells	1.84504051270771	8	4	0.494046359268754
KCNAB1	intra	Endothelial_cells	Endothelial cells	0.448573319974144	9	7	0.120114444139272
KCNAB1	intra	Fibroblasts	Fibroblasts	3.73454935572966	9	1	1
KCNAB1	intra	Hepatocytes	Hepatocytes	1.61800299540059e-05	4	10	4.33252540341501e-06
KCNAB1	intra	Monocytes	Monocytes	0.683713154493087	9	5	0.183077819936725
KCNAB1	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.129423852578022	3	8	0.0346558152670966
KCNAB1	intra	PVL	PVL	0.624565202925536	9	6	0.167239777395714
KCNAB1	intra	TAM	TAM	2.31946994205363	9	3	0.621084291869118
KCNAB1	intra	T_NK_cells	T-NK cells	0.0477237459222077	6	9	0.012778983854903
KCNAB1	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	2.57655708725676	9	2	0.689924497397183
KCNAB1	juxta_ct	B_cells	B cells	2.30046927859126	8	4	0.5725789792489
KCNAB1	juxta_ct	Endothelial_cells	Endothelial cells	0.993067181102739	9	6	0.247171043827018
KCNAB1	juxta_ct	Fibroblasts	Fibroblasts	4.01773268311209	9	1	1
KCNAB1	juxta_ct	Hepatocytes	Hepatocytes	0.000147407010162656	4	10	3.66891034792479e-05
KCNAB1	juxta_ct	Monocytes	Monocytes	1.12410656382367	9	5	0.279786300504431
KCNAB1	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.168380894598306	3	9	0.0419094319803975
KCNAB1	juxta_ct	PVL	PVL	0.734104931807565	9	7	0.18271622074143
KCNAB1	juxta_ct	TAM	TAM	3.35977670674767	9	3	0.836236995275959
KCNAB1	juxta_ct	T_NK_cells	T-NK cells	0.308692947673023	6	8	0.0768326247713209
KCNAB1	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	3.3689633858946	9	2	0.838523528470551
KCNAB1	para_ct	B_cells	B cells	2.38437801095739	8	6	0.510500089817059
KCNAB1	para_ct	Endothelial_cells	Endothelial cells	2.25796155906744	9	7	0.483434075222226
KCNAB1	para_ct	Fibroblasts	Fibroblasts	2.22430411994526	9	8	0.47622795034776
KCNAB1	para_ct	Hepatocytes	Hepatocytes	0.715759172218222	4	10	0.153245466962711
KCNAB1	para_ct	Monocytes	Monocytes	2.13806865173031	9	9	0.457764764532912
KCNAB1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	4.67067109001264	3	1	1
