target_gene	orig.ident	n_spots	n_positive_spots	mean_target	sd_target	n_predictors_used	predictors_removed
KCNA5	IU_PDA_T1	3530	0	0	0	9	Normal Epithelial cells
KCNA5	IU_PDA_T10	2714	5	0.00127698448887241	0.029729331740233	8	Hepatocytes; Normal Epithelial cells
KCNA5	IU_PDA_T11	2777	9	0.00224642586425621	0.0394032539702312	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNA5	IU_PDA_T12	3642	90	0.0177644848608972	0.112935394990017	9	Hepatocytes
KCNA5	IU_PDA_T2	4118	20	0.00336642632617749	0.0481939842366011	10	
KCNA5	IU_PDA_T3	4354	13	0.00216269601639583	0.0399632853663219	8	Hepatocytes; Normal Epithelial cells
KCNA5	IU_PDA_T4	3621	15	0.00309531563783914	0.0488121169008889	9	Normal Epithelial cells
KCNA5	IU_PDA_T6	3397	9	0.00183642173242258	0.0356358237554794	7	B cells; Hepatocytes; T-NK cells
KCNA5	IU_PDA_T8	3779	0	0	0	8	Normal Epithelial cells; T-NK cells
KCNA5	IU_PDA_T9	3526	11	0.00216239903180925	0.0386601694873488	8	Hepatocytes; Normal Epithelial cells
KCNAB1	IU_PDA_T1	3530	11	0.00227481135814945	0.0412101312126304	9	Normal Epithelial cells
KCNAB1	IU_PDA_T10	2714	0	0	0	8	Hepatocytes; Normal Epithelial cells
KCNAB1	IU_PDA_T11	2777	50	0.0136057964916119	0.102751963406376	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNAB1	IU_PDA_T12	3642	171	0.0345953978194654	0.158594075160001	9	Hepatocytes
KCNAB1	IU_PDA_T2	4118	22	0.00389999227502067	0.0538990403479462	10	
KCNAB1	IU_PDA_T3	4354	21	0.00343627834172417	0.0497284081833064	8	Hepatocytes; Normal Epithelial cells
KCNAB1	IU_PDA_T4	3621	17	0.00336618811864878	0.0494532728472762	9	Normal Epithelial cells
KCNAB1	IU_PDA_T6	3397	29	0.00683756434072633	0.0759212260893692	7	B cells; Hepatocytes; T-NK cells
KCNAB1	IU_PDA_T8	3779	8	0.00146736635207186	0.0318624596130917	8	Normal Epithelial cells; T-NK cells
KCNAB1	IU_PDA_T9	3526	35	0.00688036055575669	0.0687248329671347	8	Hepatocytes; Normal Epithelial cells
KCNAB2	IU_PDA_T1	3530	111	0.0223701593718682	0.125063052901354	9	Normal Epithelial cells
KCNAB2	IU_PDA_T10	2714	171	0.0459526547579333	0.180081422306992	8	Hepatocytes; Normal Epithelial cells
KCNAB2	IU_PDA_T11	2777	174	0.0472458834099322	0.186910042688574	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNAB2	IU_PDA_T12	3642	1186	0.26761381371325	0.406545341751432	9	Hepatocytes
KCNAB2	IU_PDA_T2	4118	202	0.0352523054499414	0.156912447067643	10	
KCNAB2	IU_PDA_T3	4354	580	0.10088425932848	0.263864017666948	8	Hepatocytes; Normal Epithelial cells
KCNAB2	IU_PDA_T4	3621	228	0.0465235755158308	0.182510955209156	9	Normal Epithelial cells
KCNAB2	IU_PDA_T6	3397	261	0.0571257570274955	0.201776364881187	7	B cells; Hepatocytes; T-NK cells
KCNAB2	IU_PDA_T8	3779	247	0.0492886156653738	0.190471303653904	8	Normal Epithelial cells; T-NK cells
KCNAB2	IU_PDA_T9	3526	328	0.0687001421406715	0.218190891726952	8	Hepatocytes; Normal Epithelial cells
KCNB1	IU_PDA_T1	3530	0	0	0	9	Normal Epithelial cells
KCNB1	IU_PDA_T10	2714	7	0.00178777828442138	0.0351632323508128	8	Hepatocytes; Normal Epithelial cells
KCNB1	IU_PDA_T11	2777	49	0.0135022019390545	0.103195966088382	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNB1	IU_PDA_T12	3642	39	0.00753382898131412	0.0727258885116235	9	Hepatocytes
KCNB1	IU_PDA_T2	4118	13	0.00218817711201537	0.0388884034126921	10	
KCNB1	IU_PDA_T3	4354	8	0.00127358232532833	0.0296877148248806	8	Hepatocytes; Normal Epithelial cells
KCNB1	IU_PDA_T4	3621	6	0.00114854545246056	0.0281959472483383	9	Normal Epithelial cells
KCNB1	IU_PDA_T6	3397	0	0	0	7	B cells; Hepatocytes; T-NK cells
KCNB1	IU_PDA_T8	3779	0	0	0	8	Normal Epithelial cells; T-NK cells
KCNB1	IU_PDA_T9	3526	12	0.00247397370244683	0.0428434427537009	8	Hepatocytes; Normal Epithelial cells
