target_gene	orig.ident	status	message
KCNA5	IU_PDA_T1	skipped	KCNA5 has zero variance in this section.
KCNA5	IU_PDA_T10	completed	NA
KCNA5	IU_PDA_T11	completed	NA
KCNA5	IU_PDA_T12	completed	NA
KCNA5	IU_PDA_T2	completed	NA
KCNA5	IU_PDA_T3	completed	NA
KCNA5	IU_PDA_T4	completed	NA
KCNA5	IU_PDA_T6	completed	NA
KCNA5	IU_PDA_T8	skipped	KCNA5 has zero variance in this section.
KCNA5	IU_PDA_T9	completed	NA
KCNAB1	IU_PDA_T1	completed	NA
KCNAB1	IU_PDA_T10	skipped	KCNAB1 has zero variance in this section.
KCNAB1	IU_PDA_T11	completed	NA
KCNAB1	IU_PDA_T12	completed	NA
KCNAB1	IU_PDA_T2	completed	NA
KCNAB1	IU_PDA_T3	completed	NA
KCNAB1	IU_PDA_T4	completed	NA
KCNAB1	IU_PDA_T6	completed	NA
KCNAB1	IU_PDA_T8	completed	NA
KCNAB1	IU_PDA_T9	completed	NA
KCNAB2	IU_PDA_T1	completed	NA
KCNAB2	IU_PDA_T10	completed	NA
KCNAB2	IU_PDA_T11	completed	NA
KCNAB2	IU_PDA_T12	completed	NA
KCNAB2	IU_PDA_T2	completed	NA
KCNAB2	IU_PDA_T3	completed	NA
KCNAB2	IU_PDA_T4	completed	NA
KCNAB2	IU_PDA_T6	completed	NA
KCNAB2	IU_PDA_T8	completed	NA
KCNAB2	IU_PDA_T9	completed	NA
KCNB1	IU_PDA_T1	skipped	KCNB1 has zero variance in this section.
KCNB1	IU_PDA_T10	completed	NA
KCNB1	IU_PDA_T11	completed	NA
KCNB1	IU_PDA_T12	completed	NA
KCNB1	IU_PDA_T2	completed	NA
KCNB1	IU_PDA_T3	completed	NA
KCNB1	IU_PDA_T4	completed	NA
KCNB1	IU_PDA_T6	skipped	KCNB1 has zero variance in this section.
KCNB1	IU_PDA_T8	skipped	KCNB1 has zero variance in this section.
KCNB1	IU_PDA_T9	completed	NA
KCNC4	IU_PDA_T1	completed	NA
KCNC4	IU_PDA_T10	completed	NA
KCNC4	IU_PDA_T11	completed	NA
KCNC4	IU_PDA_T12	completed	NA
KCNC4	IU_PDA_T2	completed	NA
KCNC4	IU_PDA_T3	completed	NA
KCNC4	IU_PDA_T4	completed	NA
KCNC4	IU_PDA_T6	completed	NA
KCNC4	IU_PDA_T8	completed	NA
KCNC4	IU_PDA_T9	completed	NA
KCND2	IU_PDA_T1	completed	NA
KCND2	IU_PDA_T10	completed	NA
KCND2	IU_PDA_T11	completed	NA
KCND2	IU_PDA_T12	completed	NA
KCND2	IU_PDA_T2	completed	NA
KCND2	IU_PDA_T3	completed	NA
KCND2	IU_PDA_T4	completed	NA
KCND2	IU_PDA_T6	completed	NA
KCND2	IU_PDA_T8	completed	NA
KCND2	IU_PDA_T9	completed	NA
KCND3	IU_PDA_T1	completed	NA
KCND3	IU_PDA_T10	completed	NA
KCND3	IU_PDA_T11	completed	NA
KCND3	IU_PDA_T12	completed	NA
KCND3	IU_PDA_T2	completed	NA
KCND3	IU_PDA_T3	completed	NA
KCND3	IU_PDA_T4	completed	NA
KCND3	IU_PDA_T6	completed	NA
KCND3	IU_PDA_T8	completed	NA
KCND3	IU_PDA_T9	completed	NA
KCNE4	IU_PDA_T1	completed	NA
KCNE4	IU_PDA_T10	completed	NA
KCNE4	IU_PDA_T11	completed	NA
KCNE4	IU_PDA_T12	completed	NA
KCNE4	IU_PDA_T2	completed	NA
KCNE4	IU_PDA_T3	completed	NA
KCNE4	IU_PDA_T4	completed	NA
KCNE4	IU_PDA_T6	completed	NA
KCNE4	IU_PDA_T8	completed	NA
KCNE4	IU_PDA_T9	completed	NA
KCNJ15	IU_PDA_T1	completed	NA
KCNJ15	IU_PDA_T10	completed	NA
KCNJ15	IU_PDA_T11	completed	NA
KCNJ15	IU_PDA_T12	completed	NA
KCNJ15	IU_PDA_T2	completed	NA
KCNJ15	IU_PDA_T3	completed	NA
KCNJ15	IU_PDA_T4	completed	NA
KCNJ15	IU_PDA_T6	completed	NA
KCNJ15	IU_PDA_T8	completed	NA
KCNJ15	IU_PDA_T9	completed	NA
KCNJ16	IU_PDA_T1	completed	NA
KCNJ16	IU_PDA_T10	completed	NA
KCNJ16	IU_PDA_T11	completed	NA
KCNJ16	IU_PDA_T12	completed	NA
KCNJ16	IU_PDA_T2	completed	NA
KCNJ16	IU_PDA_T3	completed	NA
KCNJ16	IU_PDA_T4	completed	NA
KCNJ16	IU_PDA_T6	completed	NA
KCNJ16	IU_PDA_T8	completed	NA
KCNJ16	IU_PDA_T9	completed	NA
KCNJ8	IU_PDA_T1	completed	NA
KCNJ8	IU_PDA_T10	completed	NA
KCNJ8	IU_PDA_T11	completed	NA
KCNJ8	IU_PDA_T12	completed	NA
KCNJ8	IU_PDA_T2	completed	NA
KCNJ8	IU_PDA_T3	completed	NA
KCNJ8	IU_PDA_T4	completed	NA
KCNJ8	IU_PDA_T6	completed	NA
KCNJ8	IU_PDA_T8	completed	NA
KCNJ8	IU_PDA_T9	completed	NA
KCNK1	IU_PDA_T1	completed	NA
KCNK1	IU_PDA_T10	completed	NA
KCNK1	IU_PDA_T11	completed	NA
KCNK1	IU_PDA_T12	completed	NA
KCNK1	IU_PDA_T2	completed	NA
KCNK1	IU_PDA_T3	completed	NA
KCNK1	IU_PDA_T4	completed	NA
KCNK1	IU_PDA_T6	completed	NA
KCNK1	IU_PDA_T8	completed	NA
KCNK1	IU_PDA_T9	completed	NA
KCNK15	IU_PDA_T1	completed	NA
KCNK15	IU_PDA_T10	completed	NA
KCNK15	IU_PDA_T11	completed	NA
KCNK15	IU_PDA_T12	completed	NA
KCNK15	IU_PDA_T2	completed	NA
KCNK15	IU_PDA_T3	completed	NA
KCNK15	IU_PDA_T4	completed	NA
KCNK15	IU_PDA_T6	completed	NA
KCNK15	IU_PDA_T8	completed	NA
KCNK15	IU_PDA_T9	completed	NA
KCNK17	IU_PDA_T1	completed	NA
KCNK17	IU_PDA_T10	completed	NA
KCNK17	IU_PDA_T11	completed	NA
KCNK17	IU_PDA_T12	completed	NA
KCNK17	IU_PDA_T2	completed	NA
KCNK17	IU_PDA_T3	completed	NA
KCNK17	IU_PDA_T4	completed	NA
KCNK17	IU_PDA_T6	completed	NA
KCNK17	IU_PDA_T8	completed	NA
KCNK17	IU_PDA_T9	completed	NA
KCNK3	IU_PDA_T1	completed	NA
KCNK3	IU_PDA_T10	completed	NA
KCNK3	IU_PDA_T11	completed	NA
KCNK3	IU_PDA_T12	completed	NA
KCNK3	IU_PDA_T2	completed	NA
KCNK3	IU_PDA_T3	completed	NA
KCNK3	IU_PDA_T4	completed	NA
KCNK3	IU_PDA_T6	completed	NA
KCNK3	IU_PDA_T8	completed	NA
KCNK3	IU_PDA_T9	completed	NA
KCNK6	IU_PDA_T1	completed	NA
KCNK6	IU_PDA_T10	completed	NA
KCNK6	IU_PDA_T11	completed	NA
KCNK6	IU_PDA_T12	completed	NA
KCNK6	IU_PDA_T2	completed	NA
KCNK6	IU_PDA_T3	completed	NA
KCNK6	IU_PDA_T4	completed	NA
KCNK6	IU_PDA_T6	completed	NA
KCNK6	IU_PDA_T8	completed	NA
KCNK6	IU_PDA_T9	completed	NA
KCNMA1	IU_PDA_T1	completed	NA
KCNMA1	IU_PDA_T10	completed	NA
KCNMA1	IU_PDA_T11	completed	NA
KCNMA1	IU_PDA_T12	completed	NA
KCNMA1	IU_PDA_T2	completed	NA
KCNMA1	IU_PDA_T3	completed	NA
KCNMA1	IU_PDA_T4	completed	NA
KCNMA1	IU_PDA_T6	completed	NA
KCNMA1	IU_PDA_T8	completed	NA
KCNMA1	IU_PDA_T9	completed	NA
KCNMB1	IU_PDA_T1	completed	NA
KCNMB1	IU_PDA_T10	completed	NA
KCNMB1	IU_PDA_T11	completed	NA
KCNMB1	IU_PDA_T12	completed	NA
KCNMB1	IU_PDA_T2	completed	NA
KCNMB1	IU_PDA_T3	completed	NA
KCNMB1	IU_PDA_T4	completed	NA
KCNMB1	IU_PDA_T6	completed	NA
KCNMB1	IU_PDA_T8	completed	NA
KCNMB1	IU_PDA_T9	completed	NA
KCNMB4	IU_PDA_T1	completed	NA
KCNMB4	IU_PDA_T10	completed	NA
KCNMB4	IU_PDA_T11	completed	NA
KCNMB4	IU_PDA_T12	completed	NA
KCNMB4	IU_PDA_T2	completed	NA
KCNMB4	IU_PDA_T3	completed	NA
KCNMB4	IU_PDA_T4	completed	NA
KCNMB4	IU_PDA_T6	completed	NA
KCNMB4	IU_PDA_T8	completed	NA
KCNMB4	IU_PDA_T9	completed	NA
KCNN3	IU_PDA_T1	completed	NA
KCNN3	IU_PDA_T10	completed	NA
KCNN3	IU_PDA_T11	completed	NA
