target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCNA5	intra	Fibroblasts	Fibroblasts	2.11331176844199	8
KCNA5	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.58765811342626	8
KCNA5	intra	TAM	TAM	1.33993088575074	8
KCNA5	intra	B_cells	B cells	1.30987447285329	7
KCNA5	intra	PVL	PVL	0.614287718290131	8
KCNA5	juxta_ct	Fibroblasts	Fibroblasts	2.03689223299125	8
KCNA5	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.76171246221212	8
KCNA5	juxta_ct	TAM	TAM	1.70466193121449	8
KCNA5	juxta_ct	B_cells	B cells	1.55942084785615	7
KCNA5	juxta_ct	Endothelial_cells	Endothelial cells	0.729603958104869	8
KCNA5	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.97499993365327	3
KCNA5	para_ct	Endothelial_cells	Endothelial cells	1.32233211807482	8
KCNA5	para_ct	T_NK_cells	T-NK cells	1.26142104142011	6
KCNA5	para_ct	B_cells	B cells	1.22967926282625	7
KCNA5	para_ct	Monocytes	Monocytes	1.17533491773559	8
KCNAB1	intra	Fibroblasts	Fibroblasts	3.73454935572966	9
KCNAB1	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	2.57655708725676	9
KCNAB1	intra	TAM	TAM	2.31946994205363	9
KCNAB1	intra	B_cells	B cells	1.84504051270771	8
KCNAB1	intra	Monocytes	Monocytes	0.683713154493087	9
KCNAB1	juxta_ct	Fibroblasts	Fibroblasts	4.01773268311209	9
KCNAB1	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	3.3689633858946	9
KCNAB1	juxta_ct	TAM	TAM	3.35977670674767	9
KCNAB1	juxta_ct	B_cells	B cells	2.30046927859126	8
KCNAB1	juxta_ct	Monocytes	Monocytes	1.12410656382367	9
KCNAB1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	4.67067109001264	3
KCNAB1	para_ct	PVL	PVL	2.49394787592407	9
KCNAB1	para_ct	T_NK_cells	T-NK cells	2.45954670993719	6
KCNAB1	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	2.45201094371111	9
KCNAB1	para_ct	TAM	TAM	2.40767674909642	9
KCNAB2	intra	Fibroblasts	Fibroblasts	20.229281229457	10
KCNAB2	intra	TAM	TAM	16.5234670618385	10
KCNAB2	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	14.6527011866878	10
KCNAB2	intra	B_cells	B cells	11.9616785823644	9
KCNAB2	intra	Monocytes	Monocytes	4.45954253810175	10
