sample	view	Predictor	Target	Importance	Predictor_original
IU_PDA_T1	intra	Fibroblasts	KCNMA1	18.4845958612992	Fibroblasts
IU_PDA_T1	intra	Monocytes	KCNMA1	4.01756028413894	Monocytes
IU_PDA_T1	intra	B_cells	KCNMA1	7.64613435533107	B cells
IU_PDA_T1	intra	TAM	KCNMA1	13.4116331128024	TAM
IU_PDA_T1	intra	Hepatocytes	KCNMA1	0.021409731654487	Hepatocytes
IU_PDA_T1	intra	Endothelial_cells	KCNMA1	0.567704958600457	Endothelial cells
IU_PDA_T1	intra	PVL	KCNMA1	1.3593336025937	PVL
IU_PDA_T1	intra	T_NK_cells	KCNMA1	0.0406476512415718	T-NK cells
IU_PDA_T1	intra	Tumor_Epithelial_cells	KCNMA1	7.81971529251813	Tumor Epithelial cells
IU_PDA_T1	juxta_ct	Fibroblasts	KCNMA1	34.8521806956635	Fibroblasts
IU_PDA_T1	juxta_ct	Monocytes	KCNMA1	14.993780641685	Monocytes
IU_PDA_T1	juxta_ct	B_cells	KCNMA1	19.4368310770445	B cells
IU_PDA_T1	juxta_ct	TAM	KCNMA1	27.2414377709058	TAM
IU_PDA_T1	juxta_ct	Hepatocytes	KCNMA1	0.632238973401032	Hepatocytes
IU_PDA_T1	juxta_ct	Endothelial_cells	KCNMA1	2.68997686474251	Endothelial cells
IU_PDA_T1	juxta_ct	PVL	KCNMA1	0.861170371621129	PVL
IU_PDA_T1	juxta_ct	T_NK_cells	KCNMA1	0.739497049919013	T-NK cells
IU_PDA_T1	juxta_ct	Tumor_Epithelial_cells	KCNMA1	18.2624523324409	Tumor Epithelial cells
IU_PDA_T1	para_ct	Fibroblasts	KCNMA1	19.4488280465029	Fibroblasts
IU_PDA_T1	para_ct	Monocytes	KCNMA1	18.885169635394	Monocytes
IU_PDA_T1	para_ct	B_cells	KCNMA1	20.2095485891436	B cells
IU_PDA_T1	para_ct	TAM	KCNMA1	19.9556069520741	TAM
IU_PDA_T1	para_ct	Hepatocytes	KCNMA1	19.7133331030068	Hepatocytes
IU_PDA_T1	para_ct	Endothelial_cells	KCNMA1	21.4850732420578	Endothelial cells
IU_PDA_T1	para_ct	PVL	KCNMA1	19.2229217054293	PVL
IU_PDA_T1	para_ct	T_NK_cells	KCNMA1	20.0290516440067	T-NK cells
IU_PDA_T1	para_ct	Tumor_Epithelial_cells	KCNMA1	19.1241699385066	Tumor Epithelial cells
IU_PDA_T10	intra	Fibroblasts	KCNMA1	9.28467018365168	Fibroblasts
IU_PDA_T10	intra	Monocytes	KCNMA1	2.06145020129868	Monocytes
IU_PDA_T10	intra	B_cells	KCNMA1	5.71817477106013	B cells
IU_PDA_T10	intra	TAM	KCNMA1	5.35823549136732	TAM
IU_PDA_T10	intra	Endothelial_cells	KCNMA1	0.0127241966468788	Endothelial cells
IU_PDA_T10	intra	PVL	KCNMA1	0.210447456966478	PVL
IU_PDA_T10	intra	T_NK_cells	KCNMA1	0.999810873334607	T-NK cells
IU_PDA_T10	intra	Tumor_Epithelial_cells	KCNMA1	9.02004595264245	Tumor Epithelial cells
IU_PDA_T10	juxta_ct	Fibroblasts	KCNMA1	12.8584440130073	Fibroblasts
IU_PDA_T10	juxta_ct	Monocytes	KCNMA1	5.98277043789435	Monocytes
IU_PDA_T10	juxta_ct	B_cells	KCNMA1	9.24437345366172	B cells
IU_PDA_T10	juxta_ct	TAM	KCNMA1	12.1741152410377	TAM
IU_PDA_T10	juxta_ct	Endothelial_cells	KCNMA1	0.887352753861806	Endothelial cells
IU_PDA_T10	juxta_ct	PVL	KCNMA1	1.42933545224008	PVL
IU_PDA_T10	juxta_ct	T_NK_cells	KCNMA1	1.16990687817605	T-NK cells
IU_PDA_T10	juxta_ct	Tumor_Epithelial_cells	KCNMA1	11.323052591856	Tumor Epithelial cells
IU_PDA_T10	para_ct	Fibroblasts	KCNMA1	9.15956009085328	Fibroblasts
