sample	target	measure	value
IU_PDA_T1	KCNMA1	intra.RMSE	0.238912228706689
IU_PDA_T1	KCNMA1	intra.R2	0.0414640875523453
IU_PDA_T1	KCNMA1	multi.RMSE	0.238450847018077
IU_PDA_T1	KCNMA1	multi.R2	0.298567431398207
IU_PDA_T1	KCNMA1	p.RMSE	0.480130210656944
IU_PDA_T1	KCNMA1	p.R2	0.141623655738955
IU_PDA_T1	KCNMA1	gain.RMSE	-0.000461381688611984
IU_PDA_T1	KCNMA1	gain.R2	0.257103343845862
IU_PDA_T10	KCNMA1	intra.RMSE	0.168644375548154
IU_PDA_T10	KCNMA1	intra.R2	0
IU_PDA_T10	KCNMA1	multi.RMSE	0.168609304420703
IU_PDA_T10	KCNMA1	multi.R2	0.0387634969987838
IU_PDA_T10	KCNMA1	p.RMSE	0.498988888459223
IU_PDA_T10	KCNMA1	p.R2	0.183881943145272
IU_PDA_T10	KCNMA1	gain.RMSE	-3.50711274510196e-05
IU_PDA_T10	KCNMA1	gain.R2	0.0387634969987838
IU_PDA_T11	KCNMA1	intra.RMSE	0.4518684362348
IU_PDA_T11	KCNMA1	intra.R2	6.1201018296841
IU_PDA_T11	KCNMA1	multi.RMSE	0.441045321127668
IU_PDA_T11	KCNMA1	multi.R2	10.5441143094751
IU_PDA_T11	KCNMA1	p.RMSE	0.0956646831119226
IU_PDA_T11	KCNMA1	p.R2	0.0555022108334156
IU_PDA_T11	KCNMA1	gain.RMSE	-0.010823115107132
IU_PDA_T11	KCNMA1	gain.R2	4.424012479791
IU_PDA_T12	KCNMA1	intra.RMSE	0.451722062364926
IU_PDA_T12	KCNMA1	intra.R2	2.35804557853704
IU_PDA_T12	KCNMA1	multi.RMSE	0.445738351511434
IU_PDA_T12	KCNMA1	multi.R2	4.92492017562234
IU_PDA_T12	KCNMA1	p.RMSE	0.220427120502518
IU_PDA_T12	KCNMA1	p.R2	0.00187860666934704
IU_PDA_T12	KCNMA1	gain.RMSE	-0.00598371085349203
IU_PDA_T12	KCNMA1	gain.R2	2.5668745970853
IU_PDA_T2	KCNMA1	intra.RMSE	0.216380966706581
IU_PDA_T2	KCNMA1	intra.R2	0.137722510773401
IU_PDA_T2	KCNMA1	multi.RMSE	0.216402723366059
IU_PDA_T2	KCNMA1	multi.R2	0.138042171941142
IU_PDA_T2	KCNMA1	p.RMSE	0.500689605448661
IU_PDA_T2	KCNMA1	p.R2	0.499170227309363
IU_PDA_T2	KCNMA1	gain.RMSE	2.17566594780116e-05
IU_PDA_T2	KCNMA1	gain.R2	0.000319661167740987
IU_PDA_T3	KCNMA1	intra.RMSE	0.283576931332118
IU_PDA_T3	KCNMA1	intra.R2	0.922371325190974
IU_PDA_T3	KCNMA1	multi.RMSE	0.283392598223609
IU_PDA_T3	KCNMA1	multi.R2	1.01666376611194
IU_PDA_T3	KCNMA1	p.RMSE	0.49218264332168
IU_PDA_T3	KCNMA1	p.R2	0.426997918986434
IU_PDA_T3	KCNMA1	gain.RMSE	-0.000184333108508961
IU_PDA_T3	KCNMA1	gain.R2	0.094292440920966
IU_PDA_T4	KCNMA1	intra.RMSE	0.142046072017044
IU_PDA_T4	KCNMA1	intra.R2	0.82044520159432
IU_PDA_T4	KCNMA1	multi.RMSE	0.140933099920969
IU_PDA_T4	KCNMA1	multi.R2	2.11689729163111
IU_PDA_T4	KCNMA1	p.RMSE	0.448933357442882
IU_PDA_T4	KCNMA1	p.R2	0.0872852629956819
IU_PDA_T4	KCNMA1	gain.RMSE	-0.001112972096075
IU_PDA_T4	KCNMA1	gain.R2	1.29645209003679
IU_PDA_T6	KCNMA1	intra.RMSE	0.222165035530302
IU_PDA_T6	KCNMA1	intra.R2	1.77720814445791
IU_PDA_T6	KCNMA1	multi.RMSE	0.220657193002564
IU_PDA_T6	KCNMA1	multi.R2	3.11614049277882
IU_PDA_T6	KCNMA1	p.RMSE	0.282801776876566
IU_PDA_T6	KCNMA1	p.R2	0.0356297692591344
IU_PDA_T6	KCNMA1	gain.RMSE	-0.001507842527738
IU_PDA_T6	KCNMA1	gain.R2	1.33893234832091
IU_PDA_T8	KCNMA1	intra.RMSE	0.172659258542877
IU_PDA_T8	KCNMA1	intra.R2	0.450351142889904
IU_PDA_T8	KCNMA1	multi.RMSE	0.172558196136653
IU_PDA_T8	KCNMA1	multi.R2	0.429373782051641
IU_PDA_T8	KCNMA1	p.RMSE	0.493678238244054
IU_PDA_T8	KCNMA1	p.R2	0.540273265879014
IU_PDA_T8	KCNMA1	gain.RMSE	-0.000101062406224012
IU_PDA_T8	KCNMA1	gain.R2	-0.020977360838263
IU_PDA_T9	KCNMA1	intra.RMSE	0.357948737807979
IU_PDA_T9	KCNMA1	intra.R2	1.34695217968978
IU_PDA_T9	KCNMA1	multi.RMSE	0.356196898338116
IU_PDA_T9	KCNMA1	multi.R2	2.31130075727364
IU_PDA_T9	KCNMA1	p.RMSE	0.266276380188983
IU_PDA_T9	KCNMA1	p.R2	0.0289635343511841
IU_PDA_T9	KCNMA1	gain.RMSE	-0.00175183946986296
IU_PDA_T9	KCNMA1	gain.R2	0.96434857758386
