orig.ident	n_spots	n_positive_spots	mean_kcnma1	sd_kcnma1	n_predictors_used	predictors_removed
IU_PDA_T1	3530	339	0.0757659479715623	0.239288029078905	9	Normal Epithelial cells
IU_PDA_T10	2714	144	0.0394229119052773	0.169594953074766	8	Hepatocytes; Normal Epithelial cells
IU_PDA_T11	2777	1025	0.333357137163626	0.466707655414005	7	Hepatocytes; Normal Epithelial cells; T-NK cells
IU_PDA_T12	3642	1388	0.334629104860647	0.457631388349876	9	Hepatocytes
IU_PDA_T2	4118	381	0.0682372091544987	0.217287293769945	10	
IU_PDA_T3	4354	664	0.117399473441526	0.285369759626483	8	Hepatocytes; Normal Epithelial cells
IU_PDA_T4	3621	139	0.0281431059308728	0.143047265239941	9	Normal Epithelial cells
IU_PDA_T6	3397	320	0.0705895250317162	0.224249563044643	7	B cells; Hepatocytes; T-NK cells
IU_PDA_T8	3779	208	0.0409861353278847	0.173081366548034	8	Normal Epithelial cells; T-NK cells
IU_PDA_T9	3526	904	0.203275980033292	0.360614740698649	8	Hepatocytes; Normal Epithelial cells
