gene	n_sections_tested	n_sections_fdr_lt_0_05	n_sections_auc_gt_0_60	median_log2fc	max_log2fc	median_auc	max_auc	median_pct_positive_icaf	median_pct_positive_other	min_fdr	top_section	top_section_fdr
C7	8	6	7	2.0712861750787175	3.4439027293587814	0.776799905660981	0.9384449174406605	0.8180603283696066	0.4060142588318466	5.0480538103910296e-139	IU_PDA_T3	5.0480538103910296e-139
IGKC	8	6	5	0.6313521741817891	2.044624936824041	0.667012739071543	0.8451335139318885	1.0	0.967981975899225	2.4708062625951168e-12	IU_PDA_T12	2.4708062625951168e-12
KRT8	8	6	0	-1.115093887339631	-0.4217290064606739	0.31231522941066986	0.430623744313327	0.6398623279098874	0.8353523243427331	2.9222122162616354e-100	IU_PDA_T3	2.9222122162616354e-100
FN1	8	6	1	-1.2017679645282624	0.5632218898958905	0.24655480038956007	0.7882630492480094	0.8571622354856212	0.9599324579785615	1.5501895787417379e-145	IU_PDA_T3	1.5501895787417379e-145
LYVE1	8	5	3	2.2954049406316512	4.031949814060188	0.5507079210123025	0.6522496516792524	0.1429171332586786	0.03364410451119225	5.0924485142165494e-73	IU_PDA_T3	5.0924485142165494e-73
GPX3	8	5	2	1.9502237661205057	3.7114496617650787	0.5872697328359805	0.6951229841441929	0.28832658569500674	0.12337522295018277	2.5175713886918922e-31	IU_PDA_T3	2.5175713886918922e-31
OGN	8	5	4	1.8559845825663053	3.3081450905364655	0.5967622335876639	0.7656232675036035	0.3122374952271859	0.09281038988882626	3.3693162953791107e-38	IU_PDA_T3	3.3693162953791107e-38
SFRP1	8	5	0	1.4196505692008388	4.064891915136633	0.5339718450047748	0.567476987241858	0.09358974358974359	0.027652602621703357	2.662209969143486e-14	IU_PDA_T3	2.662209969143486e-14
EFEMP1	8	5	4	1.1616637732391402	2.780790822302703	0.5771485618377722	0.8243635112552836	0.23381262434436606	0.12585711200084934	2.4790183116961816e-18	IU_PDA_T9	2.4790183116961816e-18
IGFBP4	8	5	7	0.9863150416813149	2.2079464759072365	0.7172696584362038	0.7551212593477805	0.779495990836197	0.631708694935707	6.516122169412614e-70	IU_PDA_T3	6.516122169412614e-70
C3	8	5	7	0.970169794167268	2.3287517993919358	0.7171857715377021	0.8194559268410965	0.7981481481481482	0.6975765442815092	3.0403200931388434e-96	IU_PDA_T3	3.0403200931388434e-96
FBLN1	8	5	7	0.9043259699624244	2.0933273262238252	0.670143955301933	0.7725842917526786	0.7185948835433371	0.5092945127544346	3.4491511058879884e-32	IU_PDA_T12	3.4491511058879884e-32
DCN	8	5	7	0.653700506901419	1.8537209221069757	0.6893818745758336	0.8706686123640223	0.9871134020618557	0.9295505100051193	7.960245262455539e-40	IU_PDA_T3	7.960245262455539e-40
ACTA2	8	5	2	-0.46805143223646234	0.8397622507402982	0.37872753224490474	0.8152953897572004	0.8272241313478428	0.9157454348592873	3.8996714040566494e-16	IU_PDA_T12	3.8996714040566494e-16
PPDPF	8	5	0	-0.5155968079091089	-0.21800658686118962	0.3269653100091701	0.42845650598815155	0.6860643877735576	0.849351549884966	1.3273880420166758e-15	IU_PDA_T3	1.3273880420166758e-15
COL1A1	8	5	1	-0.6393443855108141	0.7628638992160801	0.3370633274872341	0.7788754546348177	0.9847269950362734	0.9959399313623452	6.455312026384481e-97	IU_PDA_T3	6.455312026384481e-97
S100A6	8	5	0	-0.717350761835083	-0.43643156818570755	0.2271068835191155	0.3878713293270255	0.9852941176470589	0.9894150357144715	3.038102499222313e-99	IU_PDA_T3	3.038102499222313e-99
ANXA2	8	5	0	-0.8090238393780181	-0.27372932293168184	0.32909910266482345	0.445597856199122	0.5863879343260787	0.817200274550616	1.1886355612481552e-59	IU_PDA_T3	1.1886355612481552e-59
S100A11	8	5	0	-0.8424352994414765	-0.15031310599922942	0.2992434288908986	0.46012204828867076	0.5638451799602098	0.8271124622866972	8.984215965001758e-105	IU_PDA_T3	8.984215965001758e-105
KRT18	8	5	0	-0.8861126650491292	0.44574414183949157	0.3658640688471864	0.5291456619793049	0.5195681511470984	0.7244394074995149	1.4526786815402217e-63	IU_PDA_T3	1.4526786815402217e-63
JUP	8	5	0	-0.9351555095932245	0.3289465185948493	0.41235657348437277	0.5607490415806546	0.16356275303643725	0.4872941805361045	2.0095083166270285e-73	IU_PDA_T3	2.0095083166270285e-73
IGFBP3	8	5	1	-1.0777386114332472	0.7612004468354365	0.3169568969169778	0.7273174088272879	0.42820512820512824	0.6784897027689627	3.0122718876519485e-115	IU_PDA_T3	3.0122718876519485e-115
INHBA	8	5	1	-1.243449619313998	0.6185253407344169	0.3220325720472776	0.7543005996264622	0.28888888888888886	0.6643860426118766	4.1089119941920767e-103	IU_PDA_T3	4.1089119941920767e-103
KRT7	8	5	0	-1.3759801491518182	-0.22156066260882534	0.26620514062342165	0.49842720927946527	0.4105263157894737	0.7202197551475943	1.9308363725125712e-84	IU_PDA_T3	1.9308363725125712e-84
MUC1	8	5	0	-1.3774294509716936	-0.7107027268228384	0.27502204397527363	0.43663161147338364	0.358974358974359	0.6425085251491901	8.11623416989735e-76	IU_PDA_T3	8.11623416989735e-76
POSTN	8	5	1	-1.4626901636631011	0.7889797850374544	0.35050803317488965	0.7660473803204562	0.28157894736842104	0.6987361741454312	2.618670003808388e-108	IU_PDA_T3	2.618670003808388e-108
MMP7	8	5	0	-1.6173851664980035	-0.24245030868170192	0.3638532049610841	0.47316425833087583	0.16032388663967612	0.4244141763497439	6.857989287473063e-51	IU_PDA_T3	6.857989287473063e-51
FXYD3	8	5	0	-1.7001256504962776	-0.6655741102955475	0.34099525575618383	0.4674061287985339	0.12461300309597523	0.5071239771450278	1.1052229947242853e-76	IU_PDA_T3	1.1052229947242853e-76
C19orf33	8	5	0	-1.8479024744214092	-0.5898265952452478	0.27842905445272914	0.45969451902996206	0.21842105263157896	0.6928251208586791	5.123784865162339e-61	IU_PDA_T3	5.123784865162339e-61
MMP11	8	5	0	-2.018281899792094	-0.08189136910446908	0.36031261373461987	0.5732822176349159	0.1094017094017094	0.424095326596434	1.4446725247548475e-49	IU_PDA_T3	1.4446725247548475e-49
CCL19	8	4	2	1.951570377293714	3.4892090912917006	0.5822801447878438	0.7423285059567076	0.18859649122807015	0.039615143499991415	1.1640340452345847e-38	IU_PDA_T12	1.1640340452345847e-38
PTGDS	8	4	7	1.7866345402852897	2.7143465919316174	0.6448952085320171	0.8261552317391405	0.5876288659793815	0.36981839182148823	6.4508052533183e-92	IU_PDA_T3	6.4508052533183e-92
COL14A1	8	4	3	1.6949579399701755	3.4048373899368114	0.5687029415326976	0.7300208515566288	0.3099415204678363	0.1214744334466539	1.3372527444337472e-26	IU_PDA_T12	1.3372527444337472e-26
ADAMTS15	8	4	0	1.6906880549809884	3.204958743484352	0.5173821725015034	0.5585090983010755	0.05250656963816454	0.011708004097161252	2.188191234197075e-09	IU_PDA_T3	2.188191234197075e-09
ABCC9	8	4	2	1.563322714156354	2.7922128744364705	0.536203697276763	0.7019315836036567	0.13365888949177065	0.06867579481421413	2.002830133883952e-13	IU_PDA_T12	2.002830133883952e-13
LILRB5	8	4	0	1.4884775694187868	4.380079944223352	0.5262373914693574	0.559610423116615	0.08490937746256895	0.02362319481539147	1.4387187269524366e-10	IU_PDA_T3	1.4387187269524366e-10
RASD1	8	4	6	1.480587053145522	3.9939143349609587	0.6264474339347009	0.7454850361197111	0.38781079442086114	0.1195529704419081	5.694611657291387e-43	IU_PDA_T3	5.694611657291387e-43
MFAP4	8	4	3	1.4631934727053117	2.8796824629483573	0.5908424875443293	0.8121006586061142	0.3920389461626575	0.23088483796518167	2.0887010917834856e-36	IU_PDA_T3	2.0887010917834856e-36
LIFR	8	4	1	1.4517597154502528	2.4240777646297085	0.5513532516756128	0.6301484321242504	0.17159244264507423	0.0741257174208037	9.011151479420642e-15	IU_PDA_T3	9.011151479420642e-15
ABI3BP	8	4	1	1.4389008521785924	3.059739885213006	0.5559484174170435	0.6613054244847171	0.18333333333333335	0.06538829283151695	4.3527776876835745e-19	IU_PDA_T12	4.3527776876835745e-19
MT1X	8	4	4	1.426427987541794	2.4465891791024554	0.5974782799527265	0.717234258152743	0.30526315789473685	0.20982587064676617	2.2800064812992206e-22	IU_PDA_T9	2.2800064812992206e-22
