gene	n_sections_tested	n_sections_fdr_lt_0_05	n_sections_auc_gt_0_60	median_log2fc	max_log2fc	median_auc	max_auc	median_pct_positive_icaf	median_pct_positive_other	min_fdr	top_section	top_section_fdr
KCND3	8	3	0	0.5037697078367231	1.9600274007286507	0.5164804119267872	0.5614568659600182	0.05799220272904483	0.02617600830783912	1.9901004004791482e-08	IU_PDA_T3	1.9901004004791482e-08
KCNK1	8	2	0	-0.31883998703757876	0.6381469726940445	0.46577093809466574	0.537329204757692	0.08049932523616735	0.15462393912788996	6.395842762363853e-07	IU_PDA_T3	6.395842762363853e-07
KCNJ15	8	2	0	-0.9920897414220426	2.6004535914704	0.4821829611992907	0.5203725013851596	0.042483660130718956	0.072948120948715	1.1069140170969119e-06	IU_PDA_T12	1.1069140170969119e-06
KCNN4	8	2	0	-1.7788403970130178	1.4355538912161248	0.4601533207862301	0.5112304479393087	0.023116574147501984	0.11636429692095569	1.1028011097992071e-07	IU_PDA_T3	1.1028011097992071e-07
KCNK3	8	1	0	0.24525031905500913	1.4208866535731874	0.5041980648896075	0.5773086552021952	0.022417153996101363	0.013165467670483464	2.118502712632939e-25	IU_PDA_T3	2.118502712632939e-25
KCNAB2	8	1	0	0.14941551047738932	1.552906752999526	0.5014377439250846	0.5196106635980053	0.08049932523616735	0.08559245940747456	0.013189028058848109	IU_PDA_T3	0.013189028058848109
KCNB1	8	1	0	0.0	5.039061659414912	0.5	0.5048904388640479	0.0	0.0017375006440753654	2.8193762842138525e-06	IU_PDA_T3	2.8193762842138525e-06
KCNK17	8	1	0	-0.7917474493041361	1.6813911898461336	0.4983004422549281	0.5338198696546711	0.008577848268569919	0.00840354145958982	0.031187906863060433	IU_PDA_T12	0.031187906863060433
KCNS3	8	1	0	-1.1013523999388894	0.2671640369796354	0.4765646736059886	0.5244361899708145	0.05854700854700855	0.11261577991380672	4.6241819515671225e-15	IU_PDA_T3	4.6241819515671225e-15
KCNN3	8	1	0	-7.873355166574653	1.7075738659182411	0.49774424228464115	0.5663766833775681	0.011168384879725086	0.019908279387790634	0.034549766814651904	IU_PDA_T12	0.034549766814651904
KCNJ16	8	1	0	-14.265541637932115	4.384063282080021	0.4972587277271628	0.5023131192764191	0.0	0.005482544545674433	0.007760664217403069	IU_PDA_T3	0.007760664217403069
KCNJ8	8	0	0	0.44821187123518436	2.5603053155433457	0.511053439772128	0.5417577831438111	0.11145510835913312	0.08342273414919855	0.0512111206704787	IU_PDA_T12	0.0512111206704787
KCNA5	8	0	0	0.4273495999820238	3.8583210605784592	0.5006265647035673	0.5137785338015803	0.002577319587628866	0.002652598904279402	0.06266460311103178	IU_PDA_T10	0.06266460311103178
KCNE4	8	0	1	0.3410377149990402	1.369908144063552	0.5211989958980906	0.6039024869753269	0.08947368421052632	0.08447396295396886	0.08789250419992685	IU_PDA_T3	0.08789250419992685
KCNMA1	8	0	0	0.15343372287618506	2.642087056153384	0.5118695522284658	0.5676572035022552	0.16228070175438597	0.11141073805816917	0.3433581045488112	IU_PDA_T3	0.3433581045488112
KCNC4	8	0	0	0.08360375093963211	1.3883230210302777	0.4961355154543276	0.5216503051207216	0.0332244008714597	0.04813849489908606	0.06950885514951628	IU_PDA_T3	0.06950885514951628
KCNK6	8	0	1	-0.06124915209409024	1.8574496241482632	0.48951944952451415	0.6031160916150595	0.08734249713631156	0.0854850238080386	0.15723057996750922	IU_PDA_T12	0.15723057996750922
KCNMB1	8	0	0	-0.44057252739654673	0.7611754027860123	0.49302515348574083	0.5039344685242518	0.03167641325536062	0.04116240138809188	0.27626051887922487	IU_PDA_T12	0.27626051887922487
KCNMB4	8	0	0	-7.825794462166898	0.6343288267809278	0.4930765712430155	0.5070195290549538	0.013157894736842105	0.04538896779500295	0.6406053034839025	IU_PDA_T3	0.6406053034839025
KCNAB1	8	0	0	-12.912329098531258	0.8594073354804551	0.49867821602614265	0.5021787415319245	0.0	0.004939518225105525	0.28069744723632517	IU_PDA_T3	0.28069744723632517
KCNT2	8	0	0	-13.463445973189842	-0.264158241153953	0.4984814801891819	0.49959652083923667	0.0	0.004716332672628616	0.5274231914813792	IU_PDA_T3	0.5274231914813792
KCNK15	8	0	0	-13.515235946939102	0.5599350514541728	0.4983697330503334	0.49926470588235294	0.0	0.006092305658737236	0.8340242801063542	IU_PDA_T12	0.8340242801063542
KCNQ4	8	0	0	-15.470953247695565	0.0037299425611305873	0.49518885805185137	0.5008898536667975	0.0	0.014365916037677002	0.3753471881714906	IU_PDA_T12	0.3753471881714906
KCND2	8	0	1	-16.331164782829994	0.9934350147599819	0.49099164453589256	0.6240538680821783	0.0	0.021454098751478974	0.3249794261115531	IU_PDA_T12	0.3249794261115531
