gene	Origin	first_type	n_spots	n_positive	pct_detected	mean_expression_all_spots	mean_positive_expression	median_positive_expression	mean_positive_expression_plot
KCNA5	Normal Pancreas	myCAF	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	Normal Epithelial cells	9707	58	0.59750695374472	0.00638714329865046	1.06896551724138	1	1.06896551724138
KCNA5	Normal Pancreas	Tumor Epithelial cells	3	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	iCAF	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	B cells	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	DCs	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	SPP1-TAM	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	PVL	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	Hepatocytes	108	1	0.925925925925926	0.00925925925925926	1	1	1
KCNA5	Normal Pancreas	C1Q-TAM	1	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	CD4+ cells	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	FCN1-TAM	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	CD8-NK cells	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	Proliferative T cells	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNA5	Pancreas	myCAF	21770	128	0.587965089572807	0.00610932475884244	1.0390625	1	1.0390625
KCNA5	Pancreas	Normal Epithelial cells	3002	18	0.599600266489007	0.00599600266489007	1	1	1
KCNA5	Pancreas	Tumor Epithelial cells	8260	13	0.157384987893462	0.00157384987893462	1	1	1
KCNA5	Pancreas	iCAF	1113	12	1.07816711590296	0.0107816711590297	1	1	1
KCNA5	Pancreas	B cells	474	3	0.632911392405063	0.00632911392405063	1	1	1
KCNA5	Pancreas	DCs	226	0	0	0	NA	NA	0
KCNA5	Pancreas	SPP1-TAM	196	0	0	0	NA	NA	0
KCNA5	Pancreas	PVL	143	5	3.4965034965035	0.034965034965035	1	1	1
KCNA5	Pancreas	Hepatocytes	0	0	0	0	NA	NA	0
KCNA5	Pancreas	C1Q-TAM	102	0	0	0	NA	NA	0
KCNA5	Pancreas	CD4+ cells	89	0	0	0	NA	NA	0
KCNA5	Pancreas	FCN1-TAM	71	1	1.40845070422535	0.0140845070422535	1	1	1
KCNA5	Pancreas	CD8-NK cells	7	0	0	0	NA	NA	0
KCNA5	Pancreas	Proliferative T cells	4	0	0	0	NA	NA	0
KCNA5	Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	myCAF	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	Normal Epithelial cells	9707	213	2.19429277840733	0.0222519831049758	1.01408450704225	1	1.01408450704225
KCNAB1	Normal Pancreas	Tumor Epithelial cells	3	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	iCAF	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	B cells	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	DCs	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	SPP1-TAM	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	PVL	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	Hepatocytes	108	5	4.62962962962963	0.0462962962962963	1	1	1
KCNAB1	Normal Pancreas	C1Q-TAM	1	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CD4+ cells	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	FCN1-TAM	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CD8-NK cells	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	Proliferative T cells	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNAB1	Pancreas	myCAF	21770	282	1.29536058796509	0.0135048231511254	1.04255319148936	1	1.04255319148936
KCNAB1	Pancreas	Normal Epithelial cells	3002	32	1.06595602931379	0.0106595602931379	1	1	1
KCNAB1	Pancreas	Tumor Epithelial cells	8260	30	0.36319612590799	0.0036319612590799	1	1	1
KCNAB1	Pancreas	iCAF	1113	15	1.34770889487871	0.0143755615453729	1.06666666666667	1	1.06666666666667
KCNAB1	Pancreas	B cells	474	1	0.210970464135021	0.00210970464135021	1	1	1
KCNAB1	Pancreas	DCs	226	1	0.442477876106195	0.00442477876106195	1	1	1
KCNAB1	Pancreas	SPP1-TAM	196	1	0.510204081632653	0.00510204081632653	1	1	1
KCNAB1	Pancreas	PVL	143	11	7.69230769230769	0.0909090909090909	1.18181818181818	1	1.18181818181818
KCNAB1	Pancreas	Hepatocytes	0	0	0	0	NA	NA	0
KCNAB1	Pancreas	C1Q-TAM	102	1	0.980392156862745	0.00980392156862745	1	1	1
KCNAB1	Pancreas	CD4+ cells	89	0	0	0	NA	NA	0
KCNAB1	Pancreas	FCN1-TAM	71	0	0	0	NA	NA	0
KCNAB1	Pancreas	CD8-NK cells	7	0	0	0	NA	NA	0
KCNAB1	Pancreas	Proliferative T cells	4	0	0	0	NA	NA	0
KCNAB1	Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	myCAF	0	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	Normal Epithelial cells	9707	262	2.69908313588132	0.0274029051200165	1.01526717557252	1	1.01526717557252
KCNAB2	Normal Pancreas	Tumor Epithelial cells	3	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	iCAF	0	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	B cells	0	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	DCs	0	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	SPP1-TAM	0	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	PVL	0	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	Hepatocytes	108	5	4.62962962962963	0.0462962962962963	1	1	1
KCNAB2	Normal Pancreas	C1Q-TAM	1	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	CD4+ cells	0	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	FCN1-TAM	0	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	CD8-NK cells	0	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	Proliferative T cells	0	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNAB2	Pancreas	myCAF	21770	2553	11.7271474506201	0.142351860358291	1.213866039953	1	1.213866039953
KCNAB2	Pancreas	Normal Epithelial cells	3002	395	13.1578947368421	0.147901399067288	1.12405063291139	1	1.12405063291139
KCNAB2	Pancreas	Tumor Epithelial cells	8260	699	8.46246973365617	0.0927360774818402	1.09585121602289	1	1.09585121602289
KCNAB2	Pancreas	iCAF	1113	148	13.2973944294699	0.17340521114106	1.30405405405405	1	1.30405405405405
KCNAB2	Pancreas	B cells	474	55	11.6033755274262	0.139240506329114	1.2	1	1.2
KCNAB2	Pancreas	DCs	226	23	10.1769911504425	0.119469026548673	1.17391304347826	1	1.17391304347826
KCNAB2	Pancreas	SPP1-TAM	196	42	21.4285714285714	0.326530612244898	1.52380952380952	1	1.52380952380952
KCNAB2	Pancreas	PVL	143	9	6.29370629370629	0.0839160839160839	1.33333333333333	1	1.33333333333333
KCNAB2	Pancreas	Hepatocytes	0	0	0	0	NA	NA	0
KCNAB2	Pancreas	C1Q-TAM	102	17	16.6666666666667	0.264705882352941	1.58823529411765	1	1.58823529411765
KCNAB2	Pancreas	CD4+ cells	89	10	11.2359550561798	0.146067415730337	1.3	1	1.3
KCNAB2	Pancreas	FCN1-TAM	71	3	4.22535211267606	0.0422535211267606	1	1	1
KCNAB2	Pancreas	CD8-NK cells	7	1	14.2857142857143	0.142857142857143	1	1	1
KCNAB2	Pancreas	Proliferative T cells	4	1	25	0.75	3	3	3
KCNAB2	Pancreas	Endothelial cells	1	1	100	1	1	1	1
KCNB1	Normal Pancreas	myCAF	0	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	Normal Epithelial cells	9707	45	0.463582981353662	0.00463582981353662	1	1	1
KCNB1	Normal Pancreas	Tumor Epithelial cells	3	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	iCAF	0	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	B cells	0	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	DCs	0	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	SPP1-TAM	0	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	PVL	0	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	Hepatocytes	108	1	0.925925925925926	0.00925925925925926	1	1	1
KCNB1	Normal Pancreas	C1Q-TAM	1	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	CD4+ cells	0	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	FCN1-TAM	0	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	CD8-NK cells	0	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	Proliferative T cells	0	0	0	0	NA	NA	0
KCNB1	Normal Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNB1	Pancreas	myCAF	21770	105	0.482315112540193	0.00496095544327056	1.02857142857143	1	1.02857142857143
KCNB1	Pancreas	Normal Epithelial cells	3002	9	0.299800133244504	0.00299800133244504	1	1	1
KCNB1	Pancreas	Tumor Epithelial cells	8260	12	0.145278450363196	0.00145278450363196	1	1	1
KCNB1	Pancreas	iCAF	1113	11	0.988319856244385	0.0107816711590297	1.09090909090909	1	1.09090909090909
KCNB1	Pancreas	B cells	474	0	0	0	NA	NA	0
KCNB1	Pancreas	DCs	226	1	0.442477876106195	0.00442477876106195	1	1	1
KCNB1	Pancreas	SPP1-TAM	196	0	0	0	NA	NA	0
KCNB1	Pancreas	PVL	143	1	0.699300699300699	0.00699300699300699	1	1	1
KCNB1	Pancreas	Hepatocytes	0	0	0	0	NA	NA	0
KCNB1	Pancreas	C1Q-TAM	102	0	0	0	NA	NA	0
KCNB1	Pancreas	CD4+ cells	89	0	0	0	NA	NA	0
KCNB1	Pancreas	FCN1-TAM	71	0	0	0	NA	NA	0
KCNB1	Pancreas	CD8-NK cells	7	0	0	0	NA	NA	0
KCNB1	Pancreas	Proliferative T cells	4	0	0	0	NA	NA	0
KCNB1	Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	myCAF	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	Normal Epithelial cells	9707	1264	13.0215308540229	0.144019779540538	1.10601265822785	1	1.10601265822785
KCNC4	Normal Pancreas	Tumor Epithelial cells	3	1	33.3333333333333	0.333333333333333	1	1	1
KCNC4	Normal Pancreas	iCAF	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	B cells	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	DCs	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	SPP1-TAM	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	PVL	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	Hepatocytes	108	42	38.8888888888889	0.564814814814815	1.45238095238095	1	1.45238095238095
KCNC4	Normal Pancreas	C1Q-TAM	1	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	CD4+ cells	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	FCN1-TAM	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	CD8-NK cells	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	Proliferative T cells	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNC4	Pancreas	myCAF	21770	1302	5.98070739549839	0.0646761598530087	1.08141321044547	1	1.08141321044547
KCNC4	Pancreas	Normal Epithelial cells	3002	467	15.5562958027981	0.187874750166556	1.20770877944325	1	1.20770877944325
KCNC4	Pancreas	Tumor Epithelial cells	8260	646	7.82082324455206	0.0886198547215496	1.13312693498452	1	1.13312693498452
KCNC4	Pancreas	iCAF	1113	47	4.22282120395328	0.045822102425876	1.08510638297872	1	1.08510638297872
KCNC4	Pancreas	B cells	474	11	2.32067510548523	0.0253164556962025	1.09090909090909	1	1.09090909090909
KCNC4	Pancreas	DCs	226	6	2.65486725663717	0.0265486725663717	1	1	1
KCNC4	Pancreas	SPP1-TAM	196	11	5.61224489795918	0.0561224489795918	1	1	1
KCNC4	Pancreas	PVL	143	5	3.4965034965035	0.034965034965035	1	1	1
KCNC4	Pancreas	Hepatocytes	0	0	0	0	NA	NA	0
KCNC4	Pancreas	C1Q-TAM	102	2	1.96078431372549	0.0196078431372549	1	1	1
KCNC4	Pancreas	CD4+ cells	89	5	5.61797752808989	0.0561797752808989	1	1	1
KCNC4	Pancreas	FCN1-TAM	71	1	1.40845070422535	0.0140845070422535	1	1	1
KCNC4	Pancreas	CD8-NK cells	7	1	14.2857142857143	0.142857142857143	1	1	1
KCNC4	Pancreas	Proliferative T cells	4	0	0	0	NA	NA	0
KCNC4	Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCND2	Normal Pancreas	myCAF	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	Normal Epithelial cells	9707	69	0.710827238075616	0.00710827238075616	1	1	1
KCND2	Normal Pancreas	Tumor Epithelial cells	3	0	0	0	NA	NA	0
KCND2	Normal Pancreas	iCAF	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	B cells	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	DCs	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	SPP1-TAM	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	PVL	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	Hepatocytes	108	2	1.85185185185185	0.0185185185185185	1	1	1
KCND2	Normal Pancreas	C1Q-TAM	1	0	0	0	NA	NA	0
KCND2	Normal Pancreas	CD4+ cells	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	FCN1-TAM	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	CD8-NK cells	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	Proliferative T cells	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCND2	Pancreas	myCAF	21770	1004	4.6118511713367	0.0506660542030317	1.09860557768924	1	1.09860557768924
KCND2	Pancreas	Normal Epithelial cells	3002	149	4.96335776149234	0.0516322451698867	1.04026845637584	1	1.04026845637584
KCND2	Pancreas	Tumor Epithelial cells	8260	190	2.30024213075061	0.0236077481840194	1.02631578947368	1	1.02631578947368
KCND2	Pancreas	iCAF	1113	36	3.23450134770889	0.0332434860736747	1.02777777777778	1	1.02777777777778
KCND2	Pancreas	B cells	474	1	0.210970464135021	0.00210970464135021	1	1	1
KCND2	Pancreas	DCs	226	2	0.884955752212389	0.00884955752212389	1	1	1
KCND2	Pancreas	SPP1-TAM	196	3	1.53061224489796	0.0153061224489796	1	1	1
KCND2	Pancreas	PVL	143	3	2.0979020979021	0.027972027972028	1.33333333333333	1	1.33333333333333
KCND2	Pancreas	Hepatocytes	0	0	0	0	NA	NA	0
KCND2	Pancreas	C1Q-TAM	102	3	2.94117647058824	0.0392156862745098	1.33333333333333	1	1.33333333333333
KCND2	Pancreas	CD4+ cells	89	1	1.12359550561798	0.0112359550561798	1	1	1
KCND2	Pancreas	FCN1-TAM	71	1	1.40845070422535	0.0140845070422535	1	1	1
KCND2	Pancreas	CD8-NK cells	7	0	0	0	NA	NA	0
KCND2	Pancreas	Proliferative T cells	4	0	0	0	NA	NA	0
KCND2	Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCND3	Normal Pancreas	myCAF	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	Normal Epithelial cells	9707	396	4.07953023591223	0.0423405789636345	1.03787878787879	1	1.03787878787879
KCND3	Normal Pancreas	Tumor Epithelial cells	3	0	0	0	NA	NA	0
KCND3	Normal Pancreas	iCAF	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	B cells	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	DCs	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	SPP1-TAM	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	PVL	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	Hepatocytes	108	14	12.962962962963	0.148148148148148	1.14285714285714	1	1.14285714285714
KCND3	Normal Pancreas	C1Q-TAM	1	0	0	0	NA	NA	0
KCND3	Normal Pancreas	CD4+ cells	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	FCN1-TAM	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	CD8-NK cells	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	Proliferative T cells	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCND3	Pancreas	myCAF	21770	1051	4.82774460266422	0.0530087276067983	1.09800190294957	1	1.09800190294957
KCND3	Pancreas	Normal Epithelial cells	3002	164	5.46302465023318	0.0579613590939374	1.0609756097561	1	1.0609756097561
KCND3	Pancreas	Tumor Epithelial cells	8260	218	2.63922518159806	0.0280871670702179	1.06422018348624	1	1.06422018348624
KCND3	Pancreas	iCAF	1113	141	12.6684636118598	0.143755615453729	1.13475177304965	1	1.13475177304965
KCND3	Pancreas	B cells	474	16	3.37552742616034	0.0358649789029536	1.0625	1	1.0625
KCND3	Pancreas	DCs	226	7	3.09734513274336	0.0309734513274336	1	1	1
KCND3	Pancreas	SPP1-TAM	196	4	2.04081632653061	0.0204081632653061	1	1	1
KCND3	Pancreas	PVL	143	9	6.29370629370629	0.0629370629370629	1	1	1
KCND3	Pancreas	Hepatocytes	0	0	0	0	NA	NA	0
KCND3	Pancreas	C1Q-TAM	102	5	4.90196078431373	0.0490196078431373	1	1	1
KCND3	Pancreas	CD4+ cells	89	3	3.37078651685393	0.0337078651685393	1	1	1
KCND3	Pancreas	FCN1-TAM	71	4	5.63380281690141	0.0845070422535211	1.5	1	1.5
KCND3	Pancreas	CD8-NK cells	7	0	0	0	NA	NA	0
KCND3	Pancreas	Proliferative T cells	4	0	0	0	NA	NA	0
KCND3	Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	myCAF	0	0	0	0	NA	NA	0
