gene	Origin	cc_ischia_10	n_positive	n_spots	pct_detected
KCNA5	Normal Pancreas	CC1	0	0	0
KCNA5	Normal Pancreas	CC2	0	53	0
KCNA5	Normal Pancreas	CC3	0	36	0
KCNA5	Normal Pancreas	CC4	0	3	0
KCNA5	Normal Pancreas	CC5	0	0	0
KCNA5	Normal Pancreas	CC6	0	0	0
KCNA5	Normal Pancreas	CC7	0	21	0
KCNA5	Normal Pancreas	CC8	0	0	0
KCNA5	Normal Pancreas	CC9	0	0	0
KCNA5	Normal Pancreas	CC10	59	9707	0.607808797774802
KCNA5	Pancreas	CC1	55	8639	0.636647760157426
KCNA5	Pancreas	CC2	12	5063	0.237013628283626
KCNA5	Pancreas	CC3	6	3317	0.180886343081097
KCNA5	Pancreas	CC4	24	7976	0.300902708124373
KCNA5	Pancreas	CC5	39	7164	0.544388609715243
KCNA5	Pancreas	CC6	0	0	0
KCNA5	Pancreas	CC7	40	2572	1.5552099533437
KCNA5	Pancreas	CC8	0	0	0
KCNA5	Pancreas	CC9	4	726	0.550964187327824
KCNA5	Pancreas	CC10	0	1	0
KCNAB1	Normal Pancreas	CC1	0	0	0
KCNAB1	Normal Pancreas	CC2	0	53	0
KCNAB1	Normal Pancreas	CC3	0	36	0
KCNAB1	Normal Pancreas	CC4	0	3	0
KCNAB1	Normal Pancreas	CC5	0	0	0
KCNAB1	Normal Pancreas	CC6	0	0	0
KCNAB1	Normal Pancreas	CC7	0	21	0
KCNAB1	Normal Pancreas	CC8	0	0	0
KCNAB1	Normal Pancreas	CC9	0	0	0
KCNAB1	Normal Pancreas	CC10	218	9707	2.24580199855774
KCNAB1	Pancreas	CC1	131	8639	1.51637921055678
KCNAB1	Pancreas	CC2	25	5063	0.493778392257555
KCNAB1	Pancreas	CC3	19	3317	0.572806753090142
KCNAB1	Pancreas	CC4	44	7976	0.551654964894684
KCNAB1	Pancreas	CC5	103	7164	1.43774427694026
KCNAB1	Pancreas	CC6	0	0	0
KCNAB1	Pancreas	CC7	45	2572	1.74961119751166
KCNAB1	Pancreas	CC8	0	0	0
KCNAB1	Pancreas	CC9	7	726	0.964187327823691
KCNAB1	Pancreas	CC10	0	1	0
KCNAB2	Normal Pancreas	CC1	0	0	0
KCNAB2	Normal Pancreas	CC2	2	53	3.77358490566038
KCNAB2	Normal Pancreas	CC3	1	36	2.77777777777778
