gene	n_spots_detected	pct_spots_detected	mean_expression
KCNE3	17594	19.2292559237562	0.314450904957594
KCNK1	17179	18.7756841829151	0.289203899624027
KCNMA1	13020	14.2301302789193	0.17663067237912
KCNK6	12904	14.1033487802745	0.174073183527149
KCNJ8	12742	13.9262918597534	0.219714523039259
KCNAB2	11884	12.9885459473638	0.166673952959692
KCNN4	11142	12.177581533619	0.153493048876454
KCNK5	10434	11.4037772143044	0.14291335140334
KCNJ15	9874	10.7917286001574	0.149634956719419
KCNS3	9623	10.517399667745	0.12197254524788
KCNC4	9586	10.4769607414532	0.124038209320626
KCNQ1	9085	9.92939582058232	0.119054384891143
KCNIP2	7112	7.77301739966774	0.0855556527061292
KCNC3	6903	7.54459211331643	0.0848452391361371
KCNE4	6836	7.47136486840955	0.0858835358922794
KCNJ16	6307	6.89319751683134	0.113458511847512
KCNK3	6170	6.74346419515607	0.122704817696948
KCNMB4	4958	5.41881612310921	0.0589206085511935
KCNMB1	4950	5.41007257147853	0.0611174258983999
KCNJ5	4029	4.40347118999738	0.0538384191658652
KCND3	3538	3.86683570866486	0.0411930576200052
KCNJ14	3370	3.68322112442074	0.038777651482032
KCNA3	3328	3.63731747835971	0.0424390137273761
KCND1	2985	3.26243770219463	0.0343730873480808
KCNQ4	2428	2.65366791990907	0.0281979540089184
KCNQ3	2271	2.48207571915712	0.0263618081664772
KCNIP3	2143	2.34217889306636	0.0240666258634257
KCNN3	2106	2.3017399667745	0.024011978665734
KCNH8	2102	2.29736819095917	0.0245912389612661
KCND2	1925	2.10391711113054	0.022470927690828
KCNH2	1797	1.96402028503978	0.0208533706391536
KCNQ5	1646	1.79898574801084	0.0191593075107109
KCNK17	1517	1.65799597796625	0.0175636093381131
KCNN2	1505	1.64488065052024	0.0171482906356562
KCNJ11	1500	1.63941593075107	0.0172466555915013
KCNRG	1139	1.24486316341698	0.0127327970621667
KCNJ2	1128	1.23284077992481	0.0126453615458599
KCNMB2	1040	1.13666171198741	0.0140552592463058
KCNK13	988	1.07982862638804	0.0110496633732622
KCNG3	930	1.01643787706566	0.0106452741103436
KCNH3	929	1.01534493311183	0.0103283203637317
KCNG1	860	0.939931800297281	0.00966162455189298
KCNK2	835	0.91260820145143	0.00960697735420128
KCNAB1	807	0.882005770744076	0.00902771705866923
KCNK16	776	0.848124508175221	0.0103392498032701
KCNJ6	704	0.769432543499169	0.00859053947713561
KCNK15	701	0.766153711637667	0.0077489726326834
KCNAB3	662	0.723528897438139	0.00732272449068812
KCNT2	608	0.664509923931101	0.00678718195330943
KCNE2	534	0.583632071347381	0.00621885109731573
KCNS1	524	0.572702631809041	0.00583632071347381
KCNF1	512	0.559587304363032	0.00584725015301215
KCNJ10	444	0.485267115502317	0.00495103611086823
KCNE5	442	0.483081227594649	0.00489638891317653
KCNA2	441	0.481988283640815	0.00486360059456151
KCNS2	418	0.456850572702632	0.00463408236425636
KCNJ3	409	0.447014077118125	0.0045357174084113
KCNJ12	402	0.439363469441287	0.00441549357348955
KCNA5	397	0.433898749672117	0.00447014077118125
KCNK10	376	0.410946926641602	0.00416411646410772
KCNH4	361	0.394552767334091	0.00398924543149427
KCNQ2	338	0.369415056395908	0.00397831599195593
KCNB1	296	0.323511410334878	0.00328976130104048
KCNK12	269	0.294001923581359	0.00300559587304363
KCNB2	259	0.283072484043018	0.00292908979627525
KCNN1	219	0.239354725889656	0.00241540613797324
KCNG2	209	0.228425286351316	0.00230611174258984
KCNK7	199	0.217495846812975	0.00221867622628312
KCNIP1	192	0.209845239136137	0.00213124070997639
KCNK9	175	0.191265191920958	0.00192358135874792
KCNK4	167	0.182521640290286	0.00185800472151788
KCNT1	158	0.172685144705779	0.00172685144705779
KCNA4	152	0.166127480982775	0.00167220424936609
KCNJ13	140	0.153012153536767	0.00154105097490601
KCNH7	134	0.146454489813762	0.00147547433767596
KCNJ1	134	0.146454489813762	0.00146454489813762
KCNV1	133	0.145361545859928	0.00145361545859928
KCNH6	127	0.138803882136924	0.00144268601906094
KCNU1	113	0.123502666783247	0.00125688554690915
KCNIP4	110	0.120223834921745	0.00120223834921745
KCNA1	100	0.109294395383405	0.00110387339337239
KCNC2	77	0.0841566844452216	0.000841566844452216
KCNH1	73	0.0797849086298855	0.000819707965375536
KCNA10	72	0.0786919646760514	0.000786919646760514
KCNJ18	70	0.0765060767683833	0.000765060767683833
KCNH5	65	0.0710413569992131	0.000710413569992131
KCNC1	53	0.0579260295532045	0.000579260295532045
KCNJ4	43	0.046996590014864	0.00046996590014864
KCNJ9	41	0.0448107021071959	0.000448107021071959
KCNK18	34	0.0371600944303576	0.000371600944303576
KCNV2	28	0.0306024307073533	0.000306024307073533
KCNG4	9	0.00983649558450643	9.83649558450643e-05
