gene	normal_mean_pct	primary_mean_pct	delta_pct	normal_top_pct_cc	primary_top_pct_cc	normal_mean_pos_expr	primary_mean_pos_expr	delta_mean_pos_expr	normal_top_expr_cc	primary_top_expr_cc	normal_max_pct	primary_max_pct	normal_max_expr	primary_max_expr
KCNA5	0.06	0.4	0.34	CC10	CC7	1.068	1.016	-0.052	CC10	CC5	0.61	1.56	1.068	1.051
KCNAB1	0.22	0.73	0.5	CC10	CC7	1.014	1.03	0.016	CC10	CC7	2.25	1.75	1.014	1.111
KCNAB2	1.4	8.17	6.77	CC7	CC9	1.004	1.188	0.184	CC10	CC7	4.76	15.29	1.015	1.294
KCNB1	0.51	0.28	-0.23	CC3	CC7	1.0	1.022	0.022	CC2	CC7	2.78	0.93	1.0	1.083
KCNC4	4.13	4.94	0.81	CC3	CC3	1.136	1.099	-0.037	CC3	CC3	19.44	13.08	1.429	1.226
KCND2	0.35	2.36	2.01	CC3	CC1	1.0	1.08	0.08	CC3	CC9	2.78	5.71	1.0	1.167
KCND3	1.25	3.5	2.25	CC3	CC7	1.021	1.084	0.063	CC10	CC7	8.33	8.51	1.042	1.114
KCNE4	2.08	5.66	3.58	CC10	CC1	1.099	1.097	-0.001	CC10	CC1	13.28	15.3	1.296	1.188
KCNJ15	12.63	4.64	-8.0	CC10	CC3	1.815	1.217	-0.598	CC3	CC3	36.82	9.59	2.0	1.358
KCNJ16	17.15	0.94	-16.21	CC10	CC3	1.414	1.142	-0.272	CC10	CC7	53.81	4.13	1.758	1.615
KCNJ8	10.5	6.32	-4.18	CC10	CC7	1.534	1.118	-0.417	CC10	CC7	55.69	13.69	2.171	1.222
KCNK1	5.97	13.13	7.16	CC3	CC3	1.484	1.289	-0.196	CC2	CC3	33.33	46.73	1.818	1.796
KCNK15	1.21	0.58	-0.62	CC2	CC3	1.0	1.014	0.014	CC2	CC5	5.66	1.51	1.0	1.026
KCNK17	2.14	1.46	-0.68	CC7	CC7	1.129	1.102	-0.027	CC7	CC7	9.52	3.69	1.5	1.232
KCNK3	5.64	12.94	7.3	CC10	CC10	1.464	1.355	-0.11	CC10	CC7	48.84	100.0	1.928	2.475
KCNK6	1.9	7.89	5.98	CC10	CC3	1.03	1.155	0.124	CC10	CC3	9.71	18.33	1.091	1.266
KCNMA1	11.09	10.93	-0.15	CC4	CC1	1.192	1.288	0.096	CC2	CC7	33.33	24.56	1.429	1.437
KCNMB1	0.28	4.78	4.49	CC2	CC5	1.022	1.136	0.114	CC10	CC5	1.89	10.59	1.044	1.203
KCNMB4	0.85	4.33	3.49	CC7	CC5	1.004	1.079	0.075	CC10	CC3	4.76	7.72	1.011	1.13
KCNN3	1.3	1.79	0.5	CC7	CC7	1.003	1.041	0.038	CC10	CC7	4.76	4.16	1.013	1.093
KCNN4	2.26	8.72	6.46	CC3	CC3	1.015	1.187	0.171	CC10	CC3	16.67	30.03	1.045	1.429
KCNQ4	0.58	1.74	1.16	CC2	CC3	1.013	1.059	0.047	CC10	CC3	3.77	4.73	1.025	1.121
KCNS3	5.65	7.95	2.29	CC4	CC5	1.157	1.153	-0.004	CC2	CC1	33.33	15.55	1.5	1.194
KCNT2	0.03	0.48	0.45	CC10	CC1	1.03	1.003	-0.027	CC10	CC1	0.34	1.02	1.03	1.023
