gene	Origin	cc_ischia_10	n_spots	n_positive	pct_detected	mean_expression_all_spots	mean_positive_expression	median_positive_expression	mean_positive_expression_plot
KCNA5	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	CC2	53	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	CC3	36	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	CC7	21	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
KCNA5	Normal Pancreas	CC10	9707	59	0.607808797774802	0.00649016173895127	1.06779661016949	1	1.06779661016949
KCNA5	Pancreas	CC1	8639	55	0.636647760157426	0.00659798587799514	1.03636363636364	1	1.03636363636364
KCNA5	Pancreas	CC2	5063	12	0.237013628283626	0.00237013628283626	1	1	1
KCNA5	Pancreas	CC3	3317	6	0.180886343081097	0.00180886343081097	1	1	1
KCNA5	Pancreas	CC4	7976	24	0.300902708124373	0.00300902708124373	1	1	1
KCNA5	Pancreas	CC5	7164	39	0.544388609715243	0.00572305974316025	1.05128205128205	1	1.05128205128205
KCNA5	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNA5	Pancreas	CC7	2572	40	1.5552099533437	0.0159409020217729	1.025	1	1.025
KCNA5	Pancreas	CC8	0	0	0	0	NA	NA	0
KCNA5	Pancreas	CC9	726	4	0.550964187327824	0.00550964187327824	1	1	1
KCNA5	Pancreas	CC10	1	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CC2	53	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CC3	36	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CC7	21	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
KCNAB1	Normal Pancreas	CC10	9707	218	2.24580199855774	0.0227670753064799	1.01376146788991	1	1.01376146788991
KCNAB1	Pancreas	CC1	8639	131	1.51637921055678	0.01574256279662	1.0381679389313	1	1.0381679389313
KCNAB1	Pancreas	CC2	5063	25	0.493778392257555	0.00493778392257555	1	1	1
KCNAB1	Pancreas	CC3	3317	19	0.572806753090142	0.00572806753090142	1	1	1
KCNAB1	Pancreas	CC4	7976	44	0.551654964894684	0.005641925777332	1.02272727272727	1	1.02272727272727
KCNAB1	Pancreas	CC5	7164	103	1.43774427694026	0.0149357900614182	1.03883495145631	1	1.03883495145631
KCNAB1	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNAB1	Pancreas	CC7	2572	45	1.74961119751166	0.0194401244167963	1.11111111111111	1	1.11111111111111
KCNAB1	Pancreas	CC8	0	0	0	0	NA	NA	0
KCNAB1	Pancreas	CC9	726	7	0.964187327823691	0.00964187327823691	1	1	1
KCNAB1	Pancreas	CC10	1	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNAB2	Normal Pancreas	CC2	53	2	3.77358490566038	0.0377358490566038	1	1	1
KCNAB2	Normal Pancreas	CC3	36	1	2.77777777777778	0.0277777777777778	1	1	1
KCNAB2	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
