gene	odds_ratio__CC1_CC5	odds_ratio__CC2_CC3	fisher_p__CC1_CC5	fisher_p__CC2_CC3	fisher_fdr_within_niche__CC1_CC5	fisher_fdr_within_niche__CC2_CC3	enrichment_ratio__CC1_CC5	enrichment_ratio__CC2_CC3	pct_inside_positive__CC1_CC5	pct_inside_positive__CC2_CC3	pct_outside_positive__CC1_CC5	pct_outside_positive__CC2_CC3	favored_niche
KCNK1	0.371209108114468	4.29212513144531	2.92041227075872e-257	0	7.00898944982093e-256	0	0.586806491763243	2.04666862415897	11.0168955261659	38.4248210023866	25.0114474688374	12.6929610754118	CC2_CC3
KCNMA1	2.38801006723044	0.393098537804712	6.83646186128116e-207	4.34167312055847e-135	8.20375423353739e-206	3.47333849644678e-134	1.39662063648468	0.514687391037788	24.3181674365627	8.9618138424821	11.859577715594	20.0273284585272	CC1_CC5
KCNE4	2.31942693343755	0.508371199708021	8.07106993231927e-114	1.06392556711396e-44	6.45685594585541e-113	4.25570226845586e-44	1.42029382050083	0.601899680261871	13.2063532240714	5.59665871121718	6.15619435258204	10.4439027993205	CC1_CC5
KCNN4	0.480473614806747	2.8786947151156	3.21309602295503e-107	9.07283066665931e-213	1.92785761377302e-106	1.08873967999912e-211	0.665820578655158	1.8205794493205	8.53635385686262	23.3412887828162	16.2655812770287	9.56496048452618	CC2_CC3
KCNMB1	2.00333768713508	0.468533351480371	7.49610240631889e-64	2.82665194164487e-43	3.59812915503307e-63	9.69137808563955e-43	1.35717047432726	0.557304494598499	9.9095108523698	4.06921241050119	5.20478249809209	8.30194253637639	CC1_CC5
KCNJ16	0.189400495004479	6.02083969222613	1.31952466958957e-44	1.54317719900309e-73	5.27809867835828e-44	9.25906319401854e-73	0.300548657773782	2.72638085841688	0.367018920458141	3.32935560859189	1.90791147290766	0.568727380161016	CC2_CC3
KCND2	1.82813696384202	0.744039115527007	5.8642160137259e-28	1.37932421586604e-05	2.01058834756317e-27	1.65518905903925e-05	1.32241186224194	0.798867676260607	5.1952160982092	3.13842482100239	2.91020096667515	4.17312947780486	CC1_CC5
KCNC4	0.652285728808453	2.06108330753681	1.30347040703924e-23	7.65521463372484e-59	3.91041122111773e-23	3.67450302418792e-58	0.786746622097677	1.58841414595835	5.55590710624565	11.2171837708831	8.2727041465276	5.77590664007682	CC2_CC3
KCNK3	0.54084112827286	0.544220629869676	1.44426378789035e-21	7.41406108369444e-14	3.85137010104094e-21	1.61761332735151e-13	0.688493514756605	0.618267019757849	2.12617857368854	1.90930787589499	3.8616128211651	3.45298766526331	CC2_CC3
KCNJ8	1.39251262915772	0.669382397740661	3.96366878684601e-19	6.03398296182367e-18	9.51280508843043e-19	1.44815591083768e-17	1.16819954664171	0.74615289430416	10.6119091311776	6.77804295942721	7.85550750445179	9.79762168550115	CC1_CC5
KCNAB2	1.33445367025646	0.842040299536125	1.49569891335496e-17	2.55683426340816e-05	3.26334308368354e-17	2.9220963010379e-05	1.14313934595676	0.88752840047214	12.7570714421312	9.90453460620525	9.87534978377003	11.5481202452175	CC1_CC5
KCND3	1.48361129157241	0.726463422841615	9.74990427924614e-15	4.84048225330369e-07	1.94998085584923e-14	7.14160193224299e-07	1.21040831576642	0.785210073894452	5.53692336898057	3.59188544152745	3.80055965403205	4.87849915060196	CC1_CC5
