orig.ident	Origin	n_spots	n_kcnma1_positive	pct_kcnma1_positive
IU_PDA_NP10	Normal Pancreas	2966	417	14.06
IU_PDA_NP11	Normal Pancreas	3859	540	13.99
IU_PDA_NP2	Normal Pancreas	2995	410	13.69
IU_PDA_T1	Pancreas	3530	417	11.81
IU_PDA_T10	Pancreas	2714	174	6.41
IU_PDA_T11	Pancreas	2777	1165	41.95
IU_PDA_T12	Pancreas	3642	1558	42.78
IU_PDA_T2	Pancreas	4118	428	10.39
IU_PDA_T3	Pancreas	4354	688	15.8
IU_PDA_T4	Pancreas	3621	177	4.89
IU_PDA_T6	Pancreas	3397	347	10.21
IU_PDA_T8	Pancreas	3779	252	6.67
IU_PDA_T9	Pancreas	3526	968	27.45
