orig.ident	Origin	n_spots	n_detected	pct_detected	mean_expression	median_expression	q99_expression
IU_PDA_NP10	Normal Pancreas	2966	417	14.06	0.161834120026972	0	2
IU_PDA_NP11	Normal Pancreas	3859	540	13.99	0.159626846333247	0	2
IU_PDA_NP2	Normal Pancreas	2995	410	13.69	0.152921535893155	0	2
IU_PDA_T1	Pancreas	3530	417	11.81	0.13371104815864	0	2
IU_PDA_T10	Pancreas	2714	174	6.41	0.0707442888725129	0	1
IU_PDA_T11	Pancreas	2777	1165	41.95	0.656823910694995	0	4
IU_PDA_T12	Pancreas	3642	1558	42.78	0.668039538714992	0	4
IU_PDA_T2	Pancreas	4118	428	10.39	0.113161728994658	0	1
IU_PDA_T3	Pancreas	4354	688	15.8	0.1789159393661	0	2
IU_PDA_T4	Pancreas	3621	177	4.89	0.0535763601215134	0	1
IU_PDA_T6	Pancreas	3397	347	10.21	0.119811598469238	0	2
IU_PDA_T8	Pancreas	3779	252	6.67	0.0719767134162477	0	1
IU_PDA_T9	Pancreas	3526	968	27.45	0.355643788996029	0	3
