orig.ident	Origin	cc_ischia_10	n_spots	n_detected	pct_detected	mean_expression	median_expression
IU_PDA_NP10	Normal Pancreas	CC10	2883	409	14.19	0.163718348942074	0
IU_PDA_NP10	Normal Pancreas	CC2	39	4	10.26	0.102564102564103	0
IU_PDA_NP10	Normal Pancreas	CC3	27	3	11.11	0.111111111111111	0
IU_PDA_NP10	Normal Pancreas	CC4	1	0	0	0	0
IU_PDA_NP10	Normal Pancreas	CC7	16	1	6.25	0.0625	0
IU_PDA_NP11	Normal Pancreas	CC10	3833	521	13.59	0.153143751630577	0
IU_PDA_NP11	Normal Pancreas	CC2	12	10	83.33	1.33333333333333	1
IU_PDA_NP11	Normal Pancreas	CC3	8	7	87.5	1.375	1.5
IU_PDA_NP11	Normal Pancreas	CC4	1	1	100	1	1
IU_PDA_NP11	Normal Pancreas	CC7	5	1	20	0.2	0
IU_PDA_NP2	Normal Pancreas	CC10	2991	410	13.71	0.15312604480107	0
IU_PDA_NP2	Normal Pancreas	CC2	2	0	0	0	0
IU_PDA_NP2	Normal Pancreas	CC3	1	0	0	0	0
IU_PDA_NP2	Normal Pancreas	CC4	1	0	0	0	0
IU_PDA_T1	Pancreas	CC1	2529	294	11.63	0.130090945037564	0
IU_PDA_T1	Pancreas	CC2	54	5	9.26	0.0925925925925926	0
IU_PDA_T1	Pancreas	CC3	14	1	7.14	0.0714285714285714	0
IU_PDA_T1	Pancreas	CC4	165	22	13.33	0.139393939393939	0
IU_PDA_T1	Pancreas	CC5	440	63	14.32	0.163636363636364	0
IU_PDA_T1	Pancreas	CC7	324	32	9.88	0.12962962962963	0
IU_PDA_T1	Pancreas	CC9	4	0	0	0	0
IU_PDA_T10	Pancreas	CC1	132	11	8.33	0.0833333333333333	0
IU_PDA_T10	Pancreas	CC2	769	45	5.85	0.0676202860858258	0
IU_PDA_T10	Pancreas	CC3	466	27	5.79	0.0600858369098712	0
IU_PDA_T10	Pancreas	CC4	612	39	6.37	0.0686274509803922	0
IU_PDA_T10	Pancreas	CC5	450	29	6.44	0.0644444444444444	0
IU_PDA_T10	Pancreas	CC7	214	19	8.88	0.116822429906542	0
IU_PDA_T10	Pancreas	CC9	71	4	5.63	0.0704225352112676	0
IU_PDA_T11	Pancreas	CC1	782	246	31.46	0.487212276214834	0
IU_PDA_T11	Pancreas	CC2	149	61	40.94	0.597315436241611	0
IU_PDA_T11	Pancreas	CC3	121	47	38.84	0.537190082644628	0
IU_PDA_T11	Pancreas	CC4	544	255	46.88	0.696691176470588	0
IU_PDA_T11	Pancreas	CC5	1174	553	47.1	0.770868824531516	0
IU_PDA_T11	Pancreas	CC7	7	3	42.86	0.714285714285714	0
IU_PDA_T12	Pancreas	CC1	1992	791	39.71	0.614457831325301	0
IU_PDA_T12	Pancreas	CC2	161	64	39.75	0.596273291925466	0
IU_PDA_T12	Pancreas	CC3	90	21	23.33	0.266666666666667	0
IU_PDA_T12	Pancreas	CC4	252	111	44.05	0.615079365079365	0
IU_PDA_T12	Pancreas	CC5	798	408	51.13	0.796992481203007	1
IU_PDA_T12	Pancreas	CC7	348	162	46.55	0.853448275862069	0
IU_PDA_T12	Pancreas	CC9	1	1	100	1	1
IU_PDA_T2	Pancreas	CC1	38	2	5.26	0.0526315789473684	0
IU_PDA_T2	Pancreas	CC10	1	0	0	0	0
IU_PDA_T2	Pancreas	CC2	483	51	10.56	0.113871635610766	0
IU_PDA_T2	Pancreas	CC3	205	20	9.76	0.107317073170732	0
IU_PDA_T2	Pancreas	CC4	2435	253	10.39	0.11211498973306	0
IU_PDA_T2	Pancreas	CC5	784	82	10.46	0.113520408163265	0
IU_PDA_T2	Pancreas	CC7	167	19	11.38	0.143712574850299	0
IU_PDA_T2	Pancreas	CC9	5	1	20	0.2	0
IU_PDA_T3	Pancreas	CC1	885	172	19.44	0.215819209039548	0
IU_PDA_T3	Pancreas	CC2	203	22	10.84	0.118226600985222	0
IU_PDA_T3	Pancreas	CC3	122	11	9.02	0.0983606557377049	0
IU_PDA_T3	Pancreas	CC4	516	80	15.5	0.172480620155039	0
IU_PDA_T3	Pancreas	CC5	1026	192	18.71	0.213450292397661	0
IU_PDA_T3	Pancreas	CC7	993	147	14.8	0.16515609264854	0
IU_PDA_T3	Pancreas	CC9	609	64	10.51	0.13136288998358	0
IU_PDA_T4	Pancreas	CC1	132	13	9.85	0.106060606060606	0
IU_PDA_T4	Pancreas	CC2	909	33	3.63	0.0429042904290429	0
IU_PDA_T4	Pancreas	CC3	306	14	4.58	0.0457516339869281	0
IU_PDA_T4	Pancreas	CC4	1648	66	4	0.0430825242718447	0
IU_PDA_T4	Pancreas	CC5	560	41	7.32	0.0821428571428571	0
IU_PDA_T4	Pancreas	CC7	66	10	15.15	0.151515151515152	0
IU_PDA_T6	Pancreas	CC1	134	28	20.9	0.291044776119403	0
