gene	Origin	cc_ischia_10	n_spots	n_detected	pct_detected	mean_expression	median_expression
KCNA5	Normal Pancreas	CC10	9707	59	0.61	0.00649016173895127	0
KCNA5	Normal Pancreas	CC2	53	0	0	0	0
KCNA5	Normal Pancreas	CC3	36	0	0	0	0
KCNA5	Normal Pancreas	CC4	3	0	0	0	0
KCNA5	Normal Pancreas	CC7	21	0	0	0	0
KCNA5	Pancreas	CC1	8639	55	0.64	0.00659798587799514	0
KCNA5	Pancreas	CC10	1	0	0	0	0
KCNA5	Pancreas	CC2	5063	12	0.24	0.00237013628283626	0
KCNA5	Pancreas	CC3	3317	6	0.18	0.00180886343081097	0
KCNA5	Pancreas	CC4	7976	24	0.3	0.00300902708124373	0
KCNA5	Pancreas	CC5	7164	39	0.54	0.00572305974316025	0
KCNA5	Pancreas	CC7	2572	40	1.56	0.0159409020217729	0
KCNA5	Pancreas	CC9	726	4	0.55	0.00550964187327824	0
KCNAB1	Normal Pancreas	CC10	9707	218	2.25	0.0227670753064799	0
KCNAB1	Normal Pancreas	CC2	53	0	0	0	0
KCNAB1	Normal Pancreas	CC3	36	0	0	0	0
KCNAB1	Normal Pancreas	CC4	3	0	0	0	0
KCNAB1	Normal Pancreas	CC7	21	0	0	0	0
KCNAB1	Pancreas	CC1	8639	131	1.52	0.01574256279662	0
KCNAB1	Pancreas	CC10	1	0	0	0	0
KCNAB1	Pancreas	CC2	5063	25	0.49	0.00493778392257555	0
KCNAB1	Pancreas	CC3	3317	19	0.57	0.00572806753090142	0
KCNAB1	Pancreas	CC4	7976	44	0.55	0.005641925777332	0
KCNAB1	Pancreas	CC5	7164	103	1.44	0.0149357900614182	0
KCNAB1	Pancreas	CC7	2572	45	1.75	0.0194401244167963	0
KCNAB1	Pancreas	CC9	726	7	0.96	0.00964187327823691	0
KCNAB2	Normal Pancreas	CC10	9707	263	2.71	0.0275059235603173	0
KCNAB2	Normal Pancreas	CC2	53	2	3.77	0.0377358490566038	0
KCNAB2	Normal Pancreas	CC3	36	1	2.78	0.0277777777777778	0
KCNAB2	Normal Pancreas	CC4	3	0	0	0	0
KCNAB2	Normal Pancreas	CC7	21	1	4.76	0.0476190476190476	0
KCNAB2	Pancreas	CC1	8639	1135	13.14	0.164023613844195	0
KCNAB2	Pancreas	CC10	1	0	0	0	0
KCNAB2	Pancreas	CC2	5063	499	9.86	0.109618803081177	0
KCNAB2	Pancreas	CC3	3317	331	9.98	0.111546578233343	0
KCNAB2	Pancreas	CC4	7976	674	8.45	0.0941574724172518	0
KCNAB2	Pancreas	CC5	7164	881	12.3	0.149218313791178	0
KCNAB2	Pancreas	CC7	2572	326	12.67	0.164074650077761	0
KCNAB2	Pancreas	CC9	726	111	15.29	0.18595041322314	0
KCNB1	Normal Pancreas	CC10	9707	44	0.45	0.00453281137323581	0
KCNB1	Normal Pancreas	CC2	53	1	1.89	0.0188679245283019	0
KCNB1	Normal Pancreas	CC3	36	1	2.78	0.0277777777777778	0
KCNB1	Normal Pancreas	CC4	3	0	0	0	0
KCNB1	Normal Pancreas	CC7	21	0	0	0	0
KCNB1	Pancreas	CC1	8639	27	0.31	0.00324111586989235	0
KCNB1	Pancreas	CC10	1	0	0	0	0
KCNB1	Pancreas	CC2	5063	12	0.24	0.00237013628283626	0
KCNB1	Pancreas	CC3	3317	6	0.18	0.00180886343081097	0
KCNB1	Pancreas	CC4	7976	27	0.34	0.00351053159478435	0
KCNB1	Pancreas	CC5	7164	41	0.57	0.00572305974316025	0
KCNB1	Pancreas	CC7	2572	24	0.93	0.0101088646967341	0
KCNB1	Pancreas	CC9	726	2	0.28	0.00275482093663912	0
KCNC4	Normal Pancreas	CC10	9707	1297	13.36	0.149067683115278	0
KCNC4	Normal Pancreas	CC2	53	2	3.77	0.0377358490566038	0
KCNC4	Normal Pancreas	CC3	36	7	19.44	0.277777777777778	0
KCNC4	Normal Pancreas	CC4	3	0	0	0	0
KCNC4	Normal Pancreas	CC7	21	1	4.76	0.0476190476190476	0
KCNC4	Pancreas	CC1	8639	395	4.57	0.0486167380483852	0
KCNC4	Pancreas	CC10	1	0	0	0	0
KCNC4	Pancreas	CC2	5063	506	9.99	0.113174007505432	0
KCNC4	Pancreas	CC3	3317	434	13.08	0.16038589086524	0
KCNC4	Pancreas	CC4	7976	546	6.85	0.0743480441323972	0
KCNC4	Pancreas	CC5	7164	483	6.74	0.0739810161920715	0
KCNC4	Pancreas	CC7	2572	112	4.35	0.0474339035769829	0
KCNC4	Pancreas	CC9	726	28	3.86	0.0385674931129477	0
KCND2	Normal Pancreas	CC10	9707	70	0.72	0.00721129082105697	0
KCND2	Normal Pancreas	CC2	53	0	0	0	0
KCND2	Normal Pancreas	CC3	36	1	2.78	0.0277777777777778	0
KCND2	Normal Pancreas	CC4	3	0	0	0	0
