gene	orig.ident	Origin	n_spots	n_detected	pct_detected	mean_expression	median_expression	q99_expression
KCNA5	IU_PDA_NP10	Normal Pancreas	2966	4	0.13	0.0016857720836143	0	0
KCNA5	IU_PDA_NP11	Normal Pancreas	3859	46	1.19	0.0126975900492356	0	1
KCNA5	IU_PDA_NP2	Normal Pancreas	2995	9	0.3	0.00300500834724541	0	0
KCNA5	IU_PDA_T1	Pancreas	3530	4	0.11	0.00113314447592068	0	0
KCNA5	IU_PDA_T10	Pancreas	2714	6	0.22	0.00221075902726603	0	0
KCNA5	IU_PDA_T11	Pancreas	2777	9	0.32	0.00324090745408714	0	0
KCNA5	IU_PDA_T12	Pancreas	3642	92	2.53	0.0260845689181768	0	1
KCNA5	IU_PDA_T2	Pancreas	4118	21	0.51	0.00509956289460903	0	0
KCNA5	IU_PDA_T3	Pancreas	4354	13	0.3	0.00298576022048691	0	0
KCNA5	IU_PDA_T4	Pancreas	3621	15	0.41	0.00469483568075117	0	0
KCNA5	IU_PDA_T6	Pancreas	3397	9	0.26	0.00264939652634678	0	0
KCNA5	IU_PDA_T8	Pancreas	3779	0	0	0	0	0
KCNA5	IU_PDA_T9	Pancreas	3526	11	0.31	0.00311968235961429	0	0
KCNAB1	IU_PDA_NP10	Normal Pancreas	2966	34	1.15	0.0114632501685772	0	1
KCNAB1	IU_PDA_NP11	Normal Pancreas	3859	104	2.69	0.0272091215340762	0	1
KCNAB1	IU_PDA_NP2	Normal Pancreas	2995	80	2.67	0.0273789649415693	0	1
KCNAB1	IU_PDA_T1	Pancreas	3530	11	0.31	0.00311614730878187	0	0
KCNAB1	IU_PDA_T10	Pancreas	2714	3	0.11	0.00110537951363301	0	0
KCNAB1	IU_PDA_T11	Pancreas	2777	50	1.8	0.0183651422398272	0	1
KCNAB1	IU_PDA_T12	Pancreas	3642	175	4.81	0.0513454146073586	0	1
KCNAB1	IU_PDA_T2	Pancreas	4118	23	0.56	0.00558523555123847	0	0
KCNAB1	IU_PDA_T3	Pancreas	4354	21	0.48	0.00482315112540193	0	0
KCNAB1	IU_PDA_T4	Pancreas	3621	18	0.5	0.00524716929025131	0	0
KCNAB1	IU_PDA_T6	Pancreas	3397	29	0.85	0.00853694436267295	0	0
KCNAB1	IU_PDA_T8	Pancreas	3779	8	0.21	0.0021169621593014	0	0
KCNAB1	IU_PDA_T9	Pancreas	3526	36	1.02	0.0104934770277935	0	0.75
KCNAB2	IU_PDA_NP10	Normal Pancreas	2966	53	1.79	0.0182063385030344	0	1
KCNAB2	IU_PDA_NP11	Normal Pancreas	3859	125	3.24	0.0329100803316921	0	1
KCNAB2	IU_PDA_NP2	Normal Pancreas	2995	89	2.97	0.0300500834724541	0	1
KCNAB2	IU_PDA_T1	Pancreas	3530	131	3.71	0.0388101983002833	0	1
KCNAB2	IU_PDA_T10	Pancreas	2714	229	8.44	0.0965364775239499	0	2
KCNAB2	IU_PDA_T11	Pancreas	2777	201	7.24	0.0781418797263234	0	1
KCNAB2	IU_PDA_T12	Pancreas	3642	1328	36.46	0.50439319055464	0	3
KCNAB2	IU_PDA_T2	Pancreas	4118	223	5.42	0.0563380281690141	0	1
KCNAB2	IU_PDA_T3	Pancreas	4354	604	13.87	0.155718879191548	0	2
KCNAB2	IU_PDA_T4	Pancreas	3621	297	8.2	0.0897542115437724	0	1
KCNAB2	IU_PDA_T6	Pancreas	3397	292	8.6	0.094495142773035	0	1
KCNAB2	IU_PDA_T8	Pancreas	3779	310	8.2	0.0902355120402223	0	1
KCNAB2	IU_PDA_T9	Pancreas	3526	342	9.7	0.104651162790698	0	1
KCNB1	IU_PDA_NP10	Normal Pancreas	2966	0	0	0	0	0
KCNB1	IU_PDA_NP11	Normal Pancreas	3859	39	1.01	0.0101062451412283	0	0.420000000000073
KCNB1	IU_PDA_NP2	Normal Pancreas	2995	7	0.23	0.00233722871452421	0	0
KCNB1	IU_PDA_T1	Pancreas	3530	3	0.08	0.00084985835694051	0	0
KCNB1	IU_PDA_T10	Pancreas	2714	7	0.26	0.0025792188651437	0	0
KCNB1	IU_PDA_T11	Pancreas	2777	51	1.84	0.019085343896291	0	1
KCNB1	IU_PDA_T12	Pancreas	3642	39	1.07	0.0109829763866008	0	1
KCNB1	IU_PDA_T2	Pancreas	4118	13	0.32	0.00315687226809131	0	0
KCNB1	IU_PDA_T3	Pancreas	4354	8	0.18	0.00183739090491502	0	0
KCNB1	IU_PDA_T4	Pancreas	3621	6	0.17	0.00165700082850041	0	0
KCNB1	IU_PDA_T6	Pancreas	3397	0	0	0	0	0
