gene	contrast	contrast_labels	n_sections_tested	n_sections_log2fc_positive	n_sections_auc_gt_0_5	n_sections_fdr_lt_0_05	median_log2fc_mean_expression	median_auc	median_delta_pct_positive	median_pct_inside_positive	median_pct_outside_positive	median_mean_expression_inside	median_mean_expression_outside
KCNE4	CC1_CC5	CC1,CC5	10	9	9	5	0.0334015296884908	0.51166124710115	2.33255551360379	8.2290580465763	5.54769967377417	0.085225831720135	0.0565003287066324
KCND2	CC1_CC5	CC1,CC5	10	7	7	2	0.012986289188341	0.504489707988109	0.898295218452147	2.15157445246229	2.13141192046104	0.0216813622788461	0.0226604818891369
KCNS3	CC1_CC5	CC1,CC5	10	5	5	3	0.00079874624800326	0.500595974198384	0.122401686705245	11.0019676150719	11.384710973298	0.12300708292256	0.128669961530666
KCNAB1	CC1_CC5	CC1,CC5	10	5	5	0	-0.000363462706476202	0.499958534559105	-0.00821908237297253	0.520899258821709	0.580057843094397	0.00520899258821709	0.0058013035201921
KCNA5	CC1_CC5	CC1,CC5	10	3	3	2	-0.000408810909051042	0.499857775155712	-0.0284449688575977	0.285868436507437	0.283979421235694	0.00285868436507437	0.00283979421235694
KCNN3	CC1_CC5	CC1,CC5	10	5	5	2	-0.000590315842292348	0.499947108926238	-0.00780169902726258	2.3908991441459	1.94990818811491	0.0244322776790309	0.0204073130028822
KCNMA1	CC1_CC5	CC1,CC5	10	5	6	3	-0.000786696902813366	0.503420720277703	0.713217078401337	13.3901740751998	10.5660401848294	0.162043350393086	0.120166993319835
KCNJ8	CC1_CC5	CC1,CC5	10	4	4	2	-0.00138685536975561	0.498848756034988	-0.230043808110693	7.82954935590286	7.44766475881887	0.0852327855149045	0.0816264574932299
KCNJ16	CC1_CC5	CC1,CC5	10	1	2	1	-0.00156772258923179	0.499580124469756	-0.0839751060488828	0.281460958286606	0.454996939932377	0.00281460958286606	0.00544123499647173
KCNT2	CC1_CC5	CC1,CC5	10	4	4	0	-0.00186842025774926	0.499349516920988	-0.1300966158025	0.596750483207956	0.539013361721024	0.00596750483207956	0.00539013361721024
KCNB1	CC1_CC5	CC1,CC5	10	1	1	3	-0.00315723418147873	0.498904108497314	-0.219178300537241	0.105935709460183	0.315432144148727	0.00105935709460183	0.00315432144148727
KCNMB4	CC1_CC5	CC1,CC5	10	3	4	2	-0.0032548091553997	0.499043882974481	-0.190433934059832	5.00684688032703	4.96851721529653	0.0541109558164147	0.0520366567089868
KCNK17	CC1_CC5	CC1,CC5	10	4	4	1	-0.00363926948754105	0.498801192675717	-0.239703050502469	0.650092916636312	0.916583519916233	0.00666933603736345	0.0095417195119299
KCNMB1	CC1_CC5	CC1,CC5	10	4	4	3	-0.00582277598416729	0.498838681048526	-0.226677813348405	6.3724799097702	4.03321027850234	0.071221626956154	0.0451401642252837
KCNK15	CC1_CC5	CC1,CC5	10	1	1	3	-0.00615023300889632	0.497851915821541	-0.429616835691798	0.354748135110217	0.84900154842766	0.00354748135110217	0.0084900154842766
KCNAB2	CC1_CC5	CC1,CC5	10	3	4	3	-0.010782451582971	0.496244631261151	-0.74991370000499	6.08944218052632	9.05414221631777	0.06655673369032	0.0972986752243203
KCNK3	CC1_CC5	CC1,CC5	10	2	2	4	-0.0110097969652707	0.495722629717357	-0.856924663459681	0.770114089972776	1.62703875343246	0.00854362385193705	0.0162703875343246
KCND3	CC1_CC5	CC1,CC5	10	1	1	4	-0.0181436907582205	0.493827031440569	-1.23419396064257	2.3430145693534	2.85943189145883	0.023430145693534	0.0292033323128831
KCNQ4	CC1_CC5	CC1,CC5	10	2	2	5	-0.020237631247249	0.4936167206995	-1.27677238898651	1.20222148376476	1.96061473115722	0.0122838579564336	0.0210484149367864
KCNJ15	CC1_CC5	CC1,CC5	10	3	3	5	-0.0242168661505362	0.492463472130045	-1.49979324654211	4.32705822316212	4.35955565997444	0.0443171547067651	0.046014414650077
KCNC4	CC1_CC5	CC1,CC5	10	1	1	5	-0.039408376971189	0.487280082059434	-2.53873945091499	4.44548513128706	5.56507266456407	0.0467675036036123	0.0590054325150764
