gene	median_log2fc_mean_expression__CC1_CC5	median_log2fc_mean_expression__CC2_CC3	median_auc__CC1_CC5	median_auc__CC2_CC3	n_sections_fdr_lt_0_05__CC1_CC5	n_sections_fdr_lt_0_05__CC2_CC3	median_delta_pct_positive__CC1_CC5	median_delta_pct_positive__CC2_CC3	favored_contrast_by_log2fc	favored_contrast_by_auc
KCNE4	0.0334015296884908	-0.0283383482336513	0.51166124710115	0.491825643246026	5	3	2.33255551360379	-1.60513843547034	CC1_CC5	CC1_CC5
KCND2	0.012986289188341	0.000809488623840969	0.504489707988109	0.500982440583347	2	1	0.898295218452147	0.197343817942325	CC1_CC5	CC1_CC5
KCNS3	0.00079874624800326	0.0657431994836046	0.500595974198384	0.517749574835601	3	3	0.122401686705245	3.37528638957734	CC2_CC3	CC2_CC3
KCNAB1	-0.000363462706476202	-0.00324669625472732	0.499958534559105	0.49887069169875	0	1	-0.00821908237297253	-0.22586166024999	CC1_CC5	CC1_CC5
KCNA5	-0.000408810909051042	-0.00200906080132575	0.499857775155712	0.499302474367063	2	2	-0.0284449688575977	-0.139505126587417	CC1_CC5	CC1_CC5
KCNN3	-0.000590315842292348	-0.00954543106187319	0.499947108926238	0.496869266893079	2	0	-0.00780169902726258	-0.626206414580819	CC1_CC5	CC1_CC5
KCNMA1	-0.000786696902813366	-0.0645907444530676	0.503420720277703	0.484270639363568	3	3	0.713217078401337	-2.60508378558591	CC1_CC5	CC1_CC5
KCNJ8	-0.00138685536975561	-0.0263456853473304	0.498848756034988	0.493862103555525	2	3	-0.230043808110693	-1.18727717392634	CC1_CC5	CC1_CC5
KCNJ16	-0.00156772258923179	0.00536103543732008	0.499580124469756	0.501863202386743	1	2	-0.0839751060488828	0.372640477348578	CC2_CC3	CC2_CC3
KCNT2	-0.00186842025774926	-0.00147155619040873	0.499349516920988	0.499557017230191	0	2	-0.1300966158025	-0.0883615752685795	CC2_CC3	CC2_CC3
KCNB1	-0.00315723418147873	-0.000624813828968733	0.498904108497314	0.499783362218371	3	0	-0.219178300537241	-0.0433275563258232	CC2_CC3	CC2_CC3
KCNMB4	-0.0032548091553997	0.00149517272037035	0.499043882974481	0.500232082247228	2	2	-0.190433934059832	0.0456883133630426	CC2_CC3	CC2_CC3
KCNK17	-0.00363926948754105	-0.000143894981040725	0.498801192675717	0.499906211399641	1	0	-0.239703050502469	-0.0181163167174206	CC2_CC3	CC2_CC3
KCNMB1	-0.00582277598416729	-0.00953376549382797	0.498838681048526	0.497324432071031	3	2	-0.226677813348405	-0.553675022636215	CC1_CC5	CC1_CC5
KCNK15	-0.00615023300889632	0.008908973658871	0.497851915821541	0.503149058091872	3	5	-0.429616835691798	0.629811618374478	CC2_CC3	CC2_CC3
KCNAB2	-0.010782451582971	0.013701139059698	0.496244631261151	0.505551644720298	3	3	-0.74991370000499	1.10267124994718	CC2_CC3	CC2_CC3
KCNK3	-0.0110097969652707	-0.0010893715148643	0.495722629717357	0.499622675364813	4	3	-0.856924663459681	-0.0754649270374023	CC2_CC3	CC2_CC3
KCND3	-0.0181436907582205	0.0086244048917872	0.493827031440569	0.503280068294843	4	5	-1.23419396064257	0.657638738375933	CC2_CC3	CC2_CC3
KCNQ4	-0.020237631247249	0.024874856629724	0.4936167206995	0.507977270566486	5	6	-1.27677238898651	1.59263801563997	CC2_CC3	CC2_CC3
KCNJ15	-0.0242168661505362	0.0415856749907906	0.492463472130045	0.512596971362998	5	5	-1.49979324654211	2.51346009450608	CC2_CC3	CC2_CC3
KCNC4	-0.039408376971189	0.0505828413799102	0.487280082059434	0.517025585635431	5	8	-2.53873945091499	3.39823890217712	CC2_CC3	CC2_CC3
KCNK6	-0.0631897090095644	0.106048923617851	0.479193770622226	0.536872831982484	6	8	-4.13242510333008	7.37614365081797	CC2_CC3	CC2_CC3
KCNN4	-0.107831209936569	0.257205874590662	0.467407989889524	0.580789169857005	8	10	-6.43410025505322	15.9049192635701	CC2_CC3	CC2_CC3
KCNK1	-0.270922738910792	0.414444431492068	0.430120435851703	0.609636429683182	8	10	-13.5292998617537	21.0413260712001	CC2_CC3	CC2_CC3
