orig.ident	contrast	n_inside	n_outside	usable
IU_PDA_T1	CC1_CC5	2969	561	TRUE
IU_PDA_T10	CC1_CC5	582	2132	TRUE
IU_PDA_T11	CC1_CC5	1956	821	TRUE
IU_PDA_T12	CC1_CC5	2790	852	TRUE
IU_PDA_T2	CC1_CC5	822	3296	TRUE
IU_PDA_T3	CC1_CC5	1911	2443	TRUE
IU_PDA_T4	CC1_CC5	692	2929	TRUE
IU_PDA_T6	CC1_CC5	820	2577	TRUE
IU_PDA_T8	CC1_CC5	242	3537	TRUE
IU_PDA_T9	CC1_CC5	3019	507	TRUE
IU_PDA_T1	CC2_CC3	68	3462	TRUE
IU_PDA_T10	CC2_CC3	1235	1479	TRUE
IU_PDA_T11	CC2_CC3	270	2507	TRUE
IU_PDA_T12	CC2_CC3	251	3391	TRUE
IU_PDA_T2	CC2_CC3	688	3430	TRUE
IU_PDA_T3	CC2_CC3	325	4029	TRUE
IU_PDA_T4	CC2_CC3	1215	2406	TRUE
IU_PDA_T6	CC2_CC3	1656	1741	TRUE
IU_PDA_T8	CC2_CC3	2650	1129	TRUE
IU_PDA_T9	CC2_CC3	22	3504	TRUE
