gene	contrast	contrast_labels	n_sections_tested	n_sections_log2fc_positive	n_sections_auc_gt_0_5	n_sections_fdr_lt_0_05	median_log2fc_mean_expression	median_auc	median_delta_pct_positive	median_pct_inside_positive	median_pct_outside_positive	median_mean_expression_inside	median_mean_expression_outside
CCN2	CC1_CC5	CC1,CC5	10	8	8	7	0.551880558920925	0.658128925066334	6.02941876257357	91.7238871198706	87.5690156239625	5.72794721758752	4.3155232195857
ACTA2	CC1_CC5	CC1,CC5	10	8	8	10	0.433652068010944	0.630121899408303	3.83893956924407	93.9348595939947	90.1549068767908	8.45193982313152	5.07292041308832
POSTN	CC1_CC5	CC1,CC5	10	9	9	10	0.428703870718222	0.605531818770205	10.6634527901475	75.0811198978687	57.1381673976416	2.84834852256586	1.57126948304846
TAGLN	CC1_CC5	CC1,CC5	10	8	8	10	0.332885406378536	0.598578386407691	8.55323222238123	84.1953636947144	76.7118855747821	3.98451340109317	2.64823652828172
COL12A1	CC1_CC5	CC1,CC5	10	9	9	8	0.300453418435803	0.574028334264078	10.9032936197115	41.783923398438	28.7589876862365	0.86245945664849	0.398848762949771
COL12A1	CC2_CC3	CC2,CC3	10	1	1	3	-0.127516578184962	0.475033854925445	-3.67537841960702	36.4841628959276	38.7105007003632	0.587262443438914	0.624227631383701
POSTN	CC2_CC3	CC2,CC3	10	2	3	6	-0.151915092272464	0.481720165107576	0.317165920972517	71.6305496828753	66.7093745273878	1.79582865693977	1.95334501452879
TAGLN	CC2_CC3	CC2,CC3	10	0	1	7	-0.374233855397659	0.427956279760621	-2.90536671179149	77.9615384615385	77.9401269000256	2.00928890876565	3.23668856330959
ACTA2	CC2_CC3	CC2,CC3	10	0	1	7	-0.510657508531835	0.409814841806157	-1.43389644427258	93.8062678062678	90.6322707344884	4.38162895927602	6.78188609982872
CCN2	CC2_CC3	CC2,CC3	10	2	1	8	-0.5216413322238	0.39615102091096	-2.05307302506719	87.8213507625272	90.8457009632077	3.28101809954751	5.48685390899704
