component_id	n_spots_component	image
1	63	IU_PDA_NP10
1	20	IU_PDA_NP11
5	3	IU_PDA_T1
8	4	IU_PDA_T1
12	5	IU_PDA_T1
13	11	IU_PDA_T1
15	4	IU_PDA_T1
23	5	IU_PDA_T1
1	9	IU_PDA_T10
2	589	IU_PDA_T10
3	267	IU_PDA_T10
5	136	IU_PDA_T10
6	31	IU_PDA_T10
7	22	IU_PDA_T10
10	14	IU_PDA_T10
11	3	IU_PDA_T10
12	10	IU_PDA_T10
14	14	IU_PDA_T10
16	8	IU_PDA_T10
17	9	IU_PDA_T10
18	11	IU_PDA_T10
19	4	IU_PDA_T10
21	13	IU_PDA_T10
24	3	IU_PDA_T10
25	6	IU_PDA_T10
27	8	IU_PDA_T10
28	4	IU_PDA_T10
37	4	IU_PDA_T10
38	3	IU_PDA_T10
39	4	IU_PDA_T10
44	4	IU_PDA_T10
48	4	IU_PDA_T10
1	31	IU_PDA_T11
2	17	IU_PDA_T11
3	10	IU_PDA_T11
4	3	IU_PDA_T11
5	13	IU_PDA_T11
6	4	IU_PDA_T11
7	3	IU_PDA_T11
8	44	IU_PDA_T11
9	10	IU_PDA_T11
11	5	IU_PDA_T11
12	5	IU_PDA_T11
13	7	IU_PDA_T11
14	4	IU_PDA_T11
15	15	IU_PDA_T11
16	9	IU_PDA_T11
17	3	IU_PDA_T11
20	3	IU_PDA_T11
24	4	IU_PDA_T11
30	3	IU_PDA_T11
34	3	IU_PDA_T11
38	3	IU_PDA_T11
46	3	IU_PDA_T11
52	5	IU_PDA_T11
1	74	IU_PDA_T12
2	22	IU_PDA_T12
3	10	IU_PDA_T12
4	11	IU_PDA_T12
5	9	IU_PDA_T12
6	21	IU_PDA_T12
7	10	IU_PDA_T12
9	7	IU_PDA_T12
10	3	IU_PDA_T12
11	5	IU_PDA_T12
12	3	IU_PDA_T12
14	6	IU_PDA_T12
18	4	IU_PDA_T12
19	6	IU_PDA_T12
21	4	IU_PDA_T12
24	5	IU_PDA_T12
40	4	IU_PDA_T12
47	3	IU_PDA_T12
1	251	IU_PDA_T2
3	17	IU_PDA_T2
4	22	IU_PDA_T2
5	34	IU_PDA_T2
7	11	IU_PDA_T2
8	50	IU_PDA_T2
9	14	IU_PDA_T2
10	5	IU_PDA_T2
11	4	IU_PDA_T2
12	22	IU_PDA_T2
18	6	IU_PDA_T2
20	9	IU_PDA_T2
21	3	IU_PDA_T2
23	34	IU_PDA_T2
25	12	IU_PDA_T2
26	24	IU_PDA_T2
30	12	IU_PDA_T2
35	3	IU_PDA_T2
37	3	IU_PDA_T2
43	3	IU_PDA_T2
44	8	IU_PDA_T2
48	3	IU_PDA_T2
53	4	IU_PDA_T2
57	6	IU_PDA_T2
59	5	IU_PDA_T2
61	6	IU_PDA_T2
66	6	IU_PDA_T2
67	5	IU_PDA_T2
71	9	IU_PDA_T2
73	3	IU_PDA_T2
80	3	IU_PDA_T2
1	24	IU_PDA_T3
2	10	IU_PDA_T3
3	6	IU_PDA_T3
4	5	IU_PDA_T3
5	30	IU_PDA_T3
6	38	IU_PDA_T3
7	11	IU_PDA_T3
8	3	IU_PDA_T3
9	11	IU_PDA_T3
10	6	IU_PDA_T3
12	4	IU_PDA_T3
14	21	IU_PDA_T3
15	6	IU_PDA_T3
18	3	IU_PDA_T3
19	10	IU_PDA_T3
23	10	IU_PDA_T3
24	3	IU_PDA_T3
25	6	IU_PDA_T3
26	3	IU_PDA_T3
27	11	IU_PDA_T3
28	3	IU_PDA_T3
30	9	IU_PDA_T3
32	3	IU_PDA_T3
35	6	IU_PDA_T3
41	3	IU_PDA_T3
46	4	IU_PDA_T3
47	4	IU_PDA_T3
50	4	IU_PDA_T3
56	3	IU_PDA_T3
1	12	IU_PDA_T4
2	41	IU_PDA_T4
3	11	IU_PDA_T4
4	799	IU_PDA_T4
5	8	IU_PDA_T4
6	5	IU_PDA_T4
7	28	IU_PDA_T4
8	4	IU_PDA_T4
9	6	IU_PDA_T4
10	40	IU_PDA_T4
11	19	IU_PDA_T4
13	3	IU_PDA_T4
14	24	IU_PDA_T4
18	4	IU_PDA_T4
20	4	IU_PDA_T4
29	10	IU_PDA_T4
31	11	IU_PDA_T4
32	4	IU_PDA_T4
33	17	IU_PDA_T4
34	17	IU_PDA_T4
37	3	IU_PDA_T4
39	4	IU_PDA_T4
44	3	IU_PDA_T4
45	3	IU_PDA_T4
48	3	IU_PDA_T4
52	9	IU_PDA_T4
60	3	IU_PDA_T4
61	3	IU_PDA_T4
64	4	IU_PDA_T4
102	3	IU_PDA_T4
1	1504	IU_PDA_T6
2	13	IU_PDA_T6
3	18	IU_PDA_T6
4	10	IU_PDA_T6
5	3	IU_PDA_T6
6	19	IU_PDA_T6
10	6	IU_PDA_T6
12	6	IU_PDA_T6
13	3	IU_PDA_T6
14	3	IU_PDA_T6
16	6	IU_PDA_T6
18	4	IU_PDA_T6
22	6	IU_PDA_T6
25	7	IU_PDA_T6
1	2412	IU_PDA_T8
2	57	IU_PDA_T8
3	8	IU_PDA_T8
5	6	IU_PDA_T8
6	5	IU_PDA_T8
7	5	IU_PDA_T8
9	5	IU_PDA_T8
10	53	IU_PDA_T8
11	9	IU_PDA_T8
12	7	IU_PDA_T8
14	9	IU_PDA_T8
16	6	IU_PDA_T8
17	3	IU_PDA_T8
19	3	IU_PDA_T8
20	17	IU_PDA_T8
21	6	IU_PDA_T8
29	3	IU_PDA_T8
33	3	IU_PDA_T8
2	3	IU_PDA_T9
3	4	IU_PDA_T9
9	3	IU_PDA_T9
