image	component_id	n_spots_component
IU_PDA_T1	1	49
IU_PDA_T1	2	6
IU_PDA_T1	3	11
IU_PDA_T1	5	3
IU_PDA_T1	7	9
IU_PDA_T1	8	5
IU_PDA_T1	10	5
IU_PDA_T1	11	9
IU_PDA_T1	12	6
IU_PDA_T1	17	4
IU_PDA_T1	18	6
IU_PDA_T1	19	16
IU_PDA_T1	20	8
IU_PDA_T1	22	4
IU_PDA_T1	23	5
IU_PDA_T1	30	4
IU_PDA_T1	31	3
IU_PDA_T1	34	9
IU_PDA_T1	36	4
IU_PDA_T1	38	3
IU_PDA_T1	39	7
IU_PDA_T1	40	10
IU_PDA_T1	41	5
IU_PDA_T1	42	4
IU_PDA_T1	44	3
IU_PDA_T1	45	5
IU_PDA_T1	47	10
IU_PDA_T1	49	4
IU_PDA_T1	51	3
IU_PDA_T1	54	7
IU_PDA_T1	55	6
IU_PDA_T1	58	8
IU_PDA_T1	63	4
IU_PDA_T1	71	5
IU_PDA_T1	73	6
IU_PDA_T1	78	3
IU_PDA_T1	79	10
IU_PDA_T1	83	3
IU_PDA_T1	88	3
IU_PDA_T1	94	3
IU_PDA_T1	105	5
IU_PDA_T1	106	3
IU_PDA_T1	108	3
IU_PDA_T1	118	3
IU_PDA_T10	2	15
IU_PDA_T10	3	177
IU_PDA_T10	4	5
IU_PDA_T10	5	7
IU_PDA_T10	6	4
IU_PDA_T10	7	11
IU_PDA_T10	8	14
IU_PDA_T10	9	5
IU_PDA_T10	11	12
IU_PDA_T10	12	5
IU_PDA_T10	14	8
IU_PDA_T10	17	6
IU_PDA_T10	18	24
IU_PDA_T10	19	9
IU_PDA_T10	23	5
IU_PDA_T10	25	3
IU_PDA_T10	27	25
IU_PDA_T10	29	6
IU_PDA_T10	30	5
IU_PDA_T10	33	4
IU_PDA_T10	34	4
IU_PDA_T10	42	4
IU_PDA_T10	45	5
IU_PDA_T10	50	4
IU_PDA_T10	68	4
IU_PDA_T10	69	4
IU_PDA_T11	1	92
IU_PDA_T11	2	599
IU_PDA_T11	3	162
IU_PDA_T11	4	13
IU_PDA_T11	5	93
IU_PDA_T11	6	4
IU_PDA_T11	7	33
IU_PDA_T11	10	6
IU_PDA_T11	13	17
IU_PDA_T11	14	12
IU_PDA_T11	16	6
IU_PDA_T11	17	10
IU_PDA_T11	22	3
IU_PDA_T11	26	8
IU_PDA_T11	27	18
IU_PDA_T11	28	3
IU_PDA_T11	31	6
IU_PDA_T11	42	6
IU_PDA_T11	53	4
IU_PDA_T11	55	3
IU_PDA_T11	56	3
IU_PDA_T12	1	8
IU_PDA_T12	2	54
IU_PDA_T12	3	50
IU_PDA_T12	4	4
IU_PDA_T12	5	205
IU_PDA_T12	6	40
IU_PDA_T12	7	18
IU_PDA_T12	8	3
IU_PDA_T12	9	64
IU_PDA_T12	10	4
IU_PDA_T12	11	3
IU_PDA_T12	12	3
IU_PDA_T12	13	34
IU_PDA_T12	15	13
IU_PDA_T12	17	11
IU_PDA_T12	19	3
IU_PDA_T12	22	6
IU_PDA_T12	24	11
IU_PDA_T12	25	5
IU_PDA_T12	27	3
IU_PDA_T12	29	25
IU_PDA_T12	30	13
IU_PDA_T12	33	8
IU_PDA_T12	34	3
IU_PDA_T12	35	6
IU_PDA_T12	36	8
IU_PDA_T12	37	4
IU_PDA_T12	39	13
IU_PDA_T12	42	8
IU_PDA_T12	43	3
IU_PDA_T12	44	4
IU_PDA_T12	45	8
IU_PDA_T12	53	3
IU_PDA_T12	55	3
IU_PDA_T12	60	6
IU_PDA_T12	61	4
IU_PDA_T12	63	5
IU_PDA_T12	66	4
IU_PDA_T12	68	5
IU_PDA_T12	70	3
IU_PDA_T12	76	4
IU_PDA_T12	78	3
IU_PDA_T12	85	5
IU_PDA_T12	88	3
IU_PDA_T2	2	16
IU_PDA_T2	3	18
IU_PDA_T2	4	5
IU_PDA_T2	5	160
IU_PDA_T2	7	13
IU_PDA_T2	8	109
IU_PDA_T2	9	10
IU_PDA_T2	11	5
IU_PDA_T2	13	36
IU_PDA_T2	15	4
IU_PDA_T2	16	68
IU_PDA_T2	17	7
IU_PDA_T2	18	10
IU_PDA_T2	20	7
IU_PDA_T2	21	5
IU_PDA_T2	22	4
IU_PDA_T2	23	5
IU_PDA_T2	24	3
IU_PDA_T2	27	8
IU_PDA_T2	28	3
IU_PDA_T2	31	9
IU_PDA_T2	33	3
IU_PDA_T2	38	3
IU_PDA_T2	42	3
IU_PDA_T2	45	5
IU_PDA_T2	46	8
IU_PDA_T2	47	5
IU_PDA_T2	49	12
IU_PDA_T2	50	7
IU_PDA_T2	51	3
IU_PDA_T2	52	6
IU_PDA_T2	54	3
IU_PDA_T2	57	3
IU_PDA_T2	58	6
IU_PDA_T2	59	11
IU_PDA_T2	62	5
IU_PDA_T2	67	4
IU_PDA_T2	69	5
IU_PDA_T2	79	5
IU_PDA_T2	81	11
IU_PDA_T2	84	3
IU_PDA_T2	93	3
IU_PDA_T2	98	4
IU_PDA_T2	99	3
IU_PDA_T2	108	3
IU_PDA_T2	118	3
IU_PDA_T2	124	4
IU_PDA_T2	151	3
IU_PDA_T3	1	158
IU_PDA_T3	2	124
IU_PDA_T3	4	475
IU_PDA_T3	5	7
IU_PDA_T3	7	29
IU_PDA_T3	8	18
IU_PDA_T3	9	18
IU_PDA_T3	11	3
IU_PDA_T3	12	10
IU_PDA_T3	13	14
IU_PDA_T3	14	5
IU_PDA_T3	16	6
IU_PDA_T3	19	3
IU_PDA_T3	20	5
IU_PDA_T3	21	15
IU_PDA_T3	22	10
IU_PDA_T3	23	8
IU_PDA_T3	25	4
IU_PDA_T3	27	3
IU_PDA_T3	31	6
IU_PDA_T3	36	3
IU_PDA_T3	37	4
IU_PDA_T3	38	5
IU_PDA_T3	42	3
IU_PDA_T3	43	3
IU_PDA_T3	44	4
IU_PDA_T3	55	3
IU_PDA_T3	69	5
IU_PDA_T3	78	3
IU_PDA_T4	2	21
IU_PDA_T4	4	6
IU_PDA_T4	5	114
IU_PDA_T4	7	11
IU_PDA_T4	8	27
IU_PDA_T4	10	19
IU_PDA_T4	13	3
IU_PDA_T4	14	13
IU_PDA_T4	15	12
IU_PDA_T4	16	8
IU_PDA_T4	18	13
IU_PDA_T4	19	11
IU_PDA_T4	22	18
IU_PDA_T4	23	50
