orig.ident	first_type_compact	n_spots	frac_spots
IU_PDA_HM10	B cells	4	0.00170357751277683
IU_PDA_HM10	C1Q-TAM	27	0.0114991482112436
IU_PDA_HM10	CD4+ cells	7	0.00298126064735946
IU_PDA_HM10	CD8-NK cells	2	0.000851788756388416
IU_PDA_HM10	DCs	21	0.00894378194207836
IU_PDA_HM10	Hepatocytes	1590	0.67717206132879
IU_PDA_HM10	Normal Epithelial cells	166	0.0706984667802385
IU_PDA_HM10	Other	12	0.00511073253833049
IU_PDA_HM10	PVL	7	0.00298126064735946
IU_PDA_HM10	SPP1-TAM	11	0.00468483816013629
IU_PDA_HM10	Tumor Epithelial cells	323	0.137563884156729
IU_PDA_HM10	myCAF	178	0.075809199318569
IU_PDA_HM11	B cells	2	0.000508776392775375
IU_PDA_HM11	C1Q-TAM	104	0.0264563724243195
IU_PDA_HM11	CD4+ cells	2	0.000508776392775375
IU_PDA_HM11	DCs	75	0.0190791147290766
IU_PDA_HM11	Hepatocytes	371	0.0943780208598321
IU_PDA_HM11	Normal Epithelial cells	1005	0.255660137369626
IU_PDA_HM11	Other	14	0.00356143474942763
IU_PDA_HM11	PVL	26	0.00661409310607988
IU_PDA_HM11	SPP1-TAM	130	0.0330704655303994
IU_PDA_HM11	Tumor Epithelial cells	691	0.175782243703892
IU_PDA_HM11	iCAF	219	0.0557110150089036
IU_PDA_HM11	myCAF	1292	0.328669549732892
IU_PDA_HM12	C1Q-TAM	22	0.00742992232353934
IU_PDA_HM12	DCs	2	0.000675447483958122
IU_PDA_HM12	Hepatocytes	17	0.00574130361364404
IU_PDA_HM12	Normal Epithelial cells	919	0.310368118878757
IU_PDA_HM12	Other	1	0.000337723741979061
IU_PDA_HM12	PVL	11	0.00371496116176967
IU_PDA_HM12	SPP1-TAM	5	0.00168861870989531
IU_PDA_HM12	Tumor Epithelial cells	1868	0.630867950016886
IU_PDA_HM12	iCAF	2	0.000675447483958122
IU_PDA_HM12	myCAF	114	0.038500506585613
IU_PDA_HM13	B cells	10	0.00458295142071494
IU_PDA_HM13	C1Q-TAM	205	0.0939505041246563
IU_PDA_HM13	DCs	3	0.00137488542621448
IU_PDA_HM13	Hepatocytes	616	0.28230980751604
IU_PDA_HM13	Normal Epithelial cells	12	0.00549954170485793
IU_PDA_HM13	Other	9	0.00412465627864345
IU_PDA_HM13	PVL	17	0.0077910174152154
IU_PDA_HM13	SPP1-TAM	126	0.0577451879010083
IU_PDA_HM13	Tumor Epithelial cells	2	0.000916590284142988
IU_PDA_HM13	iCAF	77	0.035288725939505
IU_PDA_HM13	myCAF	1105	0.506416131989001
IU_PDA_HM2	CD4+ cells	4	0.00161420500403551
IU_PDA_HM2	DCs	3	0.00121065375302663
IU_PDA_HM2	Normal Epithelial cells	247	0.0996771589991929
IU_PDA_HM2	Other	1	0.000403551251008878
IU_PDA_HM2	PVL	7	0.00282485875706215
IU_PDA_HM2	SPP1-TAM	4	0.00161420500403551
IU_PDA_HM2	Tumor Epithelial cells	2065	0.833333333333333
IU_PDA_HM2	myCAF	147	0.0593220338983051
IU_PDA_HM2_2	CD4+ cells	1	0.00104275286757039
IU_PDA_HM2_2	CD8-NK cells	1	0.00104275286757039
IU_PDA_HM2_2	DCs	2	0.00208550573514077
IU_PDA_HM2_2	Hepatocytes	599	0.624608967674661
IU_PDA_HM2_2	Normal Epithelial cells	44	0.045881126173097
IU_PDA_HM2_2	PVL	1	0.00104275286757039
IU_PDA_HM2_2	SPP1-TAM	1	0.00104275286757039
IU_PDA_HM2_2	Tumor Epithelial cells	308	0.321167883211679
IU_PDA_HM2_2	myCAF	2	0.00208550573514077
IU_PDA_HM3	B cells	6	0.00510204081632653
IU_PDA_HM3	CD4+ cells	3	0.00255102040816327
IU_PDA_HM3	DCs	5	0.00425170068027211
IU_PDA_HM3	Hepatocytes	864	0.73469387755102
IU_PDA_HM3	Normal Epithelial cells	34	0.0289115646258503
IU_PDA_HM3	PVL	12	0.0102040816326531
IU_PDA_HM3	Tumor Epithelial cells	52	0.0442176870748299
IU_PDA_HM3	iCAF	19	0.016156462585034
IU_PDA_HM3	myCAF	181	0.15391156462585
IU_PDA_HM4	C1Q-TAM	2	0.00108636610537751
IU_PDA_HM4	CD4+ cells	2	0.00108636610537751
IU_PDA_HM4	DCs	2	0.00108636610537751
IU_PDA_HM4	Hepatocytes	231	0.125475285171103
IU_PDA_HM4	Normal Epithelial cells	58	0.0315046170559479
IU_PDA_HM4	Other	2	0.00108636610537751
IU_PDA_HM4	SPP1-TAM	7	0.00380228136882129
IU_PDA_HM4	Tumor Epithelial cells	1534	0.833242802824552
IU_PDA_HM4	myCAF	3	0.00162954915806627
IU_PDA_HM5	C1Q-TAM	1	0.00032916392363397
IU_PDA_HM5	CD4+ cells	2	0.000658327847267939
IU_PDA_HM5	Hepatocytes	939	0.309084924292298
IU_PDA_HM5	Normal Epithelial cells	310	0.102040816326531
IU_PDA_HM5	Tumor Epithelial cells	1780	0.585911784068466
IU_PDA_HM5	myCAF	6	0.00197498354180382
IU_PDA_HM6	B cells	2	0.00120048019207683
IU_PDA_HM6	CD4+ cells	53	0.031812725090036
