orig.ident	Origin	file_name	width_px	height_px
IU_PDA_NP10	Normal Pancreas	IU_PDA_NP10_histology.png	600	597
IU_PDA_NP11	Normal Pancreas	IU_PDA_NP11_histology.png	600	554
IU_PDA_NP2	Normal Pancreas	IU_PDA_NP2_histology.png	600	596
IU_PDA_T1	Pancreas	IU_PDA_T1_histology.png	600	510
IU_PDA_T10	Pancreas	IU_PDA_T10_histology.png	600	590
IU_PDA_T11	Pancreas	IU_PDA_T11_histology.png	600	571
IU_PDA_T12	Pancreas	IU_PDA_T12_histology.png	600	598
IU_PDA_T2	Pancreas	IU_PDA_T2_histology.png	581	600
IU_PDA_T3	Pancreas	IU_PDA_T3_histology.png	600	600
IU_PDA_T4	Pancreas	IU_PDA_T4_histology.png	600	573
IU_PDA_T6	Pancreas	IU_PDA_T6_histology.png	600	586
IU_PDA_T8	Pancreas	IU_PDA_T8_histology.png	600	591
IU_PDA_T9	Pancreas	IU_PDA_T9_histology.png	600	587
